========================================
N2+O2_P1_Energy_1_0.0.out
1 atm
T,P1->P2
200.0,1.69153e-46
210.0,8.6502e-46
220.0,4.70159e-45
230.0,2.71175e-44
240.0,1.65567e-43
250.0,1.06435e-42
260.0,7.12302e-42
270.0,4.86957e-41
280.0,3.31933e-40
290.0,2.20186e-39
300.0,1.39342e-38
310.0,8.29828e-38
320.0,4.61397e-37
330.0,2.38674e-36
340.0,1.14801e-35
350.0,5.14126e-35
360.0,2.14905e-34
370.0,8.41003e-34
380.0,3.09153e-33
390.0,1.07116e-32
400.0,3.51002e-32
410.0,1.09131e-31
420.0,3.22943e-31
430.0,9.1225e-31
440.0,2.46666e-30
450.0,6.4008e-30
460.0,1.59784e-29
470.0,3.84573e-29
480.0,8.94292e-29
490.0,2.01316e-28
500.0,4.39504e-28
510.0,9.32099e-28
520.0,1.92335e-27
530.0,3.8671e-27
540.0,7.58638e-27
550.0,1.45398e-26
560.0,2.72568e-26
570.0,5.00337e-26
580.0,9.00272e-26
590.0,1.58939e-25
600.0,2.75568e-25
610.0,4.69611e-25
620.0,7.87242e-25
630.0,1.29917e-24
640.0,2.11212e-24
650.0,3.38498e-24
660.0,5.35119e-24
670.0,8.34949e-24
680.0,1.28655e-23
690.0,1.95874e-23
700.0,2.94803e-23
800.0,1.02396e-21
900.0,1.66447e-20
1000.0,1.58192e-19
1100.0,1.01437e-18
1200.0,4.83214e-18
1300.0,1.82892e-17
1400.0,5.77224e-17
1500.0,1.57426e-16
1600.0,3.81122e-16
1700.0,8.36142e-16
1800.0,1.68941e-15
1900.0,3.18405e-15
2000.0,5.65554e-15
2100.0,9.54631e-15
2200.0,1.54181e-14
2300.0,2.39617e-14
2400.0,3.60035e-14
2500.0,5.25092e-14
2600.0,7.45847e-14
2700.0,1.03474e-13
2800.0,1.40557e-13
2900.0,1.8734e-13
3000.0,2.45451e-13
3100.0,3.16629e-13
3200.0,4.02717e-13
3300.0,5.05647e-13
3400.0,6.27432e-13
3500.0,7.70155e-13
3600.0,9.35956e-13
3700.0,1.12702e-12
3800.0,1.34557e-12
3900.0,1.59386e-12
4000.0,1.87414e-12
========================================
N2+O2_P1_Energy_1_0.0.out
5 atm
T,P1->P2
200.0,1.69153e-46
210.0,8.6502e-46
220.0,4.70159e-45
230.0,2.71175e-44
240.0,1.65567e-43
250.0,1.06435e-42
260.0,7.12302e-42
270.0,4.86957e-41
280.0,3.31933e-40
290.0,2.20186e-39
300.0,1.39342e-38
310.0,8.29828e-38
320.0,4.61397e-37
330.0,2.38674e-36
340.0,1.14801e-35
350.0,5.14126e-35
360.0,2.14905e-34
370.0,8.41003e-34
380.0,3.09153e-33
390.0,1.07116e-32
400.0,3.51002e-32
410.0,1.09131e-31
420.0,3.22943e-31
430.0,9.1225e-31
440.0,2.46666e-30
450.0,6.4008e-30
460.0,1.59784e-29
470.0,3.84573e-29
480.0,8.94292e-29
490.0,2.01316e-28
500.0,4.39504e-28
510.0,9.32099e-28
520.0,1.92335e-27
530.0,3.8671e-27
540.0,7.58638e-27
550.0,1.45398e-26
560.0,2.72568e-26
570.0,5.00337e-26
580.0,9.00272e-26
590.0,1.58939e-25
600.0,2.75568e-25
610.0,4.69611e-25
620.0,7.87242e-25
630.0,1.29917e-24
640.0,2.11212e-24
650.0,3.38498e-24
660.0,5.35119e-24
670.0,8.34949e-24
680.0,1.28655e-23
690.0,1.95874e-23
700.0,2.94803e-23
800.0,1.02396e-21
900.0,1.66447e-20
1000.0,1.58192e-19
1100.0,1.01437e-18
1200.0,4.83214e-18
1300.0,1.82892e-17
1400.0,5.77224e-17
1500.0,1.57426e-16
1600.0,3.81122e-16
1700.0,8.36142e-16
1800.0,1.68941e-15
1900.0,3.18405e-15
2000.0,5.65554e-15
2100.0,9.54631e-15
2200.0,1.54181e-14
2300.0,2.39617e-14
2400.0,3.60035e-14
2500.0,5.25092e-14
2600.0,7.45847e-14
2700.0,1.03474e-13
2800.0,1.40557e-13
2900.0,1.8734e-13
3000.0,2.45451e-13
3100.0,3.16629e-13
3200.0,4.02717e-13
3300.0,5.05647e-13
3400.0,6.27432e-13
3500.0,7.70155e-13
3600.0,9.35956e-13
3700.0,1.12702e-12
3800.0,1.34557e-12
3900.0,1.59386e-12
4000.0,1.87414e-12
========================================
N2+O2_P1_Energy_1_0.0.out
20 atm
T,P1->P2
200.0,1.69153e-46
210.0,8.6502e-46
220.0,4.70159e-45
230.0,2.71175e-44
240.0,1.65567e-43
250.0,1.06435e-42
260.0,7.12302e-42
270.0,4.86957e-41
280.0,3.31933e-40
290.0,2.20186e-39
300.0,1.39342e-38
310.0,8.29828e-38
320.0,4.61397e-37
330.0,2.38674e-36
340.0,1.14801e-35
350.0,5.14126e-35
360.0,2.14905e-34
370.0,8.41003e-34
380.0,3.09153e-33
390.0,1.07116e-32
400.0,3.51002e-32
410.0,1.09131e-31
420.0,3.22943e-31
430.0,9.1225e-31
440.0,2.46666e-30
450.0,6.4008e-30
460.0,1.59784e-29
470.0,3.84573e-29
480.0,8.94292e-29
490.0,2.01316e-28
500.0,4.39504e-28
510.0,9.32099e-28
520.0,1.92335e-27
530.0,3.8671e-27
540.0,7.58638e-27
550.0,1.45398e-26
560.0,2.72568e-26
570.0,5.00337e-26
580.0,9.00272e-26
590.0,1.58939e-25
600.0,2.75568e-25
610.0,4.69611e-25
620.0,7.87242e-25
630.0,1.29917e-24
640.0,2.11212e-24
650.0,3.38498e-24
660.0,5.35119e-24
670.0,8.34949e-24
680.0,1.28655e-23
690.0,1.95874e-23
700.0,2.94803e-23
800.0,1.02396e-21
900.0,1.66447e-20
1000.0,1.58192e-19
1100.0,1.01437e-18
1200.0,4.83214e-18
1300.0,1.82892e-17
1400.0,5.77224e-17
1500.0,1.57426e-16
1600.0,3.81122e-16
1700.0,8.36142e-16
1800.0,1.68941e-15
1900.0,3.18405e-15
2000.0,5.65554e-15
2100.0,9.54631e-15
2200.0,1.54181e-14
2300.0,2.39617e-14
2400.0,3.60035e-14
2500.0,5.25092e-14
2600.0,7.45847e-14
2700.0,1.03474e-13
2800.0,1.40557e-13
2900.0,1.8734e-13
3000.0,2.45451e-13
3100.0,3.16629e-13
3200.0,4.02717e-13
3300.0,5.05647e-13
3400.0,6.27432e-13
3500.0,7.70155e-13
3600.0,9.35956e-13
3700.0,1.12702e-12
3800.0,1.34557e-12
3900.0,1.59386e-12
4000.0,1.87414e-12
