*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.233914    0.0361671     0.528904    0.0372655     0.539757
          210            1   8.5712e+09     0.264454    0.0435967     0.570686    0.0442503     0.578591
          220            1  8.18776e+09     0.271412    0.0455958     0.584172    0.0464842     0.594239
          230            1  7.84104e+09     0.298976    0.0556605     0.636282    0.0577889     0.647224
          240            1  7.52624e+09      0.28863    0.0514684     0.620716    0.0520349     0.630739
          250            1  7.23933e+09     0.308463    0.0608179      0.66459      0.06307     0.677767
          260            1  6.97686e+09     0.366365    0.0774166     0.712958    0.0783596     0.721567
          270            1  6.73594e+09     0.392552    0.0914205     0.747983    0.0931604     0.757862
          280            1  6.51405e+09     0.381314    0.0858562     0.742889    0.0877569     0.753139
          290            1  6.30905e+09      0.39288    0.0963276     0.769355    0.0978826     0.779658
          300            1  6.11911e+09     0.378995    0.0846744     0.745572    0.0856741     0.756126
          310            1  5.94261e+09       0.4626     0.120789     0.811453     0.123154     0.819853
          320            1  5.77817e+09      0.46688      0.12193     0.814967     0.123852     0.823867
          330            1  5.62457e+09     0.488852     0.137358     0.826317      0.13783      0.83213
          340            1  5.48076e+09     0.476673     0.129518     0.832081     0.133791     0.842055
          350            1  5.34581e+09     0.362624     0.110339     0.832317     0.110446     0.821781
          360            1  5.21891e+09     0.496466     0.145992      0.85548     0.146815     0.862907
          370            1  5.09932e+09     0.479135     0.169825     0.884964     0.171314     0.892079
          380            1  4.98641e+09     0.485756     0.134157     0.842343     0.136065     0.851839
          390            1  4.87962e+09     0.483416     0.135998     0.851086     0.138299      0.86071
          400            1  4.77844e+09     0.460836     0.174624      0.89669     0.176103     0.904718
          410            1  4.68243e+09     0.405361     0.179862     0.920911     0.181537     0.914189
          420            1  4.59116e+09     0.490744     0.168643     0.890681     0.170141     0.899047
          430            1   4.5043e+09     0.692384      0.24566     0.928644     0.247312     0.933547
          440            1   4.4215e+09     0.416528     0.181346     0.924031     0.182556     0.917135
          450            1  4.34248e+09     0.432399     0.183312     0.923469      0.18361     0.916421
          460            1  4.26697e+09     0.418858     0.181985     0.926376     0.182693     0.919459
