50	4.543256786589768000E+02
100	5.305362051970490000E+04
150	2.057769832827390000E+05
200	5.234579933228660000E+05
250	1.041582415645420000E+06
300	1.728695287901320000E+06
350	2.520056548410570000E+06
400	3.367927030652670000E+06
450	4.246299147154360000E+06
500	5.133724689816040000E+06
550	6.018375372698960000E+06
600	6.893595130804640000E+06
650	7.758566897421960000E+06
700	8.612401914120850000E+06
750	9.458659669225940000E+06
800	1.029722335793590000E+07
850	1.108863838510640000E+07
900	1.190537455666500000E+07
950	1.277439546431000000E+07
1000	1.369800952692000000E+07
1050	1.467982071915000000E+07
1100	1.572415376600000000E+07
1150	1.683420546220000000E+07
1200	1.801280362740000000E+07
1250	1.926392083780000000E+07
1300	2.059106187000000000E+07
1350	2.199692825600000000E+07
1400	2.348698858300000000E+07
1450	2.506654160326200000E+07
1500	2.673953034523000000E+07
1550	2.851076176703000000E+07
1600	3.038587176941000000E+07
1650	3.236994947290000000E+07
1700	3.446709547030000000E+07
1750	3.668511322280000000E+07
1800	3.902972218110000000E+07
1850	4.150575753660000000E+07
1900	4.411981830890000000E+07
1950	4.688046571100000000E+07
2000	4.979254059700000000E+07
2050	5.286485024750600000E+07
2100	5.610686136474000000E+07
2150	5.952508657148000000E+07
2200	6.312939069084000000E+07
2250	6.692522024760000000E+07
2300	7.092337195090000000E+07
2350	7.513165512250000000E+07
2400	7.956237581350000000E+07
2450	8.422276072200000000E+07
2500	8.912864558060000000E+07
2550	9.429027805300000000E+07
2600	9.971750995300000000E+07
2650	1.054231925200300000E+08
2700	1.114175159728250000E+08
2750	1.177135013505000000E+08
2800	1.243271070655000000E+08
2850	1.312722674905000000E+08
2900	1.385609331260000000E+08
2950	1.462108151025000000E+08
3000	1.542385548585000000E+08
3050	1.626585087995000000E+08
3100	1.714900200650000000E+08
3150	1.807501021320000000E+08
3200	1.904570869110000000E+08
3250	2.006280622300000000E+08
3300	2.112849347300000000E+08
3350	2.224439451695040000E+08
3400	2.341269047589200000E+08
3450	2.463593480630900000E+08
3500	2.591637959757600000E+08
3550	2.725686964252000000E+08
3600	2.865957777544000000E+08
3650	3.012657147517000000E+08
3700	3.166068955862000000E+08
3750	3.326475570385000000E+08
3800	3.494102051028000000E+08
3850	3.669358179020000000E+08
3900	3.852426548640000000E+08
3950	4.043704581260000000E+08
4000	4.243518756990000000E+08
4050	4.452171403288280000E+08
4100	4.670029009005530000E+08
4150	4.897452467674800000E+08
4200	5.134786417333100000E+08
4250	5.382459281846000000E+08
4300	5.640837083434000000E+08
4350	5.910347493027000000E+08
4400	6.191370595005000000E+08
4450	6.484424075024000000E+08
4500	6.789959936892000000E+08
4550	7.108415948910000000E+08
4600	7.440277289890000000E+08
4650	7.786018347050000000E+08
4700	8.146379463330000000E+08
4750	8.521561527830000000E+08
4800	8.912322425838710000E+08
4850	9.319021035052770000E+08
4900	9.742561880161100000E+08
4950	1.018346714960930000E+09
5000	1.064233538331300000E+09
5050	1.111973741374200000E+09
5100	1.161657082577800000E+09
5150	1.213327503421800000E+09
5200	1.267065346803800000E+09
5250	1.322935727248400000E+09
5300	1.381029328366000000E+09
5350	1.441426703076000000E+09
5400	1.504201039304000000E+09
5450	1.569445539481000000E+09
5500	1.637215510925000000E+09
5550	1.707656899508000000E+09
5600	1.780805092226490000E+09
5650	1.856790525812910000E+09
5700	1.935701691245180000E+09
5750	2.017626399803610000E+09
5800	2.102690877508500000E+09
5850	2.190968416363700000E+09
5900	2.282607906615700000E+09
5950	2.377680353958300000E+09
6000	2.476356971951100000E+09
6050	2.578728771837200000E+09
6100	2.684925375143000000E+09
6150	2.795060143170000000E+09
6200	2.909277503774000000E+09
6250	3.027665079382000000E+09
6300	3.150432002952000000E+09
6350	3.277710704807000000E+09
6400	3.409622193612000000E+09
6450	3.546312242292860000E+09
6500	3.687985147130950000E+09
6550	3.834764827194250000E+09
6600	3.986787761710700000E+09
6650	4.144317600411500000E+09
6700	4.307429226532500000E+09
6750	4.476386966133500000E+09
6800	4.651258642438500000E+09
6850	4.832375653226000000E+09
6900	5.019875923275500000E+09
6950	5.213882564180000000E+09
7000	5.414755513200000000E+09
7050	5.622560348720000000E+09
7100	5.837663683780000000E+09
7150	6.060151994605000000E+09
7200	6.290255435485000000E+09
7250	6.528327561735000000E+09
7300	6.774597743890600000E+09
7350	7.029240691277700000E+09
7400	7.292520927682840000E+09
7450	7.564771409574310000E+09
7500	7.846230785871600000E+09
7550	8.137079184697700000E+09
7600	8.437849176204500000E+09
7650	8.748626604899300000E+09
7700	9.069680205333900000E+09
7750	9.401443056496200000E+09
7800	9.744173703249000000E+09
7850	1.009839858611400000E+10
7900	1.046410023343400000E+10
7950	1.084178010486600000E+10
8000	1.123180495253000000E+10
8050	1.163453144489300000E+10
8100	1.205014675210700000E+10
8150	1.247929286711700000E+10
8200	1.292214813420160000E+10
8250	1.337923389446250000E+10
8300	1.385072465861390000E+10
8350	1.433720305697840000E+10
8400	1.483892588875830000E+10
8450	1.535650135183170000E+10
8500	1.589002066831800000E+10
8550	1.644030143192950000E+10
8600	1.700773327531070000E+10
8650	1.759263606407240000E+10
8700	1.819570204649500000E+10
8750	1.881748410659600000E+10
8800	1.945834209164200000E+10
8850	2.011863694263500000E+10
8900	2.079942709945100000E+10
8950	2.150112179532600000E+10
9000	2.222382873333500000E+10
9050	2.296873379662700000E+10
9100	2.373625073021700000E+10
9150	2.452687826559090000E+10
9200	2.534126229941630000E+10
9250	2.618034153459780000E+10
9300	2.704442250600520000E+10
9350	2.793422394514680000E+10
