Pressure (atm),Temperature (K),colrel_Epsilons_P3->P4,colrel_Epsilons_P3->P5,colrel_Epsilons_P1->P4,colrel_Epsilons_P4->P5,colrel_Epsilons_P5->W3,colrel_Epsilons_P2->W3,colrel_Epsilons_P1->P2,colrel_Epsilons_P1->P3,colrel_Epsilons_P2->P3,colrel_Epsilons_P1->W3,colrel_Epsilons_P2->P4,colrel_Epsilons_P3->W3,colrel_Epsilons_P1->P5,colrel_Epsilons_P2->P5,colrel_Epsilons_P4->W3,B13_Energy_1_P3->P4,B13_Energy_1_P3->P5,B13_Energy_1_P1->P4,B13_Energy_1_P4->P5,B13_Energy_1_P5->W3,B13_Energy_1_P2->W3,B13_Energy_1_P1->P2,B13_Energy_1_P1->P3,B13_Energy_1_P2->P3,B13_Energy_1_P1->W3,B13_Energy_1_P2->P4,B13_Energy_1_P3->W3,B13_Energy_1_P1->P5,B13_Energy_1_P2->P5,B13_Energy_1_P4->W3,colrel_Factor_P3->P4,colrel_Factor_P3->P5,colrel_Factor_P1->P4,colrel_Factor_P4->P5,colrel_Factor_P5->W3,colrel_Factor_P2->W3,colrel_Factor_P1->P2,colrel_Factor_P1->P3,colrel_Factor_P2->P3,colrel_Factor_P1->W3,colrel_Factor_P2->P4,colrel_Factor_P3->W3,colrel_Factor_P1->P5,colrel_Factor_P2->P5,colrel_Factor_P4->W3,W1a_Energy_1_P3->P4,W1a_Energy_1_P3->P5,W1a_Energy_1_P1->P4,W1a_Energy_1_P4->P5,W1a_Energy_1_P5->W3,W1a_Energy_1_P2->W3,W1a_Energy_1_P1->P2,W1a_Energy_1_P1->P3,W1a_Energy_1_P2->P3,W1a_Energy_1_P1->W3,W1a_Energy_1_P2->P4,W1a_Energy_1_P3->W3,W1a_Energy_1_P1->P5,W1a_Energy_1_P2->P5,W1a_Energy_1_P4->W3,colrel_Power_P3->P4,colrel_Power_P3->P5,colrel_Power_P1->P4,colrel_Power_P4->P5,colrel_Power_P5->W3,colrel_Power_P2->W3,colrel_Power_P1->P2,colrel_Power_P1->P3,colrel_Power_P2->P3,colrel_Power_P1->W3,colrel_Power_P2->P4,colrel_Power_P3->W3,colrel_Power_P1->P5,colrel_Power_P2->P5,colrel_Power_P4->W3
0.1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001423610072146928,-1.1511841905256863,0.0,0.0,-1.0306532399957153,6.880889961143032e-05,-0.2575918692420834,0.0013154370582277623,0.0,-0.033695080137758335,0.0,-1.3852089634727383,-0.0009926324183628112,-0.3399458990220254,-0.0011231779977227308,19.968798239140867,0.013098234215361488,0.09405572292333451,-0.14051864121114682,-1.9115873787848394,0.9007460749019257,-1.5654898423605734,0.015616136304803912,0.00033595787349802083,0.00027929155115505034,0.00012117558510439562,0.0,0.0,0.0,0.0,-0.00014232426154856123,3.778822087175484e-05,-0.07854192052847411,0.0,0.0018987493223346348,0.0,0.020017019100963672,0.0,0.0,3.311173855140566e-05,0.0,0.5706361539118885,0.00037339130744223453,0.13572218102485684,0.00042818339111476596,-8.527535169285926,-0.008287138093833616,-0.037040377132875245,0.057583154383348045,0.7812606839689366,-0.3786113455800421,0.6395004832671789,-0.00828136843783793,-7.810241958136983e-05,-0.00011732531939855904,0.00034127319500970767
0.1,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034851640427430673,-1.1072053839209415,0.0,0.0,-0.9993741592478128,2.861466448780646e-05,-0.2371007359254184,0.0005332756785071646,0.0,-0.03310945955151769,0.0,-1.3495258360361704,-0.0009277752682212048,-0.3131878210761595,-0.001024070970157585,19.454082881315568,-0.010123851461245637,0.08814550204262682,-0.12835427509935993,-1.8419562044272453,0.9177021106069139,-1.5308501374902155,-0.013436242065346923,0.0003201086101845487,0.000252806452257939,-0.001336440861552256,0.0,0.0,0.0,0.0,5.504110747070289e-05,-0.000530355526235898,-0.07373090719685281,0.0,0.002465843563332796,0.0,0.021849877648546283,0.0,0.0,7.170951175502218e-05,0.0,0.4897610178831389,0.0002951010686307473,0.11004338123243124,0.00032517569298595364,-7.410225594178406,0.0004192603283361007,-0.030626781591757683,0.04613609765405661,0.6577497911481553,-0.34391688110149843,0.5473319476945261,-0.008523648856994939,-0.00014545624882332156,-3.0185667241781416e-05,-0.0038984389270116794
0.1,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.675735867040761e-05,-1.070290278988426,0.0,0.0,-0.9714945246728874,-5.666940875117471e-06,-0.21411780266225341,0.00024953702789207865,0.0,-0.0325304308501241,0.0,-1.316970465827267,-0.0008848773034837194,-0.28791805665366677,-0.0009830714740022958,18.85480113114119,-0.02427443762143756,0.08264606430052204,-0.11804156524039247,-1.7780407153712254,0.9492636451756223,-1.4922091108707227,0.007718064828552609,0.0004118612883432339,0.00018707980926764038,0.006013910092890013,0.0,0.0,0.0,0.0,2.3825935236745754e-05,0.002732114249034721,-0.07076781154939202,0.0,-9.158894021381073e-05,0.0,0.015119278860663696,0.0,0.0,-0.000205678829877983,0.0,0.41368631263484357,0.00022362105569965053,0.08790281078998513,0.0002609908436564958,-6.105252639809521,0.010461594048105696,-0.024958879472388326,0.036776842577703736,0.5738182787036012,-0.28510210797701185,0.4803086629205608,0.039738073220790926,-2.9351096898896853e-05,-0.00016449966339450206,0.015886723790956826
0.1,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.113886167375454e-06,-1.039075660258324,0.0,0.0,-0.9619423126934834,1.6430381309955108e-05,-0.196259915094689,9.00189080322535e-05,0.0,-0.031967944545909066,0.0,-1.2763252887396797,-0.0007923069897142726,-0.2640565555207837,-0.0008793065534705325,18.56220500005158,-0.04133728035918911,0.07719905958698242,-0.10825042707257342,-1.7470935674687933,0.9408531190799895,-1.4849745207151972,-0.07230802823571579,0.00031993807220991277,0.0003354105836335939,-0.00939023372454367,0.0,0.0,0.0,0.0,6.481947594478375e-06,-0.005875895897769678,-0.06445178028374055,0.0,0.006158295555339388,0.0,0.033498131791259496,0.0,0.0,0.000366633289010984,0.0,0.3483348495940275,0.00016366448627543978,0.06923227857662069,0.0002012002996173829,-5.184364402189438,0.002632846217896965,-0.020226714544246575,0.028928051475854515,0.4363882136702336,-0.28869529081199163,0.37137897166436257,-0.047630715672950595,-0.00018821277618394982,0.00015378148025523168,-0.026313137657816316
0.1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.543195272139659e-05,-0.9874792942453972,0.0,0.0,-0.9235037004921779,2.2481985246249437e-05,-0.17658917854137673,5.000707748138275e-05,0.0,-0.03145085359209803,0.0,-1.248366461416624,-0.0007076142123427901,-0.24140987370060485,-0.0007901704373351253,18.20385003039817,-0.04841845704791783,0.07230233098737543,-0.09934856085718086,-1.6622114246892945,0.9781098825025264,-1.4368088114315043,-0.02891264659210575,0.00040542391977653794,0.00032746172244877255,0.00371531143290601,0.0,0.0,0.0,0.0,-1.6776494788917466e-05,0.003262611150550556,-0.061602021685027465,0.0,-0.0015651197947024844,0.0,0.013897804958249773,0.0,0.0,-4.24062022687704e-05,0.0,0.2829938399433589,0.00012075138786999893,0.05307742005899354,0.0001553383153688086,-4.311202013348807,0.011186374114940657,-0.015756614596721005,0.02226432252932413,0.3844240166898159,-0.21932640147339133,0.33661444021074605,0.012648864186203888,-4.423198430294429e-05,-6.063961237926582e-05,0.005351178365300036
0.1,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2541629095337438e-05,-0.9443558709529577,0.0,0.0,-0.9010253557590746,1.3497060031977288e-05,-0.1610615584679128,4.7105542547295614e-05,0.0,-0.030948607809136268,0.0,-1.2142049981238212,-0.0006436505891428089,-0.22001884335309263,-0.0007256843391679289,17.925704413125494,-0.05565821827499933,0.0674760251644303,-0.09104827599297616,-1.6080799256491716,1.0043289313861623,-1.4200675160597553,-0.002080206213933602,0.0004541185640353812,0.0003666185905901226,0.009866024776604063,0.0,0.0,0.0,0.0,-2.9087582111469427e-05,0.004626983382138666,-0.059448615802717895,0.0,-0.0027021040296253836,0.0,0.012114123255648165,0.0,0.0,-0.0002679335818584847,0.0,0.22344022191727939,9.258139105934342e-05,0.039465354129358664,0.00011731358328047613,-3.4277533071897115,0.014815427247267343,-0.011981359125842576,0.01663190795479554,0.31948838573603816,-0.16549354004698952,0.2819375806325124,0.04886711380056555,3.8333244817629514e-05,-0.00017475151568423745,0.01987219055758991
0.1,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.848839984065135e-05,-0.9137378754582056,0.0,0.0,-0.8925002760325026,3.341147935068444e-06,-0.15015704348922748,3.897096675205352e-05,0.0,-0.030449575830844684,0.0,-1.1729011846822948,-0.0005929373958046377,-0.19988930241474123,-0.0006751865714131223,17.735771065659964,-0.0654133437541137,0.0627020559641318,-0.08311125895191339,-1.5819007570285837,1.0106370259018165,-1.426141653392826,-0.02408101953654046,0.00042355574204974245,0.0005119816565658957,0.005437939494673593,0.0,0.0,0.0,0.0,-2.587347861673503e-05,-0.0012285991531105912,-0.055887203871415034,0.0,0.0020270138172131537,0.0,0.026625510556415887,0.0,0.0,-8.18245243120202e-05,0.0,0.1710105160206272,7.299874089690553e-05,0.028171791597080525,8.38375523067712e-05,-2.5888839947231865,0.010217707780188552,-0.008858034584449974,0.0119033989093352,0.2298491206270413,-0.14255831825537724,0.2034119791588029,0.02134930429274077,-1.1380933687374916e-05,-7.02276777906887e-05,0.004031268003121911
0.1,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3287567710413801e-05,-0.8866005535534485,0.0,0.0,-0.8804135595448506,-2.018711873051867e-06,-0.14144608488206203,2.2575961644684503e-05,0.0,-0.029959955145196393,0.0,-1.1300928498925493,-0.000548037216941017,-0.1809426161430591,-0.0006301983206503271,17.540766471243078,-0.07461680337466373,0.05814670233128625,-0.07547910524809509,-1.5514612694485612,1.0147195340996213,-1.4257393844194095,-0.054316577456202414,0.0003787597915859282,0.0007038666381627304,0.0019096012439911874,0.0,0.0,0.0,0.0,-1.4734483279057494e-05,-0.005040035814348005,-0.05133245508815838,0.0,0.004401214076332385,0.0,0.03520112605342952,0.0,0.0,0.00017008624469141626,0.0,0.12334075423230847,5.696251273449549e-05,0.018833392821583722,5.542461676697217e-05,-1.8315210345574073,0.004134798054381392,-0.006162170384753246,0.007964312271852014,0.14665221294756495,-0.12359049353176187,0.13281224735464117,-0.019695632994147685,-8.294101615775344e-05,6.601805176042639e-05,-0.014093529756676328
0.1,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0026726897503786e-05,-0.8567238054012624,0.0,0.0,-0.8582751056874071,-2.9367563214522887e-06,-0.13325160027338775,6.451180804657936e-06,0.0,-0.0294879828709812,0.0,-1.0866734620318967,-0.0005059796713862635,-0.16309090762121,-0.0005872243092693278,17.26880552954452,-0.08042656819098584,0.05389113514889545,-0.06818497783893601,-1.504500524534085,1.0276850492490135,-1.4108917571786173,-0.06155211385908096,0.0003651973523345338,0.0008875191822521324,0.005471181596506329,0.0,0.0,0.0,0.0,-3.9002340375785185e-06,-0.0035267024849783167,-0.04703510983800192,0.0,0.00142137122113546,0.0,0.02941068354169186,0.0,0.0,0.0002464353139436206,0.0,0.0785729195198293,4.1884987521269816e-05,0.011151697369150414,3.290091186638508e-05,-1.156558701015376,0.000901973353367572,-0.0037733807011604012,0.004719030602919841,0.0865589529427163,-0.0909622733543269,0.08343628458681844,-0.03558268521036576,-9.886729826942432e-05,0.00010786728586598273,-0.017574485546027363
0.1,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.102166227146078e-06,-0.8236100357474255,0.0,0.0,-0.8303829219958292,-1.671261362372353e-06,-0.1253024548725306,-3.616148567476888e-06,0.0,-0.029036889070753507,0.0,-1.038783186000219,-0.0004666796778754908,-0.14629378474410068,-0.0005457480149363496,16.904334036105293,-0.08188169695209295,0.04991349870109047,-0.061279807872858236,-1.4485481422479483,1.0487948639771394,-1.3906891177498362,-0.043100361987679386,0.00038400183530638013,0.0010510272726848365,0.0149794897833409,0.0,0.0,0.0,0.0,2.625037396470159e-06,0.0009075857518749935,-0.04378128057837505,0.0,-0.004534759042768046,0.0,0.0152973073175827,0.0,0.0,0.00014230658375260954,0.0,0.036754900758067435,2.70188822023395e-05,0.004923284478351704,1.5849109497294902e-05,-0.5476425865719255,0.0005186952993723149,-0.0016844854678577533,0.0020880892874334533,0.04520200901818204,-0.045275347938581754,0.04807423812420378,-0.022746785087878505,-5.687160808359893e-05,5.700012800246895e-05,-0.007995890342640949
