Pressure (atm),Temperature (K),colrel_FactorOne_P3->P4,colrel_FactorOne_P3->P5,colrel_FactorOne_P3->W3,colrel_FactorOne_P4->P5,colrel_FactorOne_P1->P3,colrel_FactorOne_W3->P5,colrel_FactorOne_W3->P4,colrel_FactorOne_W3->P1,colrel_FactorOne_W3->P3,colrel_FactorOne_P5->W3,colrel_FactorOne_P1->W3,colrel_FactorOne_P4->W3,colrel_FactorOne_P1->P4,colrel_FactorOne_P1->P5
0.1,200.0,-1.0717443353849314,-0.000478181041147355,0.0909642007826055,-0.0005155096045493244,0.3761164156280411,22.28233890344495,0.0001035698493910528,0.9953984659026306,0.0909664277053726,22.282344879932005,0.9954186838454676,8.792527310391779e-05,-0.2501698757455796,0.00020878127902280855
0.1,210.0,-1.114012319460035,-0.000399900350782927,0.04102703152747625,-0.0004874664680580497,0.2993107467661121,21.688719390737816,-0.0009561445265012232,1.0086086700359513,0.04103453047941114,21.68872152112824,1.008621717157311,-0.0009920604127707034,-0.23065160506224092,0.00015399695304564985
0.1,220.0,-1.1413423436146168,-0.00038612748770658264,0.036289585968746464,-0.00044621077749424243,0.23633757101874892,21.00592671219988,0.00471741322571703,1.032047541503931,0.03633643349995842,21.005912293609683,1.0320192982398273,0.0046569714627948434,-0.2121859966154547,0.00013782578162215302
0.1,230.0,-1.157373213267946,-0.0003523272061879387,-0.02691058074744968,-0.00039401324931182235,0.1822178548826999,20.737282098967743,-0.007692121202194336,1.027758400189889,-0.026988243490571277,20.737349430234264,1.0277923030603184,-0.007617753074305226,-0.19482423006652963,0.0001442752168885582
0.1,240.0,-1.1630635359833776,-0.0003255002121544687,-0.007178596088702889,-0.0003839416562434192,0.1381644362702742,20.660494003907417,0.0037469424915450764,1.0556930665477666,-0.007192153546250717,20.660495289600497,1.0556731674644129,0.003733844144042771,-0.17822351132691858,0.0001581795771871354
0.1,250.0,-1.1706593515555077,-0.00030654126469683603,0.006341114773982638,-0.00037123018696133883,0.10185704169204399,20.939378860978817,0.008025354454571238,1.0753316188050612,0.00636967427645642,20.93935403981288,1.0753026137245925,0.007965009455365091,-0.16259011906240523,0.000174320281867436
0.1,260.0,-1.1754309453827516,-0.00028825196880669817,-0.00887919742034136,-0.0003433038422070675,0.07139151753885513,21.342891575850917,0.0036527701690266174,1.0810549693691254,-0.008877368087938054,21.342902563541134,1.0810703974095364,0.0036371038299278613,-0.14794129274957854,0.0001847627765631584
0.1,270.0,-1.1726716847988023,-0.00026732684888711823,-0.028157994672887477,-0.0003109649357406953,0.04602728066644246,21.539824707998054,0.0010176225303722818,1.085724576070088,-0.028194376713142795,21.53987243093493,1.0857786955695623,0.001062334368197328,-0.13416250716778108,0.00018614738020650962
0.1,280.0,-1.1635009717362323,-0.00024464803170695003,-0.031588922610850424,-0.00028438743644705166,0.025564815662414152,21.355967633660676,0.00477833273170076,1.0970105177477159,-0.03163429654609121,21.356017857495022,1.0970672839499906,0.00484479914625483,-0.12116387334856546,0.0001808159589597702
0.1,290.0,-1.1512247719335635,-0.00022257651608313702,-0.01716024553161486,-0.0002659828407283477,0.009797030832567968,20.79931521425094,0.013163172951668661,1.1140289629083242,-0.01718520999054408,20.799338839836,1.1140600053184548,0.013210312053600128,-0.10892809433693978,0.00017342267915902717
0.1,300.0,-1.1374916936169104,-0.00020304725890472734,0.006819009044206618,-0.0002529957357999695,-0.0016939642739319124,19.9815165941455,0.02257022464684957,1.1323023964801995,0.006824478293607594,19.981506381561513,1.1323011876968576,0.022580669065064684,-0.09748770394414055,0.00016785975607362671
0.1,310.0,-1.1212374526473732,-0.00018693701151553107,0.0310327836036358,-0.00024152296773214736,-0.009516558955801408,19.038116704199304,0.030655345542569178,1.1480640583038098,0.031060670392784966,19.03808371489819,1.1480412232051316,0.030635302196391045,-0.08688768223645489,0.0001660248575777727
0.1,320.0,-1.0996298622257026,-0.0001741900314374109,0.0498762027514147,-0.00022884496230079403,-0.014370121499717673,18.081833152363807,0.03699497715667034,1.1598139258306899,0.04991038677451213,18.081795800110523,1.159786361233296,0.036962616451134,-0.07715919186643397,0.00016797817875786522
0.1,330.0,-1.0695716205608738,-0.000164198114078742,0.06206612421207312,-0.00021399851088191386,-0.016947914633183635,17.18651768044137,0.042442315462588094,1.1680025758027746,0.062091714761176364,17.186492220861794,1.1679845453203168,0.04241615057058625,-0.06830844815477441,0.00017266491281372795
0.1,340.0,-1.0288655098864583,-0.00015615827641529974,0.0692619105784718,-0.00019738332670605382,-0.017871765413489015,16.389380192075812,0.04823764457500226,1.1740698886295673,0.06927038959547836,16.38937577167374,1.1740687068236288,0.04822963965263272,-0.060316378076325346,0.00017864428351647464
0.1,350.0,-0.9767645315236331,-0.00014931168420825365,0.07432512741898781,-0.00018009210179612044,-0.01766017798930731,15.700630656250524,0.05538525111394528,1.1795807305990345,0.07431537950994503,15.700648544982602,1.1795964204671683,0.05539887241673519,-0.05314370762949206,0.00018459180280292335
0.1,360.0,-0.9139889330984642,-0.0001430624062129127,0.08000304752581341,-0.0001633367938021929,-0.016721379547148117,15.114013022316808,0.06439377925722053,1.1857157478390288,0.07997978384407646,15.11404839415919,1.1857429905276664,0.06442534117212696,-0.04673763021345606,0.00018954817533653885
0.1,370.0,-0.8424158203283909,-0.00013700920089789926,0.08822316430939203,-0.0001480938994635604,-0.015361440139904706,14.615311137032158,0.07528641013311271,1.1931003467414094,0.08819431824769197,14.615355794997036,1.1931311723449223,0.07532786979906675,-0.04103796099237103,0.00019297713713021736
0.1,380.0,-0.7646378670745221,-0.0001309270375816274,0.09989440828326722,-0.0001349563588452217,-0.013799620055386826,14.18809545839626,0.08774780090735419,1.2018556411135017,0.09986860915132309,14.188140416663176,1.2018818544882999,0.08778965374944088,-0.03598194377726762,0.00019471152097297797
0.1,390.0,-0.6835285903272522,-0.00012472669498935204,0.1150258114048044,-0.00012412990846749554,-0.012185754072450839,13.817023604692615,0.10130307187837854,1.2117525189866152,0.11501050332760843,13.817060989224963,1.211767395448214,0.10133661740829333,-0.031507595365381516,0.00019485208256093386
0.1,400.0,-0.6018888698823124,-0.00011841039309807114,0.13299100842129888,-0.00011550830745194451,-0.01061671843025557,13.489352206090823,0.115468362584149,1.2223839279767275,0.13299137214576043,13.489376339176252,1.2223830964764142,0.11548709617426352,-0.027555799093194094,0.0001936608864701118
0.1,410.0,-0.5222013790622976,-0.00011203289468692073,0.15281915760059459,-0.00010877715439086026,-0.009150591812706013,13.195312397064779,0.12984935526525637,1.233308487791371,0.15283775021940446,13.195320164535412,1.2332901303070876,0.12984954064044754,-0.024071456613253717,0.00019147112817067088
0.1,420.0,-0.4464896381210608,-0.00010567174714961128,0.17344515582936737,-0.00010351474327364001,-0.007818088355771833,12.927862070813475,0.14418754152734817,1.2441477185269973,0.1734820770208878,12.927852769014168,1.2441122951117,0.1441681590308045,-0.02100399151242676,0.0001886213702750487
0.1,430.0,-0.376263349595155,-9.940697270796595e-05,0.19389152210803548,-9.927400972161724e-05,-0.0066313694464823795,12.682166112122168,0.1583654365228504,1.2546371640940308,0.19394489791313474,12.682140983962178,1.2545868735070729,0.1583277359887255,-0.018307440317333005,0.0001854139977825725
0.1,440.0,-0.31252675703939947,-9.330886905835712e-05,0.21337924713573223,-9.564035103339213e-05,-0.00559058515673991,12.45501828016014,0.1723852395099485,1.2646404934649658,0.2134458519168013,12.45497991726405,1.2645786403255397,0.1723321015342716,-0.015940301749506034,0.00018209377109345545
0.1,450.0,-0.25582773529695085,-8.743200915889535e-05,0.23137797144680802,-9.22664086448475e-05,-0.00468857213479669,12.244318105189231,0.18633420792021138,1.274138335711963,0.23145385633599633,12.24426984467769,1.2740687237412311,0.18626946778076048,-0.013865259262100273,0.00017884112845001558
0.1,460.0,-0.20632908568946137,-8.181354607557987e-05,0.2476108118979031,-8.888793304606403e-05,-0.003914121396580539,12.048650545793443,0.20034685903339017,1.2832028386556635,0.24769185643033306,12.04859594211285,1.2831292610249734,0.20027469439883264,-0.0120488493752897,0.00017577514437385722
0.1,470.0,-0.1638881218360825,-7.647421900721667e-05,0.2620293043430938,-8.532577502782203e-05,-0.0032541755079691483,11.866977419033331,0.21457061843093128,1.291966647789365,0.2621116486038919,11.866919831402576,1.291892506685035,0.21449505601356356,-0.010461118501799557,0.00017296196777191213
0.1,480.0,-0.12813501276352957,-7.142083166887066e-05,0.27477167433766114,-8.14787847328688e-05,-0.002695248044053346,11.698429515514556,0.22913849615759851,1.3005923530476255,0.27485201899648865,11.698371822410826,1.3005204129893007,0.22906305759812015,-0.009075291338772874,0.000170425653766841
0.1,490.0,-0.09854400764349827,-6.664933495453488e-05,0.28611453253870817,-7.731158553353826e-05,-0.002224293473938395,11.542180020865228,0.244150084304254,1.3092460597978475,0.2861903139119808,11.542124454006787,1.3091783220040965,0.24407756799903255,-0.007867461746977777,0.00016815931226417147
0.1,500.0,-0.07449446200409068,-6.214794857055744e-05,0.2964249961042981,-7.284021413094013e-05,-0.0018291992420672208,11.39737840376811,0.259660645420314,1.3180768573733275,0.2964944546253252,11.397326483425426,1.3180145334395559,0.2595930270385421,-0.006816309971810521,0.0001661353171864013
0.1,510.0,-0.05532056789823685,-5.789998912864251e-05,0.3061175868714964,-6.811769521946664e-05,-0.001499025803571764,11.263125966528719,0.27567717986228824,1.3272026238530468,0.3061797522318566,11.263078515520267,1.3271461838773593,0.2756156076608466,-0.00590284627078394,0.00016431393087662198
0.1,520.0,-0.040349992581072074,-5.388623913357814e-05,0.31561819693480625,-6.322084604156133e-05,-0.0012240844313831625,11.138477722070162,0.2921599606127904,1.336701755606712,0.3156728137305279,11.138434935453741,1.33665102660815,0.29210482009631916,-0.005110179217570812,0.00016265011816924134
0.1,530.0,-0.028932405995987297,-5.0086803308068354e-05,0.32533593351702506,-5.823901106897992e-05,-0.0009959154454976327,11.022458983314145,0.3090279513026795,1.3466099410744095,0.3253833491742818,11.022420532924478,1.3465642344623858,0.3089789754029589,-0.004423306298509581,0.00016109859036230555
0.1,540.0,-0.02045927131284314,-4.648246830615021e-05,0.33564267583048635,-5.326500048977336e-05,-0.0008072095122426793,10.914088427789666,0.32616664914480115,1.3569209037391767,0.33568370916256707,10.914053584173857,1.3568791545266936,0.32612305345819464,-0.0038289243629153692,0.00015961726965762595
0.1,550.0,-0.01437640610056487,-4.305562068796123e-05,0.3468595908149271,-4.838822195141716e-05,-0.00065170026470952,10.812402185613976,0.34343712349141675,1.3675900264726155,0.34689539565405925,10.812369943737801,1.367550931083739,0.34339775019066465,-0.0033152577091645177,0.00015816943420384464
0.1,560.0,-0.010190788964088163,-3.979079570621522e-05,0.35924955814646764,-4.368982210379313e-05,-0.000524046348733845,10.716475645910261,0.3606852868201818,1.3785398653308898,0.3592814926627032,10.716444844717142,1.3785020087486763,0.3606487449769675,-0.002871901901790878,0.00015672482062191885
0.1,570.0,-0.007472957280963257,-3.667493345790337e-05,0.37301435801405863,-3.923956343980243e-05,-0.00041971399448671335,10.625441239870929,0.37775069647555615,1.3896667121381223,0.3730438669015155,10.625410669071476,1.3896286785132967,0.37771549029575346,-0.0024896817267101943,0.00015525994581830417
0.1,580.0,-0.005856164811174077,-3.3697414760689335e-05,0.38829550646353056,-3.509412767668351e-05,-0.0003348664844829094,10.538501534846487,0.3944744189442108,1.4008475355174888,0.38832402029476615,10.538470025061967,1.400807999106637,0.39443905862755835,-0.002160521960673164,0.00015375787790126495
0.1,590.0,-0.00503327582367269,-3.084994055483855e-05,0.40517772916185835,-3.129653959891864e-05,-0.00026626377562936123,10.454937668708945,0.4107056829861226,1.4119467965249075,0.40520658292502376,10.454904163255348,1.4119045919450726,0.4106687755074872,-0.001877329844806361,0.00015220764710350098
0.1,600.0,-0.004752185177037009,-2.8126308258858165e-05,0.42369420730576274,-2.7876430013767984e-05,-0.0002111735469287638,10.374113564879961,0.42630720096855806,1.422822784697901,0.4237245784186257,10.374077173092935,1.422776957025248,0.4262675200529144,-0.0016338883131204766,0.00015060344806773956
0.1,610.0,-0.004810382997393801,-2.5522127926630197e-05,0.4438328836143672,-2.4850892633395034e-05,-0.00016729373003634529,10.295476578119613,0.4411591515618624,1.4333332470169178,0.44386574848931987,10.295436611252248,1.4332830833021164,0.4411156875503713,-0.001424759143955432,0.00014894374830017146
0.1,620.0,-0.00504913375762898,-2.303451120040008e-05,0.4655432658833448,-2.2225730091262418e-05,-0.00013268588289894333,10.218555294768969,0.45516189643555593,1.443340184348383,0.465579373316899,10.218511286224444,1.4432852287618239,0.4551138876983918,-0.001245195285939774,0.0001472303858519671
0.1,630.0,-0.005347614351618026,-2.0661757403971393e-05,0.4887433012612276,-1.9996924312259957e-05,-0.00010571840849941185,10.14295519810723,0.46823755464975925,1.4527137684892821,0.4887831604565638,10.142906910179681,1.4526538236339754,0.4681845027811463,-0.001091061669940702,0.00014546771298483898
0.1,640.0,-0.005617253479193106,-1.8403053855331334e-05,0.5133260118001,-1.8152203368239443e-05,-8.50184776714037e-05,10.068352845796657,0.48033058704346315,1.4613353905369315,0.5133698926236397,10.068300265262502,1.4612705075564045,0.4802722583604022,-0.0009587638627324689,0.00014366182162628616
0.1,650.0,-0.005796433289273379,-1.625820159323734e-05,0.5391656796188454,-1.6672609362675884e-05,-6.943150302334399e-05,9.994489117165232,0.4914075545683051,1.4690998911856061,0.5392136226728661,9.994432442059722,1.4690303512166276,0.4913439705021806,-0.0008451839528732317,0.00014181987033915261
0.1,660.0,-0.005845651121501537,-1.4227373101544043e-05,0.5661234488189818,-1.553399928261579e-05,-5.7987074130923905e-05,9.921161990096357,0.5014562139471557,1.4759170490383833,0.5661752830243754,9.921101609881973,1.4758433383700988,0.501387632830822,-0.0007476230889342911,0.0001399495206475744
0.1,670.0,-0.005743191515093155,-1.2310905119569349e-05,0.5940522728270459,-1.4708433174554244e-05,-4.9870365866396995e-05,9.848219211155335,0.5104841051607967,1.4817124172537024,0.5941076384070936,9.848155682283881,1.4816351982998572,0.5104109977249921,-0.0006637501176490297,0.00013805848215414572
0.1,680.0,-0.005481323685192862,-1.0509127070960378e-05,0.6228011823426204,-1.4165421811345241e-05,-4.4398148877728414e-05,9.775551134462894,0.5185167711821312,1.486427604595262,0.6228595573439867,9.775485153085622,1.4863476844981685,0.5184397918251621,-0.0005915557965123506,0.00013615416025649577
0.1,690.0,-0.005063014912974382,-8.822223854569026e-06,0.6522188829377109,-1.3873019755392017e-05,-4.0998649823595e-05,9.703083927848438,0.525595733453859,1.4900200965677317,0.6522796116917685,9.70301630116481,1.4899383949560285,0.5255156890685211,-0.0005293120827485297,0.00013424339680121326
0.1,700.0,-0.004499133579118794,-7.250130560795589e-06,0.6821567148951033,-1.3798759988803496e-05,-3.919462100510066e-05,9.630773280080584,0.5317763285854934,1.4924627077149855,0.6822190370915745,9.630704897552413,1.4923802248491191,0.5316941464398961,-0.00047553602874137314,0.00013233229216304498
0.1,800.0,0.00471890438163928,2.43830690675998e-06,0.9826722075137004,-1.8704501411922205e-05,-4.851040322818922e-05,8.918040923531546,0.5620007900681857,1.4565231560357776,0.9827036427195978,8.918014739586447,1.4564870821348272,0.5619544498692888,-0.00019859778108934827,0.00011393300481435922
0.1,900.0,0.009348860748823917,3.3368212182127917e-06,1.2330867703517878,-2.1469144670389896e-05,-4.016887035355131e-05,8.24400752391346,0.5940102342151911,1.3464231516274352,1.233040817526943,8.244067449512157,1.34647893911154,0.594060326739165,-0.00010063674359150612,9.684741249380672e-05
0.1,1000.0,0.006171957726539543,-4.1015892264988695e-07,1.413243309733829,-1.7680325143533273e-05,-1.3416508328594697e-05,7.620319472948378,0.6794838441443567,1.2216755652057345,1.413141486866928,7.620438428737473,1.221791981756771,0.6796101991751332,-5.5521488519177645e-05,7.994710859034921e-05
0.1,1100.0,0.00010639753988902836,-5.347649534115233e-06,1.5351073799398507,-1.0711056219905828e-05,1.0587026300842789e-05,7.03762201139225,0.8209523759723882,1.1194951547517002,1.534988521863633,7.037757495122213,1.1196254924796247,0.821108687819658,-4.172752361043961e-05,6.341268517342773e-05
