12											
  1 2 3 4 5 6 7 8 9 10											
 freq											
1	0	235.4	322.3	415.8	774.4	927.3	1273.8	1490.5	1579.6	1842.5	4026
2	1.065	212.3	342.1	403.7	777.7	907.5	1280.4	1508.1	1564.2	1833.7	4028.2
3	3.529	174.9	345.4	419.1	723.8	962.5	1244.1	1499.3	1564.2	1785.3	4035.9
4	5.071	157.3	213.4	407	638	1136.3	1218.8	1492.7	1570.8	1562	4068.9
5	5.483	182.6	170.5	414.7	651.2	1161.6	1201.2	1489.4	1562	1580.7	4063.4
6	5.551	127.6	212.3	404.8	652.3	979	1233.1	1489.4	1570.8	1683	4063.4
7	5.558	101.2	247.5	403.7	671	848.1	1236.4	1490.5	1573	1756.7	4060.1
8	5.594	112.2	251.9	430.1	708.4	837.1	1235.3	1489.4	1575.2	1766.6	4057.9
9	5.589	133.1	214.5	423.5	694.1	958.1	1232	1486.1	1573	1697.3	4051.3
10	5.39	182.6	174.9	436.7	680.9	1142.9	1211.1	1483.9	1567.5	1585.1	4045.8
11	4.382	180.4	236.5	456.5	709.5	1166	1244.1	1471.8	1577.4	1581.8	4029.3
12	1.418	217.8	325.6	453.2	749.1	1035.1	1237.5	1472.9	1595	1774.3	3996.3
