==============================
nominal_B1_Energy_1_0.0
High pressure limit
T(K),k_bi-TST
200.,0.2911E-12
210.,0.2771E-12
220.,0.2660E-12
230.,0.2573E-12
240.,0.2505E-12
250.,0.2454E-12
260.,0.2416E-12
270.,0.2390E-12
280.,0.2374E-12
290.,0.2367E-12
300.,0.2367E-12
310.,0.2374E-12
320.,0.2387E-12
330.,0.2406E-12
340.,0.2429E-12
350.,0.2457E-12
360.,0.2489E-12
370.,0.2525E-12
380.,0.2564E-12
390.,0.2607E-12
400.,0.2653E-12
410.,0.2702E-12
420.,0.2753E-12
430.,0.2807E-12
440.,0.2864E-12
450.,0.2924E-12
460.,0.2986E-12
470.,0.3050E-12
480.,0.3116E-12
490.,0.3185E-12
500.,0.3256E-12
510.,0.3329E-12
520.,0.3404E-12
530.,0.3482E-12
540.,0.3561E-12
550.,0.3643E-12
560.,0.3726E-12
570.,0.3812E-12
580.,0.3899E-12
590.,0.3989E-12
600.,0.4081E-12
610.,0.4174E-12
620.,0.4270E-12
630.,0.4367E-12
640.,0.4467E-12
650.,0.4569E-12
660.,0.4672E-12
670.,0.4778E-12
680.,0.4885E-12
690.,0.4995E-12
700.,0.5107E-12
800.,0.6334E-12
900.,0.7770E-12
1000.,0.9421E-12
1100.,0.1130E-11
1200.,0.1340E-11
1300.,0.1575E-11
1400.,0.1833E-11
1500.,0.2117E-11
1600.,0.2425E-11
1700.,0.2759E-11
1800.,0.3118E-11
1900.,0.3502E-11
2000.,0.3912E-11
2100.,0.4348E-11
2200.,0.4808E-11
2300.,0.5293E-11
2400.,0.5802E-11
2500.,0.6335E-11
2600.,0.6889E-11
2700.,0.7465E-11
2800.,0.8061E-11
2900.,0.8675E-11
3000.,0.9305E-11
