perturb_B1_Energy_1_175.0,perturb_B1_Symmetry_1_0.5
-2.193098154695382,-0.9995773247015098
-2.123804176119966,-1.0004357342237107
-2.056990743380548,-1.0004991127107299
-1.992547725631227,-1.0004083492722924
-1.930818634793943,-1.0001299859218638
-1.8715205510736819,-0.9997770034611042
-1.8146241155395668,-0.9995142926816917
-1.760213548345501,-0.9994090721438409
-1.7083013993885954,-0.999432888020659
-1.6588014554856199,-0.99952033325692
-1.6115751680507655,-0.999614330898789
-1.5664783373579971,-0.999683372768668
-1.5233851539222933,-0.9997198470823617
-1.4821929031049716,-0.9997310417237351
-1.4428167791187891,-0.9997300550431222
-1.405182168110451,-0.9997295077265189
-1.369218218199578,-0.9997383624749906
-1.334853901187643,-0.9997610845140504
-1.3020163871243875,-0.9997981798897402
-1.270631046029605,-0.9998473298356418
-1.240622357724948,-0.9999046129128605
-1.2119151700578499,-0.9999655455044835
-1.1844359433661225,-1.00002583849766
-1.158113787110198,-1.0000818673705276
-1.1328812138518662,-1.000130901734951
-1.1086746092688597,-1.0001711567957359
-1.0854344555013233,-1.0002017274787591
-1.0631053603315384,-1.000222455879271
-1.041635945912129,-1.0002337700729025
-1.0209786446986282,-1.000236520359638
-1.0010894412487694,-1.000231829062937
-0.9819275891656307,-1.0002209624502982
-0.9634553240004744,-1.0002052280196123
-0.9456375859372385,-1.0001858969265571
-0.9284417606512013,-1.0001641492787086
-0.9118374427358127,-1.0001410389923018
-0.8957962232928074,-1.0001174745664654
-0.8802915014293287,-1.000094212221899
-0.8652983182678293,-1.000071858190089
-0.8507932114515099,-1.000050877396406
-0.8367540878609931,-1.0000316062712655
-0.8231601122252956,-1.0000142678962354
-0.8099916094222313,-0.9999989881178926
-0.79722997845651,-0.9999858116282695
-0.7848576163342836,-0.9999747173138177
-0.7728578502921293,-0.9999656324177857
-0.7612148770687269,-0.9999584452499243
-0.7499137081186672,-0.9999530163199656
-0.7389401198551271,-0.9999491878751943
-0.7282806081700707,-0.9999467918949937
-0.7179223466178756,-0.9999456566431324
-0.6285011327175911,-0.9999706798157764
-0.5589148081530577,-1.0000013353484607
-0.5032336580822678,-1.0000189563708273
-0.4576515850038083,-1.0000363352741195
-0.4196316759669498,-1.0000617335134163
-0.38742263635515334,-1.0000940192550267
-0.35977813387768753,-1.0001273531002717
-0.3357877949725067,-1.0001555770582897
-0.3147714904073859,-1.000174386042734
-0.29621092095034257,-1.0001818391074384
-0.27970404553446054,-1.0001780374013636
-0.26493397632674903,-1.0001645252434141
-0.25164729842058897,-1.000143697346524
-0.23963867612376963,-1.0001183224529235
-0.22873973809974676,-1.0000912049116335
-0.21881092683656478,-1.0000649679686828
-0.20973543479614934,-1.0000419311262463
-0.20141463121213293,-1.0000240543520227
-0.19376456853020507,-1.0000129266550872
-0.18671328107496107,-1.0000097820817035
-0.18019867230401568,-1.000015531109943
-0.17416684456693585,-1.000030799320662
-0.1685707653270979,-1.0000559681092906
