*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1475           10  1.86224e+10    0.0236021  0.000180481   0.00919479
         1480           10  1.85812e+10    0.0218166  0.000148547      0.00777
         1485           10  1.85401e+10    0.0216415  0.000149435   0.00781434
         1490           10  1.84993e+10    0.0237974  0.000191335   0.00979711
         1495           10  1.84588e+10    0.0239612  0.000195351    0.0100266
         1500           10  1.84184e+10    0.0218684  0.000160709   0.00843507
         1505           10  1.83783e+10    0.0219355    0.0001623   0.00854965
         1510           10  1.83384e+10    0.0239972  0.000199541    0.0103145
         1515           10  1.82988e+10    0.0219699  0.000167659   0.00887441
         1520           10  1.82593e+10    0.0222682  0.000173382   0.00918096
         1525           10  1.82201e+10    0.0238486  0.000205671    0.0107193
         1530           10  1.81811e+10    0.0235903  0.000201949    0.0105891
         1535           10  1.81424e+10    0.0221752  0.000177145   0.00947028
         1540           10  1.81038e+10    0.0219592  0.000175052   0.00941726
         1545           10  1.80654e+10    0.0233384   0.00020628    0.0108894
         1550           10  1.80273e+10     0.023054   0.00020678    0.0109946
         1555           10  1.79894e+10    0.0216141  0.000177878   0.00965805
         1560           10  1.79516e+10    0.0214342   0.00017579   0.00957796
         1565           10  1.79141e+10    0.0228842  0.000214235    0.0114425
         1570           10  1.78768e+10    0.0227388  0.000215915    0.0115961
         1575           10  1.78397e+10    0.0211047  0.000187132    0.0102433
         1580           10  1.78027e+10    0.0210396  0.000190563    0.0104729
         1585           10   1.7766e+10    0.0230549  0.000235994    0.0126639
         1590           10  1.77295e+10    0.0234184  0.000242181    0.0129672
         1595           10  1.76932e+10    0.0214572  0.000208474    0.0114417
         1600           10   1.7657e+10     0.021869  0.000215521    0.0118148
         1605           10  1.76211e+10    0.0235872  0.000249883    0.0134762
         1610           10  1.75853e+10    0.0234614  0.000245345    0.0133175
         1615           10  1.75497e+10    0.0220477  0.000223697    0.0123171
         1620           10  1.75144e+10    0.0235131   0.00025101    0.0136357
         1625           10  1.74792e+10    0.0232842  0.000247764     0.013543
         1630           10  1.74441e+10    0.0219919   0.00022439    0.0124725
         1635           10  1.74093e+10    0.0218087   0.00022072    0.0123486
         1640           10  1.73746e+10    0.0231462  0.000250914    0.0138571
         1645           10  1.73401e+10    0.0229937  0.000250727    0.0139685
         1650           10  1.73058e+10    0.0216259  0.000224374    0.0126799
         1655           10  1.72717e+10    0.0214637  0.000223694    0.0127226
         1660           10  1.72377e+10    0.0228611  0.000261521    0.0146841
         1665           10   1.7204e+10    0.0228018   0.00027072    0.0152576
         1670           10  1.71703e+10     0.021481  0.000238505    0.0136434
         1675           10  1.71369e+10    0.0210568  0.000243508    0.0140508
         1680           10  1.71036e+10    0.0236438  0.000309088     0.017318
         1685           10  1.70705e+10    0.0232858  0.000306053    0.0172711
         1690           10  1.70376e+10    0.0222916  0.000284591    0.0162557
         1695           10  1.70048e+10    0.0217623  0.000286305     0.016529
         1700           10  1.69722e+10    0.0233876  0.000322479    0.0181976
         1705           10  1.69397e+10    0.0232691   0.00031526    0.0178665
         1710           10  1.69074e+10    0.0219543  0.000294941      0.01699
         1715           10  1.68752e+10    0.0217626  0.000291635    0.0169266
         1720           10  1.68433e+10    0.0232324  0.000316563    0.0181777
         1725           10  1.68114e+10    0.0217623  0.000297444     0.017272
         1730           10  1.67798e+10    0.0218131  0.000291115    0.0170611
         1735           10  1.67482e+10    0.0230269  0.000319793    0.0184645
         1740           10  1.67169e+10    0.0229874  0.000317606    0.0183313
         1745           10  1.66856e+10    0.0216207  0.000293672    0.0173356
         1750           10  1.66546e+10    0.0215365  0.000292452    0.0172875
         1755           10  1.66237e+10    0.0231049  0.000330836    0.0191757
         1760           10  1.65929e+10    0.0232383  0.000341234    0.0197108
         1765           10  1.65623e+10    0.0218779  0.000311661     0.018429
         1770           10  1.65318e+10    0.0224276  0.000332548    0.0194834
         1775           10  1.65014e+10    0.0240915  0.000378849    0.0217754
         1780           10  1.64712e+10    0.0241564   0.00039245    0.0224732
         1785           10  1.64412e+10    0.0233498  0.000374517    0.0217714
         1790           10  1.64113e+10    0.0229175  0.000381978    0.0222173
         1795           10  1.63815e+10    0.0239035  0.000413361     0.023795
         1800           10  1.63519e+10    0.0233894   0.00041471     0.024093
         1805           10  1.63224e+10    0.0224749   0.00040063    0.0235292
         1810           10   1.6293e+10    0.0221401  0.000398762    0.0235636
         1815           10  1.62638e+10    0.0231145  0.000422169    0.0247246
         1820           10  1.62347e+10    0.0222203  0.000405948    0.0240444
         1825           10  1.62057e+10    0.0219677   0.00040186    0.0239527
         1830           10  1.61769e+10    0.0230017  0.000424307     0.025091
         1835           10  1.61482e+10    0.0228746  0.000418666    0.0249584
         1840           10  1.61196e+10    0.0218244  0.000405225    0.0244599
         1845           10  1.60912e+10    0.0217618  0.000398358    0.0242038
         1850           10  1.60629e+10    0.0230424  0.000430081    0.0257216
         1855           10  1.60347e+10     0.023221    0.0004336    0.0260841
         1860           10  1.60067e+10    0.0229275  0.000440476    0.0264256
         1865           10  1.59787e+10    0.0238424  0.000463711     0.027708
         1870           10  1.59509e+10    0.0248894  0.000496063    0.0291887
         1875           10  1.59232e+10    0.0252008  0.000507461    0.0299076
         1880           10  1.58957e+10    0.0243547  0.000494683    0.0294104
         1885           10  1.58682e+10    0.0246182  0.000508317    0.0302178
         1890           10  1.58409e+10    0.0252062  0.000530749    0.0313201
         1895           10  1.58137e+10    0.0249749  0.000541592    0.0319935
         1900           10  1.57867e+10    0.0244944  0.000532967    0.0316615
         1905           10  1.57597e+10    0.0242538  0.000535331    0.0319705
         1910           10  1.57329e+10    0.0248788  0.000551227    0.0327921
         1915           10  1.57062e+10    0.0244534  0.000556364    0.0332388
         1920           10  1.56795e+10    0.0238723  0.000552667    0.0332393
         1925           10  1.56531e+10    0.0244086    0.0005687    0.0341016
         1930           10  1.56267e+10    0.0240032  0.000566252    0.0341476
         1935           10  1.56004e+10    0.0236068  0.000561796    0.0340531
         1940           10  1.55743e+10    0.0239479  0.000581201    0.0350851
         1945           10  1.55482e+10    0.0237496   0.00057287    0.0348782
         1950           10  1.55223e+10    0.0246685  0.000605729    0.0365521
         1955           10  1.54965e+10    0.0251401  0.000619617    0.0370982
