    E, kcal/mol    D, mol/kcal       W1a->W1b       W1a->W2a       W1a->W2b        W1a->P1
          -4.22              0            ***            ***            ***            ***
       -4.07704    1.73953e+06              0        1.09997        1.09997              0
       -3.93409    5.72317e+06              0        1.09998        1.09998              0
       -3.79113     1.3963e+07              0        1.09998        1.09998              0
       -3.64818    2.79871e+07              0        1.09998        1.09998              0
       -3.50522    5.10259e+07              0        1.09998        1.09998              0
       -3.36227    8.71796e+07    2.34348e+09        1.09998        1.09998              0
       -3.21931    1.41184e+08    5.86335e+09        1.09998        1.09998              0
       -3.07636     2.1898e+08    1.06204e+10        1.09998        1.09998              0
        -2.9334    3.26779e+08    1.62561e+10        1.09998        1.09998              0
       -2.79044    4.73857e+08    2.25879e+10        1.09998        1.09998              0
       -2.64749    6.70681e+08    2.93859e+10        1.09998        1.09998              0
       -2.50453    9.28981e+08    3.66121e+10        1.09998        1.09998              0
       -2.36158    1.26337e+09    4.39357e+10        1.09998        1.09998              0
       -2.21862    1.69247e+09     5.1632e+10        1.09998        1.09998              0
       -2.07567    2.23302e+09    5.93558e+10        1.09998        1.09998              0
       -1.93271    2.90994e+09    6.72655e+10        1.09998        1.09998              0
       -1.78976    3.74997e+09    7.51236e+10        1.09998        1.09998              0
        -1.6468    4.78121e+09    8.31256e+10        1.09998        1.09998              0
       -1.50384    6.03823e+09    9.10321e+10        1.09998        1.09998              0
       -1.36089    7.55873e+09     9.8948e+10        1.09998        1.09998              0
       -1.21793    9.38327e+09    1.06787e+11        1.09998        1.09998              0
       -1.07498    1.15623e+10     1.1461e+11        1.09998        1.09998              0
      -0.932022    1.41492e+10    1.22305e+11        1.09998        1.09998              0
      -0.789066    1.72035e+10    1.29928e+11        1.09998        1.09998              0
      -0.646111     2.0795e+10    1.37402e+11        1.09998        1.09998              0
      -0.503155    2.49992e+10    1.44759e+11        1.09998        1.09998              0
      -0.360199    2.98972e+10    1.51976e+11        1.09998        1.09998              0
      -0.217244    3.55863e+10     1.5902e+11        1.09998        1.09998              0
     -0.0742882    4.21706e+10    1.65894e+11        1.09998        1.09998              0
      0.0686673    4.97641e+10    1.72605e+11        1.09998        1.09998    2.72005e+08
       0.211623    5.84974e+10    1.79136e+11        1.09998        1.09998    5.46979e+09
       0.354578    6.85108e+10    1.85496e+11        1.09998        1.09998     2.5476e+10
       0.497534    7.99572e+10    1.91686e+11        1.09998        1.09998    6.78258e+10
        0.64049    9.30156e+10    1.97697e+11        1.09998        1.09998    1.40568e+11
       0.783445    1.07873e+11    2.03538e+11        1.09998        1.09998    2.42409e+11
       0.926401    1.24737e+11    2.09211e+11        1.09998        1.09998    3.75921e+11
        1.06936    1.43842e+11    2.14722e+11        1.09998        1.09998    5.40066e+11
        1.21231    1.65435e+11    2.20071e+11        1.09998        1.09998    7.31131e+11
        1.35527    1.89792e+11     2.2528e+11        1.09998        1.09998    9.45345e+11
        1.49822     2.1722e+11    2.30335e+11        1.09998        1.09998    1.18008e+12
        1.64118    2.48044e+11    2.35264e+11        1.09998        1.09998    1.42969e+12
        1.78413    2.82618e+11    2.40058e+11        1.09998        1.09998     1.6884e+12
        1.92709    3.21337e+11    2.44736e+11        1.09998        1.09998    1.93983e+12
        2.07005     3.6462e+11    2.49294e+11        1.09998        1.09998    2.18931e+12
          2.213    4.12922e+11    2.53758e+11        1.09998        1.09998    2.42029e+12
        2.35596    4.66751e+11    2.58111e+11        1.09998        1.09998    2.58553e+12
        2.49891    5.26644e+11    2.62374e+11        1.09998        1.09998    2.70294e+12
        2.64187    5.93178e+11    2.66546e+11        1.09998        1.09998     2.7931e+12
        2.78482    6.66995e+11    2.70635e+11        1.09998        1.09998    2.85474e+12
        2.92778     7.4877e+11    2.74642e+11        1.09999        1.09999    2.89295e+12
        3.07073    8.39234e+11    2.78574e+11        1.09998        1.09998    2.91038e+12
        3.21369    9.39197e+11    2.82428e+11        1.09998        1.09998    2.90102e+12
        3.35665     1.0495e+12    2.86213e+11        1.09998        1.09998    2.87004e+12
         3.4996    1.17107e+12    2.89931e+11        1.09998        1.09998    2.84035e+12
        3.64256    1.30489e+12    2.93582e+11        1.09998        1.09998    2.81294e+12
        3.78551    1.45203e+12    2.97169e+11        1.09998        1.09998      2.788e+12
        3.92847    1.61362e+12    3.00695e+11        1.09998        1.09998    2.76734e+12
        4.07142    1.79091e+12    3.04159e+11        1.09998        1.09998    2.75102e+12
        4.21438    1.98519e+12    3.07565e+11        1.09998        1.09998    2.73987e+12
        4.35733    2.19788e+12    3.10914e+11        1.09998        1.09998    2.73455e+12
        4.50029    2.43049e+12    3.14206e+11        1.09998        1.09998    2.73558e+12
        4.64325    2.68464e+12    3.17443e+11        1.09998        1.09998    2.74352e+12
         4.7862    2.96205e+12    3.20627e+11        1.09998        1.09998    2.75899e+12
        4.92916    3.26457e+12    3.23759e+11        1.09998        1.09998    2.78163e+12
        5.07211    3.59417e+12    3.26838e+11        1.09998        1.09998    2.81122e+12
        5.21507    3.95295e+12    3.29869e+11        1.09998        1.09998    2.84543e+12
        5.35802    4.34317e+12     3.3285e+11        1.09998        1.09998    2.88525e+12
        5.50098     4.7672e+12    3.35785e+11        1.09998        1.09998    2.92725e+12
        5.64393     5.2276e+12    3.38674e+11        1.09998        1.09998    2.96279e+12
        5.78689    5.72709e+12    3.41519e+11        1.09998        1.09998     2.9946e+12
        5.92985    6.26856e+12    3.44318e+11        1.09998        1.09998    3.02493e+12
         6.0728    6.85505e+12    3.47078e+11        1.09999        1.09999    3.05173e+12
        6.21576    7.48986e+12    3.49795e+11        1.09999        1.09999    3.07631e+12
        6.35871    8.17645e+12    3.52473e+11        1.09999        1.09999    3.09614e+12
        6.50167    8.91848e+12    3.55111e+11        1.09998        1.09998    3.10473e+12
        6.64462     9.7199e+12    3.57711e+11        1.09998        1.09998    3.10548e+12
        6.78758    1.05848e+13    3.60274e+11        1.09998        1.09998    3.10406e+12
        6.93054    1.15177e+13    3.62801e+11        1.09998        1.09998    3.10015e+12
        7.07349    1.25231e+13    3.65292e+11        1.09998        1.09998    3.09418e+12
        7.21645     1.3606e+13    3.67749e+11        1.09998        1.09998    3.08644e+12
         7.3594    1.47716e+13    3.70171e+11        1.09998        1.09998    3.07588e+12
        7.50236    1.60256e+13     3.7256e+11        1.09998        1.09998    3.06373e+12
        7.64531    1.73736e+13    3.74917e+11        1.09998        1.09998    3.05273e+12
        7.78827     1.8822e+13    3.77241e+11        1.09998        1.09998    3.04284e+12
        7.93122    2.03772e+13    3.79534e+11        1.09998        1.09998    3.03428e+12
        8.07418    2.20462e+13    3.81797e+11        1.09998        1.09998    3.02735e+12
        8.21714    2.38362e+13    3.84029e+11        1.09998        1.09998    3.02207e+12
        8.36009    2.57551e+13    3.86232e+11        1.09998        1.09998    3.01853e+12
        8.50305    2.78109e+13    3.88405e+11        1.09998        1.09998    3.01637e+12
          8.646    3.00121e+13    3.90551e+11        1.09998        1.09998    3.01599e+12
        8.78896    3.23679e+13    3.92669e+11        1.09998        1.09998    3.01667e+12
        8.93191    3.48879e+13    3.94759e+11        1.09998        1.09998    3.01664e+12
        9.07487    3.75819e+13    3.96823e+11        1.09998        1.09998    3.01665e+12
        9.21782    4.04607e+13     3.9886e+11        1.09998        1.09998    3.01713e+12
        9.36078    4.35355e+13    4.00872e+11        1.09999        1.09999    3.01756e+12
        9.50374    4.68178e+13    4.02859e+11        1.09998        1.09998    3.01831e+12
        9.64669    5.03201e+13    4.04821e+11        1.09998        1.09998    3.01846e+12
        9.78965    5.40553e+13    4.06759e+11        1.09999        1.09999    3.01599e+12
         9.9326    5.80372e+13    4.08674e+11        1.09999        1.09999    3.01202e+12
        10.0756    6.22801e+13    4.10565e+11        1.09998        1.09998    3.00781e+12
        10.2185     6.6799e+13    4.12433e+11        1.09998        1.09998      3.003e+12
        10.3615    7.16099e+13    4.14279e+11        1.09998        1.09998    2.99784e+12
        10.5044    7.67293e+13    4.16103e+11        1.09999        1.09999    2.99182e+12
        10.6474    8.21748e+13    4.17906e+11        1.09999        1.09999     2.9838e+12
        10.7903    8.79647e+13    4.19687e+11        1.09998        1.09998    2.97476e+12
        10.9333    9.41182e+13    4.21448e+11        1.09998        1.09998    2.96567e+12
        11.0762    1.00656e+14    4.23188e+11        1.09998        1.09998    2.95644e+12
        11.2192    1.07598e+14    4.24908e+11        1.09998        1.09998    2.94724e+12
        11.3622    1.14968e+14    4.26609e+11        1.09998        1.09998    2.93812e+12
