    E, kcal/mol    D, mol/kcal       W1a->W1b       W1a->W2a       W1a->W2b        W1a->P1
        11.5051    1.22788e+14     4.2829e+11        1.09998        1.09998    2.92889e+12
        11.6481    1.31083e+14    4.29952e+11        1.09999        1.09999     2.9199e+12
         11.791    1.39878e+14    4.31596e+11        1.09998        1.09998    2.91146e+12
         11.934    1.49201e+14    4.33221e+11        1.09998        1.09998    2.90366e+12
        12.0769    1.59078e+14    4.34828e+11        1.09998        1.09998    2.89631e+12
        12.2199     1.6954e+14    4.36417e+11        1.09998        1.09998    2.88898e+12
        12.3628    1.80618e+14    4.37989e+11        1.09999        1.09999    2.88187e+12
        12.5058    1.92342e+14    4.39543e+11        1.09998        1.09998    2.87509e+12
        12.6488    2.04747e+14    4.41081e+11        1.09999        1.09999    2.86848e+12
        12.7917    2.17868e+14    4.42602e+11        1.09999        1.09999    2.86199e+12
        12.9347    2.31741e+14    4.44107e+11        1.09998        1.09998    2.85529e+12
        13.0776    2.46405e+14    4.45596e+11        1.09999        1.09999    2.84785e+12
        13.2206    2.61899e+14    4.47069e+11        1.09999        1.09999    2.84008e+12
        13.3635    2.78266e+14    4.48527e+11        1.09998        1.09998    2.83229e+12
        13.5065     2.9555e+14     4.4997e+11        1.09998        1.09998    2.82439e+12
        13.6494    3.13795e+14    4.51398e+11        1.09998        1.09998    2.81642e+12
        13.7924    3.33049e+14    4.52811e+11        1.09999        1.09999    2.80809e+12
        13.9354    3.53363e+14    4.54209e+11        1.09999        1.09999    2.79909e+12
        14.0783    3.74787e+14    4.55594e+11        1.09999        1.09999    2.78985e+12
        14.2213    3.97376e+14    4.56964e+11        1.09999        1.09999    2.78064e+12
        14.3642    4.21187e+14    4.58321e+11        1.09999        1.09999    2.77142e+12
        14.5072    4.46277e+14    4.59664e+11        1.09998        1.09998    2.76226e+12
        14.6501    4.72708e+14    4.60994e+11        1.09998        1.09998    2.75302e+12
        14.7931    5.00545e+14    4.62311e+11        1.09998        1.09998    2.74349e+12
         14.936    5.29853e+14    4.63614e+11        1.09999        1.09999    2.73397e+12
         15.079    5.60702e+14    4.64906e+11        1.09999        1.09999    2.72461e+12
         15.222    5.93164e+14    4.66184e+11        1.09999        1.09999    2.71544e+12
        15.3649    6.27314e+14    4.67451e+11        1.09998        1.09998     2.7064e+12
        15.5079     6.6323e+14    4.68705e+11        1.09999        1.09999    2.69736e+12
        15.6508    7.00995e+14    4.69947e+11        1.09998        1.09998    2.68834e+12
        15.7938    7.40692e+14    4.71178e+11        1.09998        1.09998    2.67947e+12
        15.9367     7.8241e+14    4.72397e+11        1.09999        1.09999    2.67077e+12
        16.0797    8.26241e+14    4.73604e+11        1.09999        1.09999    2.66218e+12
        16.2226     8.7228e+14    4.74801e+11        1.09999        1.09999    2.65357e+12
        16.3656    9.20626e+14    4.75986e+11        1.09998        1.09998    2.64479e+12
        16.5086    9.71384e+14    4.77161e+11        1.09999        1.09999    2.63598e+12
        16.6515    1.02466e+15    4.78324e+11        1.09999        1.09999    2.62724e+12
        16.7945    1.08056e+15    4.79478e+11        1.09999        1.09999    2.61851e+12
        16.9374    1.13921e+15    4.80621e+11        1.09999        1.09999    2.60974e+12
        17.0804    1.20073e+15    4.81753e+11        1.09999        1.09999     2.6008e+12
        17.2233    1.26524e+15    4.82876e+11        1.09999        1.09999    2.59164e+12
        17.3663    1.33286e+15    4.83989e+11        1.09999        1.09999    2.58241e+12
        17.5092    1.40375e+15    4.85091e+11        1.09999        1.09999    2.57322e+12
        17.6522    1.47803e+15    4.86185e+11        1.09999        1.09999    2.56405e+12
        17.7952    1.55585e+15    4.87268e+11        1.09999        1.09999     2.5549e+12
        17.9381    1.63736e+15    4.88343e+11        1.09999        1.09999     2.5457e+12
        18.0811    1.72272e+15    4.89408e+11        1.09999        1.09999    2.53638e+12
         18.224    1.81209e+15    4.90464e+11        1.09999        1.09999    2.52712e+12
         18.367    1.90565e+15    4.91511e+11        1.09999        1.09999    2.51794e+12
        18.5099    2.00356e+15    4.92549e+11        1.09999        1.09999    2.50887e+12
        18.6529      2.106e+15    4.93579e+11        1.09998        1.09998     2.4999e+12
        18.7958    2.21317e+15    4.94599e+11        1.09999        1.09999    2.49091e+12
        18.9388    2.32526e+15    4.95612e+11        1.09998        1.09998     2.4819e+12
        19.0818    2.44247e+15    4.96616e+11        1.09998        1.09998    2.47296e+12
        19.2247    2.56502e+15    4.97611e+11        1.09999        1.09999    2.46412e+12
        19.3677    2.69311e+15    4.98599e+11        1.09998        1.09998    2.45532e+12
        19.5106    2.82697e+15    4.99578e+11        1.09999        1.09999    2.44655e+12
        19.6536    2.96684e+15     5.0055e+11        1.09999        1.09999    2.43773e+12
        19.7965    3.11296e+15    5.01513e+11        1.09999        1.09999    2.42891e+12
        19.9395    3.26558e+15    5.02469e+11        1.09999        1.09999    2.42015e+12
        20.0824    3.42496e+15    5.03418e+11        1.09999        1.09999    2.41145e+12
        20.2254    3.59136e+15    5.04358e+11        1.09998        1.09998    2.40276e+12
        20.3684    3.76506e+15    5.05292e+11        1.09999        1.09999    2.39403e+12
        20.5113    3.94635e+15    5.06218e+11        1.09999        1.09999    2.38524e+12
        20.6543    4.13553e+15    5.07137e+11        1.09998        1.09998    2.37647e+12
        20.7972    4.33291e+15    5.08048e+11        1.09998        1.09998    2.36776e+12
        20.9402     4.5388e+15    5.08953e+11        1.09999        1.09999    2.35907e+12
        21.0831    4.75353e+15     5.0985e+11        1.09998        1.09998    2.35039e+12
        21.2261    4.97744e+15    5.10741e+11        1.09999        1.09999    2.34168e+12
         21.369     5.2109e+15    5.11625e+11        1.09999        1.09999    2.33295e+12
         21.512    5.45425e+15    5.12502e+11        1.09998        1.09998    2.32425e+12
         21.655    5.70788e+15    5.13373e+11        1.09999        1.09999    2.31562e+12
        21.7979    5.97217e+15    5.14237e+11        1.09999        1.09999    2.30704e+12
        21.9409    6.24754e+15    5.15095e+11        1.09998        1.09998    2.29853e+12
        22.0838    6.53439e+15    5.15946e+11        1.09998        1.09998    2.29001e+12
        22.2268    6.83315e+15    5.16791e+11        1.09999        1.09999    2.28151e+12
        22.3697    7.14428e+15    5.17629e+11        1.09999        1.09999    2.27307e+12
        22.5127    7.46822e+15    5.18462e+11        1.09999        1.09999     2.2647e+12
        22.6556    7.80546e+15    5.19288e+11        1.09999        1.09999    2.25639e+12
        22.7986    8.15648e+15    5.20109e+11        1.09998        1.09998    2.24811e+12
        22.9416    8.52179e+15    5.20923e+11        1.09998        1.09998    2.23983e+12
        23.0845    8.90191e+15    5.21732e+11        1.09999        1.09999    2.23156e+12
        23.2275    9.29738e+15    5.22535e+11        1.09998        1.09998    2.22334e+12
        23.3704    9.70876e+15    5.23332e+11        1.09999        1.09999    2.21516e+12
        23.5134    1.01366e+16    5.24123e+11        1.09999        1.09999      2.207e+12
        23.6563    1.05816e+16    5.24909e+11        1.09999        1.09999    2.19883e+12
        23.7993    1.10442e+16    5.25689e+11        1.09999        1.09999    2.19066e+12
        23.9422    1.15252e+16    5.26464e+11        1.09999        1.09999    2.18252e+12
        24.0852    1.20251e+16    5.27233e+11        1.09999        1.09999    2.17441e+12
        24.2282    1.25447e+16    5.27997e+11        1.09999        1.09999    2.16634e+12
        24.3711    1.30846e+16    5.28756e+11        1.09999        1.09999    2.15829e+12
        24.5141    1.36455e+16     5.2951e+11        1.09999        1.09999    2.15025e+12
         24.657    1.42283e+16    5.30258e+11        1.09999        1.09999    2.14222e+12
           24.8    1.48336e+16    5.31001e+11        1.09999        1.09999    2.13423e+12
        24.9429    1.54623e+16    5.31739e+11        1.09999        1.09999    2.12629e+12
        25.0859    1.61151e+16    5.32472e+11        1.09999        1.09999     2.1184e+12
        25.2288    1.67929e+16    5.33201e+11        1.09999        1.09999    2.11054e+12
        25.3718    1.74966e+16    5.33924e+11        1.09999        1.09999    2.10269e+12
        25.5148     1.8227e+16    5.34642e+11        1.09999        1.09999    2.09487e+12
        25.6577     1.8985e+16    5.35356e+11        1.09999        1.09999    2.08709e+12
        25.8007    1.97717e+16    5.36065e+11        1.09999        1.09999    2.07937e+12
        25.9436    2.05879e+16    5.36769e+11        1.09999        1.09999     2.0717e+12
        26.0866    2.14346e+16    5.37469e+11        1.09999        1.09999    2.06405e+12
        26.2295     2.2313e+16    5.38164e+11        1.09999        1.09999    2.05642e+12
        26.3725     2.3224e+16    5.38854e+11        1.09999        1.09999    2.04882e+12
        26.5154    2.41687e+16     5.3954e+11        1.09999        1.09999    2.04126e+12
        26.6584    2.51484e+16    5.40222e+11        1.09999        1.09999    2.03375e+12
        26.8014     2.6164e+16    5.40899e+11        1.09999        1.09999    2.02626e+12
        26.9443    2.72169e+16    5.41572e+11        1.09999        1.09999    2.01879e+12
        27.0873    2.83082e+16     5.4224e+11        1.09999        1.09999    2.01134e+12
        27.2302    2.94393e+16    5.42905e+11        1.09999        1.09999    2.00391e+12
        27.3732    3.06114e+16    5.43565e+11        1.09999        1.09999    1.99652e+12
        27.5161    3.18258e+16     5.4422e+11        1.09999        1.09999    1.98915e+12
        27.6591     3.3084e+16    5.44872e+11        1.09999        1.09999    1.98181e+12
         27.802    3.43873e+16     5.4552e+11        1.09999        1.09999    1.97449e+12
         27.945    3.57373e+16    5.46163e+11        1.09999        1.09999    1.96718e+12
         28.088    3.71353e+16    5.46803e+11        1.09999        1.09999    1.95991e+12
        28.2309    3.85831e+16    5.47439e+11        1.09999        1.09999    1.95268e+12
        28.3739    4.00821e+16     5.4807e+11        1.09999        1.09999    1.94549e+12
        28.5168     4.1634e+16    5.48698e+11        1.09999        1.09999    1.93832e+12
        28.6598    4.32405e+16    5.49322e+11        1.09999        1.09999    1.93118e+12
        28.8027    4.49033e+16    5.49942e+11        1.09999        1.09999    1.92407e+12
        28.9457    4.66241e+16    5.50559e+11        1.09999        1.09999      1.917e+12
        29.0886    4.84049e+16    5.51171e+11        1.09999        1.09999    1.90997e+12
        29.2316    5.02475e+16     5.5178e+11        1.09999        1.09999    1.90298e+12
        29.3746    5.21538e+16    5.52385e+11        1.09999        1.09999    1.89602e+12
        29.5175    5.41259e+16    5.52987e+11        1.09999        1.09999    1.88908e+12
        29.6605    5.61657e+16    5.53585e+11        1.09999        1.09999    1.88217e+12
        29.8034    5.82753e+16     5.5418e+11        1.09998        1.09998    1.87529e+12
        29.9464     6.0457e+16    5.54771e+11        1.09998        1.09998    1.86845e+12
        30.0893    6.27129e+16    5.55358e+11        1.09999        1.09999    1.86165e+12
        30.2323    6.50454e+16    5.55942e+11        1.09999        1.09999    1.85486e+12
        30.3752    6.74567e+16    5.56523e+11        1.09999        1.09999     1.8481e+12
        30.5182    6.99492e+16      5.571e+11        1.09999        1.09999    1.84136e+12
        30.6612    7.25255e+16    5.57674e+11        1.09998        1.09998    1.83466e+12
        30.8041    7.51881e+16    5.58244e+11        1.09999        1.09999    1.82799e+12
        30.9471    7.79396e+16    5.58812e+11        1.09999        1.09999    1.82135e+12
          31.09    8.07826e+16    5.59376e+11        1.09998        1.09998    1.81473e+12
         31.233    8.37199e+16    5.59936e+11        1.09999        1.09999    1.80813e+12
        31.3759    8.67543e+16    5.60494e+11        1.09998        1.09998    1.80156e+12
        31.5189    8.98888e+16    5.61048e+11        1.09998        1.09998    1.79502e+12
        31.6619    9.31263e+16    5.61599e+11        1.09999        1.09999    1.78852e+12
        31.8048    9.64698e+16    5.62147e+11        1.09999        1.09999    1.78204e+12
        31.9478    9.99226e+16    5.62692e+11        1.09999        1.09999    1.77558e+12
        32.0907    1.03488e+17    5.63234e+11        1.09999        1.09999    1.76915e+12
        32.2337    1.07169e+17    5.63773e+11        1.09999        1.09999    1.76276e+12
        32.3766    1.10969e+17    5.64309e+11        1.09999        1.09999     1.7564e+12
        32.5196    1.14891e+17    5.64842e+11        1.09999        1.09999    1.75007e+12
        32.6625     1.1894e+17    5.65372e+11        1.09999        1.09999    1.74376e+12
        32.8055    1.23119e+17    5.65899e+11        1.09999        1.09999    1.73748e+12
        32.9485    1.27431e+17    5.66423e+11        1.09999        1.09999    1.73123e+12
        33.0914     1.3188e+17    5.66944e+11        1.09999        1.09999    1.72502e+12
        33.2344    1.36471e+17    5.67463e+11        1.09999        1.09999    1.71883e+12
        33.3773    1.41208e+17    5.67978e+11        1.09999        1.09999    1.71268e+12
        33.5203    1.46094e+17    5.68491e+11        1.09999        1.09999    1.70655e+12
        33.6632    1.51134e+17    5.69001e+11        1.09999        1.09999    1.70044e+12
        33.8062    1.56332e+17    5.69508e+11        1.09999        1.09999    1.69436e+12
        33.9491    1.61693e+17    5.70013e+11        1.09999        1.09999     1.6883e+12
        34.0921    1.67222e+17    5.70514e+11        1.09999        1.09999    1.68228e+12
        34.2351    1.72922e+17    5.71013e+11        1.09999        1.09999    1.67628e+12
         34.378      1.788e+17     5.7151e+11        1.09999        1.09999     1.6703e+12
         34.521    1.84859e+17    5.72004e+11        1.09999        1.09999    1.66435e+12
        34.6639    1.91105e+17    5.72495e+11        1.09999        1.09999    1.65843e+12
        34.8069    1.97544e+17    5.72983e+11        1.09999        1.09999    1.65253e+12
        34.9498     2.0418e+17    5.73469e+11        1.09999        1.09999    1.64666e+12
        35.0928    2.11019e+17    5.73953e+11        1.09999        1.09999    1.64082e+12
        35.2357    2.18067e+17    5.74434e+11        1.09999        1.09999      1.635e+12
        35.3787    2.25329e+17    5.74912e+11        1.09999        1.09999     1.6292e+12
        35.5217    2.32811e+17    5.75388e+11        1.09999        1.09999    1.62344e+12
        35.6646     2.4052e+17    5.75862e+11        1.09999        1.09999     1.6177e+12
        35.8076    2.48461e+17    5.76333e+11        1.09999        1.09999    1.61199e+12
        35.9505    2.56641e+17    5.76801e+11        1.09999        1.09999     1.6063e+12
        36.0935    2.65066e+17    5.77268e+11        1.09999        1.09999    1.60064e+12
        36.2364    2.73744e+17    5.77731e+11        1.09999        1.09999      1.595e+12
        36.3794     2.8268e+17    5.78193e+11        1.09999        1.09999    1.58939e+12
        36.5223    2.91882e+17    5.78652e+11        1.09999        1.09999    1.58381e+12
        36.6653    3.01357e+17    5.79109e+11        1.09999        1.09999    1.57825e+12
        36.8083    3.11112e+17    5.79563e+11        1.09999        1.09999    1.57272e+12
        36.9512    3.21155e+17    5.80015e+11        1.09999        1.09999    1.56721e+12
        37.0942    3.31493e+17    5.80465e+11        1.09999        1.09999    1.56172e+12
        37.2371    3.42135e+17    5.80913e+11        1.09999        1.09999    1.55626e+12
        37.3801    3.53088e+17    5.81358e+11        1.09999        1.09999    1.55083e+12
         37.523     3.6436e+17    5.81802e+11        1.09999        1.09999    1.54542e+12
         37.666    3.75961e+17    5.82243e+11        1.09999        1.09999    1.54003e+12
        37.8089    3.87898e+17    5.82681e+11        1.09999        1.09999    1.53467e+12
        37.9519    4.00181e+17    5.83118e+11        1.09999        1.09999    1.52933e+12
        38.0949    4.12818e+17    5.83553e+11        1.09999        1.09999    1.52401e+12
        38.2378    4.25819e+17    5.83985e+11        1.09999        1.09999    1.51872e+12
        38.3808    4.39193e+17    5.84415e+11        1.09999        1.09999    1.51345e+12
        38.5237    4.52951e+17    5.84843e+11        1.09999        1.09999    1.50821e+12
        38.6667    4.67101e+17    5.85269e+11        1.09999        1.09999    1.50299e+12
        38.8096    4.81654e+17    5.85693e+11        1.09999        1.09999    1.49779e+12
        38.9526     4.9662e+17    5.86115e+11        1.09999        1.09999    1.49262e+12
        39.0955    5.12011e+17    5.86535e+11        1.09999        1.09999    1.48747e+12
        39.2385    5.27836e+17    5.86953e+11        1.09999        1.09999    1.48234e+12
        39.3815    5.44108e+17    5.87369e+11        1.09999        1.09999    1.47723e+12
        39.5244    5.60837e+17    5.87783e+11        1.09999        1.09999    1.47215e+12
        39.6674    5.78035e+17    5.88195e+11        1.09999        1.09999    1.46709e+12
        39.8103    5.95714e+17    5.88605e+11        1.09999        1.09999    1.46206e+12
        39.9533    6.13886e+17    5.89013e+11        1.09999        1.09999    1.45705e+12
        40.0962    6.32563e+17    5.89419e+11        1.09999        1.09999    1.45206e+12
        40.2392    6.51759e+17    5.89823e+11        1.09999        1.09999    1.44709e+12
        40.3821    6.71486e+17    5.90226e+11        1.09998        1.09998    1.44214e+12
        40.5251    6.91758e+17    5.90626e+11        1.09999        1.09999    1.43722e+12
        40.6681    7.12589e+17    5.91024e+11        1.09999        1.09999    1.43232e+12
         40.811    7.33991e+17    5.91421e+11        1.09998        1.09998    1.42744e+12
         40.954     7.5598e+17    5.91816e+11        1.09999        1.09999    1.42258e+12
        41.0969    7.78569e+17    5.92209e+11        1.09999        1.09999    1.41774e+12
        41.2399    8.01775e+17      5.926e+11        1.09999        1.09999    1.41293e+12
        41.3828    8.25611e+17    5.92989e+11        1.09999        1.09999    1.40813e+12
        41.5258    8.50094e+17    5.93377e+11        1.09998        1.09998    1.40336e+12
        41.6687     8.7524e+17    5.93763e+11        1.09999        1.09999    1.39861e+12
        41.8117    9.01064e+17    5.94147e+11        1.09999        1.09999    1.39388e+12
        41.9547    9.27583e+17    5.94529e+11        1.09999        1.09999    1.38917e+12
        42.0976    9.54815e+17     5.9491e+11        1.09999        1.09999    1.38449e+12
        42.2406    9.82776e+17    5.95288e+11        1.09999        1.09999    1.37982e+12
        42.3835    1.01148e+18    5.95666e+11        1.09999        1.09999    1.37517e+12
        42.5265    1.04096e+18    5.96041e+11        1.09999        1.09999    1.37055e+12
        42.6694    1.07122e+18    5.96415e+11        1.09999        1.09999    1.36594e+12
        42.8124    1.10228e+18    5.96787e+11        1.09999        1.09999    1.36136e+12
        42.9553    1.13416e+18    5.97157e+11        1.09999        1.09999     1.3568e+12
        43.0983    1.16688e+18    5.97526e+11        1.09999        1.09999    1.35225e+12
        43.2413    1.20047e+18    5.97893e+11        1.09999        1.09999    1.34773e+12
        43.3842    1.23493e+18    5.98258e+11        1.09999        1.09999    1.34323e+12
        43.5272    1.27031e+18    5.98622e+11        1.09999        1.09999    1.33874e+12
        43.6701     1.3066e+18    5.98984e+11        1.09999        1.09999    1.33428e+12
        43.8131    1.34384e+18    5.99345e+11        1.09999        1.09999    1.32984e+12
         43.956    1.38206e+18    5.99704e+11        1.09999        1.09999    1.32542e+12
         44.099    1.42126e+18    6.00061e+11        1.09999        1.09999    1.32101e+12
        44.2419    1.46148e+18    6.00417e+11        1.09999        1.09999    1.31663e+12
        44.3849    1.50274e+18    6.00771e+11        1.09999        1.09999    1.31226e+12
        44.5279    1.54506e+18    6.01124e+11        1.09999        1.09999    1.30791e+12
        44.6708    1.58847e+18    6.01475e+11        1.09999        1.09999    1.30359e+12
        44.8138    1.63299e+18    6.01825e+11        1.09999        1.09999    1.29928e+12
        44.9567    1.67865e+18    6.02173e+11        1.09999        1.09999    1.29499e+12
        45.0997    1.72548e+18     6.0252e+11        1.09999        1.09999    1.29072e+12
        45.2426     1.7735e+18    6.02865e+11        1.09999        1.09999    1.28647e+12
        45.3856    1.82274e+18    6.03209e+11        1.09999        1.09999    1.28223e+12
        45.5285    1.87323e+18    6.03551e+11        1.09999        1.09999    1.27802e+12
        45.6715      1.925e+18    6.03892e+11        1.09999        1.09999    1.27382e+12
        45.8145    1.97807e+18    6.04231e+11        1.09999        1.09999    1.26965e+12
        45.9574    2.03248e+18    6.04569e+11        1.09999        1.09999    1.26549e+12
        46.1004    2.08826e+18    6.04906e+11        1.09999        1.09999    1.26135e+12
