    E, kcal/mol    D, mol/kcal         W1->P1
           18.1        91426.9    1.64827e-07
           18.2        92682.4    1.90796e-07
           18.3        92682.4    2.23816e-07
           18.4        97123.5    2.50463e-07
           18.5        97295.6    2.93098e-07
           18.6        97295.6    3.43488e-07
           18.7         104844    3.73438e-07
           18.8         104844    4.37361e-07
           18.9         104844    5.12063e-07
             19         110716    5.67555e-07
           19.1         110716    6.64081e-07
           19.2         110716    7.76783e-07
           19.3         114909    8.75184e-07
           19.4         114909    1.02309e-06
           19.5         115329    1.19128e-06
           19.6         117845    1.36205e-06
           19.7         117845     1.5908e-06
           19.8         119965    1.82459e-06
           19.9         121619     2.1008e-06
             20         121619    2.45145e-06
