 In this file all energies are in cm-1, temperatures  in K,
 lengths in Angstroms, and angles in degrees

 *** Intermediate TS results for: 
  effective state 1 in electronic state  1 of channel  1 ***

 Ndag for J =    2
     E     Ndag(E,J) IRdag   
  12150.0 0.2267E+05    1
  12200.0 0.2306E+05    1
  12250.0 0.2346E+05    1
  12300.0 0.2387E+05    1
  12350.0 0.2428E+05    1
  12400.0 0.2470E+05    1
  12450.0 0.2512E+05    1
  12500.0 0.2555E+05    1
  12550.0 0.2598E+05    1
  12600.0 0.2642E+05    1
  12650.0 0.2686E+05    1
  12700.0 0.2732E+05    1
  12750.0 0.2777E+05    1
  12800.0 0.2824E+05    1
  12850.0 0.2871E+05    1
  12900.0 0.2918E+05    1
  12950.0 0.2966E+05    1
  13000.0 0.3015E+05    1
  13050.0 0.3065E+05    1
  13100.0 0.3115E+05    1
  13150.0 0.3166E+05    1
  13200.0 0.3217E+05    1
  13250.0 0.3269E+05    1
  13300.0 0.3322E+05    1
  13350.0 0.3375E+05    1
  13400.0 0.3429E+05    1
  13450.0 0.3484E+05    1
  13500.0 0.3540E+05    1
  13550.0 0.3596E+05    1
  13600.0 0.3653E+05    1
  13650.0 0.3711E+05    1
  13700.0 0.3769E+05    1
  13750.0 0.3828E+05    1
  13800.0 0.3888E+05    1
  13850.0 0.3948E+05    1
  13900.0 0.4010E+05    1
  13950.0 0.4072E+05    1
  14000.0 0.4135E+05    1
  14050.0 0.4198E+05    1
  14100.0 0.4263E+05    1
  14150.0 0.4328E+05    1
  14200.0 0.4394E+05    1
  14250.0 0.4460E+05    1
  14300.0 0.4528E+05    1
  14350.0 0.4596E+05    1
  14400.0 0.4665E+05    1
  14450.0 0.4735E+05    1
  14500.0 0.4806E+05    1
  14550.0 0.4878E+05    1
  14600.0 0.4950E+05    1
  14650.0 0.5024E+05    1
  14700.0 0.5098E+05    1
  14750.0 0.5173E+05    1
  14800.0 0.5249E+05    1
  14850.0 0.5326E+05    1
  14900.0 0.5404E+05    1
  14950.0 0.5483E+05    1
  15000.0 0.5562E+05    1
  15050.0 0.5643E+05    1
  15100.0 0.5724E+05    1
  15150.0 0.5806E+05    1
  15200.0 0.5890E+05    1
  15250.0 0.5974E+05    1
  15300.0 0.6059E+05    1
  15350.0 0.6145E+05    1
  15400.0 0.6232E+05    1
  15450.0 0.6321E+05    1
  15500.0 0.6410E+05    1
  15550.0 0.6500E+05    1
  15600.0 0.6591E+05    1
  15650.0 0.6683E+05    1
  15700.0 0.6776E+05    1
  15750.0 0.6870E+05    1
  15800.0 0.6966E+05    1
  15850.0 0.7062E+05    1
  15900.0 0.7159E+05    1
  15950.0 0.7258E+05    1
  16000.0 0.7357E+05    1
  16050.0 0.7458E+05    1
  16100.0 0.7559E+05    1
  16150.0 0.7662E+05    1
  16200.0 0.7766E+05    1
  16250.0 0.7871E+05    1
  16300.0 0.7977E+05    1
  16350.0 0.8084E+05    1
  16400.0 0.8193E+05    1
  16450.0 0.8302E+05    1
  16500.0 0.8413E+05    1
  16550.0 0.8525E+05    1
  16600.0 0.8638E+05    1
  16650.0 0.8752E+05    1
  16700.0 0.8868E+05    1
  16750.0 0.8984E+05    1
  16800.0 0.9102E+05    1
  16850.0 0.9221E+05    1
  16900.0 0.9342E+05    1
  16950.0 0.9463E+05    1
  17000.0 0.9586E+05    1
  17050.0 0.9710E+05    1
  17100.0 0.9836E+05    1
  17150.0 0.9963E+05    1
  17200.0 0.1009E+06    1
  17250.0 0.1022E+06    1
  17300.0 0.1035E+06    1
  17350.0 0.1048E+06    1
  17400.0 0.1062E+06    1
  17450.0 0.1075E+06    1
  17500.0 0.1089E+06    1
  17550.0 0.1102E+06    1
  17600.0 0.1116E+06    1
  17650.0 0.1130E+06    1
  17700.0 0.1144E+06    1
  17750.0 0.1159E+06    1
  17800.0 0.1173E+06    1
  17850.0 0.1188E+06    1
  17900.0 0.1202E+06    1
  17950.0 0.1217E+06    1
  18000.0 0.1232E+06    1
  18050.0 0.1248E+06    1
  18100.0 0.1263E+06    1
  18150.0 0.1278E+06    1
  18200.0 0.1294E+06    1
  18250.0 0.1310E+06    1
  18300.0 0.1326E+06    1
  18350.0 0.1342E+06    1
  18400.0 0.1358E+06    1
  18450.0 0.1374E+06    1
  18500.0 0.1391E+06    1
  18550.0 0.1408E+06    1
  18600.0 0.1424E+06    1
  18650.0 0.1441E+06    1
  18700.0 0.1459E+06    1
  18750.0 0.1476E+06    1
  18800.0 0.1493E+06    1
  18850.0 0.1511E+06    1
  18900.0 0.1529E+06    1
  18950.0 0.1547E+06    1
  19000.0 0.1565E+06    1
  19050.0 0.1583E+06    1
  19100.0 0.1602E+06    1
  19150.0 0.1621E+06    1
  19200.0 0.1640E+06    1
  19250.0 0.1659E+06    1
  19300.0 0.1678E+06    1
  19350.0 0.1697E+06    1
  19400.0 0.1717E+06    1
  19450.0 0.1737E+06    1
  19500.0 0.1756E+06    1
  19550.0 0.1777E+06    1
  19600.0 0.1797E+06    1
  19650.0 0.1817E+06    1
  19700.0 0.1838E+06    1
  19750.0 0.1859E+06    1
  19800.0 0.1880E+06    1
  19850.0 0.1901E+06    1
  19900.0 0.1923E+06    1
  19950.0 0.1944E+06    1
  20000.0 0.1966E+06    1
  20050.0 0.1988E+06    1
  20100.0 0.2010E+06    1
  20150.0 0.2033E+06    1
  20200.0 0.2055E+06    1
  20250.0 0.2078E+06    1
  20300.0 0.2101E+06    1
  20350.0 0.2124E+06    1
  20400.0 0.2148E+06    1
  20450.0 0.2171E+06    1
  20500.0 0.2195E+06    1
  20550.0 0.2219E+06    1
  20600.0 0.2243E+06    1
  20650.0 0.2268E+06    1
  20700.0 0.2292E+06    1
  20750.0 0.2317E+06    1
  20800.0 0.2342E+06    1
  20850.0 0.2368E+06    1
  20900.0 0.2393E+06    1
  20950.0 0.2419E+06    1
  21000.0 0.2445E+06    1
  21050.0 0.2471E+06    1
  21100.0 0.2497E+06    1
  21150.0 0.2524E+06    1
  21200.0 0.2551E+06    1
  21250.0 0.2578E+06    1
  21300.0 0.2605E+06    1
  21350.0 0.2633E+06    1
  21400.0 0.2660E+06    1
  21450.0 0.2688E+06    1
  21500.0 0.2717E+06    1
  21550.0 0.2745E+06    1
  21600.0 0.2774E+06    1
  21650.0 0.2803E+06    1
  21700.0 0.2832E+06    1
  21750.0 0.2861E+06    1
  21800.0 0.2891E+06    1
  21850.0 0.2921E+06    1
  21900.0 0.2951E+06    1
  21950.0 0.2982E+06    1
  22000.0 0.3012E+06    1
  22050.0 0.3043E+06    1
  22100.0 0.3074E+06    1
  22150.0 0.3106E+06    1
  22200.0 0.3137E+06    1
  22250.0 0.3169E+06    1
  22300.0 0.3202E+06    1
  22350.0 0.3234E+06    1
  22400.0 0.3267E+06    1
  22450.0 0.3300E+06    1
  22500.0 0.3333E+06    1
  22550.0 0.3367E+06    1
  22600.0 0.3400E+06    1
  22650.0 0.3434E+06    1
  22700.0 0.3469E+06    1
  22750.0 0.3503E+06    1
  22800.0 0.3538E+06    1
  22850.0 0.3573E+06    1
  22900.0 0.3609E+06    1
  22950.0 0.3644E+06    1
  23000.0 0.3680E+06    1
  23050.0 0.3717E+06    1
  23100.0 0.3753E+06    1
  23150.0 0.3790E+06    1
  23200.0 0.3827E+06    1
  23250.0 0.3865E+06    1
  23300.0 0.3902E+06    1
  23350.0 0.3940E+06    1
  23400.0 0.3979E+06    1
  23450.0 0.4017E+06    1
  23500.0 0.4056E+06    1
  23550.0 0.4095E+06    1
  23600.0 0.4135E+06    1
  23650.0 0.4175E+06    1
  23700.0 0.4215E+06    1
  23750.0 0.4255E+06    1
  23800.0 0.4296E+06    1
  23850.0 0.4337E+06    1
  23900.0 0.4378E+06    1
  23950.0 0.4420E+06    1
  24000.0 0.4462E+06    1
  24050.0 0.4504E+06    1
  24100.0 0.4547E+06    1
  24150.0 0.4590E+06    1
  24200.0 0.4633E+06    1
  24250.0 0.4677E+06    1
  24300.0 0.4721E+06    1
  24350.0 0.4765E+06    1
  24400.0 0.4809E+06    1
  24450.0 0.4854E+06    1
  24500.0 0.4899E+06    1
  24550.0 0.4945E+06    1
  24600.0 0.4991E+06    1
  24650.0 0.5037E+06    1
  24700.0 0.5084E+06    1
  24750.0 0.5131E+06    1
  24800.0 0.5178E+06    1
  24850.0 0.5226E+06    1
  24900.0 0.5274E+06    1
  24950.0 0.5322E+06    1
  25000.0 0.5371E+06    1
  25050.0 0.5420E+06    1
  25100.0 0.5469E+06    1
  25150.0 0.5519E+06    1
  25200.0 0.5569E+06    1
  25250.0 0.5619E+06    1
  25300.0 0.5670E+06    1
  25350.0 0.5721E+06    1
  25400.0 0.5773E+06    1
  25450.0 0.5825E+06    1
  25500.0 0.5877E+06    1
  25550.0 0.5930E+06    1
  25600.0 0.5983E+06    1
  25650.0 0.6037E+06    1
  25700.0 0.6090E+06    1
  25750.0 0.6145E+06    1
  25800.0 0.6199E+06    1
  25850.0 0.6254E+06    1
  25900.0 0.6310E+06    1
  25950.0 0.6365E+06    1
  26000.0 0.6421E+06    1
  26050.0 0.6478E+06    1
  26100.0 0.6535E+06    1
  26150.0 0.6592E+06    1
  26200.0 0.6650E+06    1
  26250.0 0.6708E+06    1
  26300.0 0.6767E+06    1
  26350.0 0.6826E+06    1
  26400.0 0.6885E+06    1
  26450.0 0.6945E+06    1
  26500.0 0.7005E+06    1
  26550.0 0.7066E+06    1
  26600.0 0.7127E+06    1
  26650.0 0.7188E+06    1
  26700.0 0.7250E+06    1
  26750.0 0.7312E+06    1
  26800.0 0.7375E+06    1
  26850.0 0.7438E+06    1
  26900.0 0.7502E+06    1
  26950.0 0.7566E+06    1
  27000.0 0.7630E+06    1
  27050.0 0.7695E+06    1
  27100.0 0.7761E+06    1
  27150.0 0.7826E+06    1
  27200.0 0.7893E+06    1
  27250.0 0.7959E+06    1
  27300.0 0.8026E+06    1
  27350.0 0.8094E+06    1
  27400.0 0.8162E+06    1
  27450.0 0.8230E+06    1
  27500.0 0.8299E+06    1
  27550.0 0.8369E+06    1
  27600.0 0.8439E+06    1
  27650.0 0.8509E+06    1
  27700.0 0.8580E+06    1
  27750.0 0.8651E+06    1
  27800.0 0.8723E+06    1
  27850.0 0.8795E+06    1
  27900.0 0.8868E+06    1
  27950.0 0.8941E+06    1
  28000.0 0.9014E+06    1
  28050.0 0.9089E+06    1
  28100.0 0.9163E+06    1
  28150.0 0.9238E+06    1
  28200.0 0.9314E+06    1
  28250.0 0.9390E+06    1
  28300.0 0.9467E+06    1
  28350.0 0.9544E+06    1
  28400.0 0.9621E+06    1
  28450.0 0.9699E+06    1
  28500.0 0.9778E+06    1
  28550.0 0.9857E+06    1
  28600.0 0.9937E+06    1
  28650.0 0.1002E+07    1
  28700.0 0.1010E+07    1
  28750.0 0.1018E+07    1
  28800.0 0.1026E+07    1
  28850.0 0.1034E+07    1
  28900.0 0.1043E+07    1
  28950.0 0.1051E+07    1
  29000.0 0.1059E+07    1
  29050.0 0.1068E+07    1
  29100.0 0.1076E+07    1
  29150.0 0.1085E+07    1
  29200.0 0.1093E+07    1
  29250.0 0.1102E+07    1
  29300.0 0.1111E+07    1
  29350.0 0.1119E+07    1
  29400.0 0.1128E+07    1
  29450.0 0.1137E+07    1
  29500.0 0.1146E+07    1
  29550.0 0.1155E+07    1
  29600.0 0.1164E+07    1
  29650.0 0.1173E+07    1
  29700.0 0.1182E+07    1
  29750.0 0.1191E+07    1
  29800.0 0.1201E+07    1
  29850.0 0.1210E+07    1
