 convergence of q_dag integral
 For T =    200.00000000000000     
      Ei       Jj  sum_ij[qdag(Ei,Jj)]
   0.0000        2   0.84634E-03
   0.0000        6   0.33652E-02
   0.0000       10   0.67016E-02
   0.0000       14   0.10110E-01
   0.0000       18   0.12850E-01
   0.0000       22   0.14655E-01
   0.0000       26   0.15433E-01
   0.0000       30   0.15433E-01
   0.0000       34   0.15433E-01
   0.0000       38   0.15433E-01
   0.0000       42   0.15433E-01
   0.0000       46   0.15433E-01
   0.0000       50   0.15433E-01
   0.0000       54   0.15433E-01
   0.0000       58   0.15433E-01
   0.0000       62   0.15433E-01
   0.0000       66   0.15433E-01
   0.0000       70   0.15433E-01
   0.0000       74   0.15433E-01
   0.0000       78   0.15433E-01
   0.0000       82   0.15433E-01
   0.0000       86   0.15433E-01
   0.0000       90   0.15433E-01
   0.0000       94   0.15433E-01
   0.0000       98   0.15433E-01
   0.0000      102   0.15433E-01
   0.0000      106   0.15433E-01
   0.0000      110   0.15433E-01
   0.0000      114   0.15433E-01
   0.0000      118   0.15433E-01
   0.0000      122   0.15433E-01
   0.0000      126   0.15433E-01
   0.0000      130   0.15433E-01
   0.0000      134   0.15433E-01
   0.0000      138   0.15433E-01
   50.000        2   0.16254E-01
   50.000        6   0.18766E-01
   50.000       10   0.22083E-01
   50.000       14   0.25500E-01
   50.000       18   0.28425E-01
   50.000       22   0.30427E-01
   50.000       26   0.31461E-01
   50.000       30   0.31706E-01
   50.000       34   0.31706E-01
   50.000       38   0.31706E-01
   50.000       42   0.31706E-01
   50.000       46   0.31706E-01
   50.000       50   0.31706E-01
   50.000       54   0.31706E-01
   50.000       58   0.31706E-01
   50.000       62   0.31706E-01
   50.000       66   0.31706E-01
   50.000       70   0.31706E-01
   50.000       74   0.31706E-01
   50.000       78   0.31706E-01
   50.000       82   0.31706E-01
   50.000       86   0.31706E-01
   50.000       90   0.31706E-01
   50.000       94   0.31706E-01
   50.000       98   0.31706E-01
   50.000      102   0.31706E-01
   50.000      106   0.31706E-01
   50.000      110   0.31706E-01
   50.000      114   0.31706E-01
   50.000      118   0.31706E-01
   50.000      122   0.31706E-01
   50.000      126   0.31706E-01
   50.000      130   0.31706E-01
   50.000      134   0.31706E-01
   50.000      138   0.31706E-01
   100.00        2   0.32487E-01
   100.00        6   0.34932E-01
   100.00       10   0.38209E-01
   100.00       14   0.41617E-01
   100.00       18   0.44559E-01
   100.00       22   0.46713E-01
   100.00       26   0.47958E-01
   100.00       30   0.48427E-01
   100.00       34   0.48427E-01
   100.00       38   0.48427E-01
   100.00       42   0.48427E-01
   100.00       46   0.48427E-01
   100.00       50   0.48427E-01
   100.00       54   0.48427E-01
   100.00       58   0.48427E-01
   100.00       62   0.48427E-01
   100.00       66   0.48427E-01
   100.00       70   0.48427E-01
   100.00       74   0.48427E-01
   100.00       78   0.48427E-01
   100.00       82   0.48427E-01
   100.00       86   0.48427E-01
   100.00       90   0.48427E-01
   100.00       94   0.48427E-01
   100.00       98   0.48427E-01
   100.00      102   0.48427E-01
   100.00      106   0.48427E-01
   100.00      110   0.48427E-01
   100.00      114   0.48427E-01
   100.00      118   0.48427E-01
   100.00      122   0.48427E-01
   100.00      126   0.48427E-01
   100.00      130   0.48427E-01
   100.00      134   0.48427E-01
   100.00      138   0.48427E-01
   150.00        2   0.49155E-01
   150.00        6   0.51481E-01
   150.00       10   0.54629E-01
   150.00       14   0.57976E-01
   150.00       18   0.60907E-01
   150.00       22   0.63105E-01
   150.00       26   0.64448E-01
   150.00       30   0.65069E-01
   150.00       34   0.65183E-01
   150.00       38   0.65183E-01
   150.00       42   0.65183E-01
   150.00       46   0.65183E-01
   150.00       50   0.65183E-01
   150.00       54   0.65183E-01
   150.00       58   0.65183E-01
   150.00       62   0.65183E-01
   150.00       66   0.65183E-01
   150.00       70   0.65183E-01
   150.00       74   0.65183E-01
   150.00       78   0.65183E-01
   150.00       82   0.65183E-01
   150.00       86   0.65183E-01
   150.00       90   0.65183E-01
   150.00       94   0.65183E-01
   150.00       98   0.65183E-01
   150.00      102   0.65183E-01
   150.00      106   0.65183E-01
   150.00      110   0.65183E-01
   150.00      114   0.65183E-01
   150.00      118   0.65183E-01
   150.00      122   0.65183E-01
   150.00      126   0.65183E-01
   150.00      130   0.65183E-01
   150.00      134   0.65183E-01
   150.00      138   0.65183E-01
   200.00        2   0.65850E-01
   200.00        6   0.68032E-01
   200.00       10   0.71010E-01
   200.00       14   0.74211E-01
   200.00       18   0.77098E-01
   200.00       22   0.79273E-01
   200.00       26   0.80706E-01
   200.00       30   0.81438E-01
   200.00       34   0.81669E-01
   200.00       38   0.81669E-01
   200.00       42   0.81669E-01
   200.00       46   0.81669E-01
