*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1000           10  2.41308e+10    0.0275564  8.61704e-05   0.00330499
         1005           10  2.40488e+10    0.0256214  6.48567e-05   0.00251881
         1010           10  2.39677e+10    0.0276691  8.93894e-05   0.00344775
         1015           10  2.38872e+10    0.0273216    8.808e-05   0.00340997
         1020           10  2.38075e+10    0.0256016   6.5921e-05   0.00259104
         1025           10  2.37285e+10      0.02535  6.46235e-05   0.00255559
         1030           10  2.36502e+10    0.0272145  8.91234e-05   0.00347962
         1035           10  2.35725e+10    0.0270815  8.86653e-05   0.00348189
         1040           10  2.34956e+10    0.0252635  6.55302e-05    0.0026131
         1045           10  2.34193e+10    0.0249759  6.48837e-05   0.00260138
         1050           10  2.33437e+10    0.0269247  8.93514e-05   0.00354714
         1055           10  2.32687e+10    0.0268282   8.8946e-05   0.00354275
         1060           10  2.31944e+10     0.024985  6.67539e-05   0.00270417
         1065           10  2.31207e+10    0.0246904  6.49062e-05   0.00264575
         1070           10  2.30476e+10    0.0266999  9.07694e-05   0.00365035
         1075           10  2.29752e+10    0.0264999  8.91987e-05   0.00360657
         1080           10  2.29033e+10     0.024651  6.70748e-05   0.00276016
         1085           10  2.28321e+10    0.0245794  6.65255e-05   0.00274318
         1090           10  2.27614e+10    0.0263283  9.06934e-05   0.00369807
         1095           10  2.26914e+10    0.0262027  8.93544e-05   0.00367427
         1100           10  2.26219e+10    0.0244432  6.82163e-05   0.00283293
         1105           10  2.25529e+10    0.0242131   6.6892e-05    0.0027992
         1110           10  2.24845e+10    0.0261352  9.27059e-05   0.00383791
         1115           10  2.24167e+10    0.0241757  6.92552e-05   0.00290494
         1120           10  2.23494e+10    0.0242348   6.8755e-05   0.00290721
         1125           10  2.22827e+10    0.0258243  9.36972e-05    0.0039297
         1130           10  2.22165e+10    0.0258032  9.35469e-05   0.00391642
         1135           10  2.21508e+10    0.0240246  7.11382e-05   0.00303842
