========================================
JOEsinglet2_P1_Energy_1_0.0.out
10 atm
T,P1->W1
1000.0,4.6249e-23
1005.0,5.34502e-23
1010.0,6.16879e-23
1015.0,7.1099e-23
1020.0,8.18366e-23
1025.0,9.40722e-23
1030.0,1.07997e-22
1035.0,1.23825e-22
1040.0,1.41794e-22
1045.0,1.62169e-22
1050.0,1.85244e-22
1055.0,2.11347e-22
1060.0,2.40842e-22
1065.0,2.7413e-22
1070.0,3.11657e-22
1075.0,3.53916e-22
1080.0,4.01453e-22
1085.0,4.54867e-22
1090.0,5.14823e-22
1095.0,5.8205e-22
1100.0,6.57352e-22
1105.0,7.41613e-22
1110.0,8.35803e-22
1115.0,9.40989e-22
1120.0,1.05834e-21
1125.0,1.18913e-21
1130.0,1.33476e-21
1135.0,1.49677e-21
1140.0,1.67682e-21
1145.0,1.87675e-21
1150.0,2.09854e-21
1155.0,2.34436e-21
1160.0,2.61659e-21
1165.0,2.91778e-21
1170.0,3.25074e-21
1175.0,3.6185e-21
1180.0,4.02436e-21
1185.0,4.47189e-21
1190.0,4.96496e-21
1195.0,5.50777e-21
1200.0,6.10487e-21
1205.0,6.76114e-21
1210.0,7.48191e-21
1215.0,8.2729e-21
1220.0,9.14028e-21
1225.0,1.00907e-20
1230.0,1.11314e-20
1235.0,1.227e-20
1240.0,1.3515e-20
1245.0,1.48751e-20
1250.0,1.63601e-20
1255.0,1.79802e-20
1260.0,1.97466e-20
1265.0,2.16711e-20
1270.0,2.37665e-20
1275.0,2.60463e-20
1280.0,2.85253e-20
1285.0,3.1219e-20
1290.0,3.41441e-20
1295.0,3.73186e-20
1300.0,4.07614e-20
1305.0,4.44929e-20
1310.0,4.85349e-20
1315.0,5.29105e-20
1320.0,5.76444e-20
1325.0,6.27629e-20
1330.0,6.82939e-20
1335.0,7.42672e-20
1340.0,8.07145e-20
1345.0,8.76695e-20
1350.0,9.51678e-20
1355.0,1.03247e-19
1360.0,1.11948e-19
1365.0,1.21314e-19
1370.0,1.31389e-19
1375.0,1.42221e-19
1380.0,1.53862e-19
1385.0,1.66365e-19
1390.0,1.79786e-19
1395.0,1.94187e-19
1400.0,2.09631e-19
1405.0,2.26185e-19
1410.0,2.43919e-19
1415.0,2.6291e-19
1420.0,2.83236e-19
1425.0,3.0498e-19
1430.0,3.2823e-19
1435.0,3.53079e-19
1440.0,3.79625e-19
1445.0,4.07971e-19
1450.0,4.38224e-19
1455.0,4.70498e-19
1460.0,5.04914e-19
1465.0,5.41596e-19
1470.0,5.80678e-19
1475.0,6.22298e-19
1480.0,6.66601e-19
1485.0,7.13742e-19
1490.0,7.6388e-19
1495.0,8.17184e-19
1500.0,8.7383e-19
1505.0,9.34005e-19
1510.0,9.979e-19
1515.0,1.06572e-18
1520.0,1.13768e-18
1525.0,1.21399e-18
1530.0,1.2949e-18
1535.0,1.38065e-18
1540.0,1.47148e-18
1545.0,1.56767e-18
1550.0,1.6695e-18
1555.0,1.77725e-18
1560.0,1.89122e-18
1565.0,2.01174e-18
1570.0,2.13913e-18
1575.0,2.27374e-18
1580.0,2.41592e-18
1585.0,2.56605e-18
1590.0,2.72453e-18
1595.0,2.89174e-18
1600.0,3.06812e-18
1605.0,3.25411e-18
1610.0,3.45017e-18
1615.0,3.65677e-18
1620.0,3.8744e-18
1625.0,4.10359e-18
1630.0,4.34487e-18
1635.0,4.59879e-18
1640.0,4.86594e-18
1645.0,5.14691e-18
1650.0,5.44233e-18
1655.0,5.75285e-18
1660.0,6.07913e-18
1665.0,6.42188e-18
1670.0,6.78183e-18
1675.0,7.15971e-18
1680.0,7.55631e-18
1685.0,7.97243e-18
1690.0,8.40891e-18
1695.0,8.86662e-18
1700.0,9.34645e-18
1705.0,9.84933e-18
1710.0,1.03762e-17
1715.0,1.09281e-17
1720.0,1.1506e-17
1725.0,1.2111e-17
1730.0,1.27443e-17
1735.0,1.34068e-17
1740.0,1.40999e-17
1745.0,1.48247e-17
1750.0,1.55824e-17
1755.0,1.63745e-17
1760.0,1.72021e-17
1765.0,1.80668e-17
1770.0,1.89699e-17
1775.0,1.99129e-17
1780.0,2.08973e-17
1785.0,2.19247e-17
1790.0,2.29967e-17
1795.0,2.41149e-17
1800.0,2.52812e-17
1805.0,2.64972e-17
1810.0,2.77649e-17
1815.0,2.9086e-17
1820.0,3.04625e-17
1825.0,3.18964e-17
1830.0,3.33897e-17
1835.0,3.49447e-17
1840.0,3.65634e-17
1845.0,3.82481e-17
1850.0,4.00011e-17
1855.0,4.18248e-17
1860.0,4.37216e-17
1865.0,4.5694e-17
1870.0,4.77446e-17
1875.0,4.9876e-17
1880.0,5.2091e-17
1885.0,5.43924e-17
1890.0,5.67831e-17
1895.0,5.92659e-17
1900.0,6.1844e-17
1905.0,6.45204e-17
1910.0,6.72984e-17
1915.0,7.01811e-17
1920.0,7.31721e-17
1925.0,7.62748e-17
1930.0,7.94926e-17
1935.0,8.28293e-17
1940.0,8.62885e-17
1945.0,8.98741e-17
1950.0,9.359e-17
1955.0,9.74403e-17
1960.0,1.01429e-16
1965.0,1.0556e-16
1970.0,1.09839e-16
1975.0,1.14268e-16
1980.0,1.18854e-16
1985.0,1.236e-16
1990.0,1.28512e-16
1995.0,1.33594e-16
2000.0,1.38851e-16
2005.0,1.44289e-16
2010.0,1.49912e-16
2015.0,1.55726e-16
2020.0,1.61736e-16
2025.0,1.67948e-16
2030.0,1.74368e-16
2035.0,1.81001e-16
2040.0,1.87854e-16
2045.0,1.94933e-16
2050.0,2.02243e-16
2055.0,2.09792e-16
2060.0,2.17585e-16
2065.0,2.2563e-16
2070.0,2.33933e-16
2075.0,2.42501e-16
2080.0,2.51341e-16
2085.0,2.60462e-16
2090.0,2.69869e-16
2095.0,2.7957e-16
2100.0,2.89574e-16
2105.0,2.99888e-16
2110.0,3.1052e-16
2115.0,3.21478e-16
2120.0,3.32772e-16
2125.0,3.44408e-16
2130.0,3.56397e-16
