          12
  1 2 3 4 5 6 7 8 9 10
 freq
1	0.000	214	293	378	704	843	1158	1355	1436	1675	3660
2	1.065	193	311	367	707	825	1164	1371	1422	1667	3662
3	3.529	159	314	381	658	875	1131	1363	1422	1623	3669
4	5.071	143	194	370	580	1033	1108	1357	1428	1420	3699
5	5.483	166	155	377	592	1056	1092	1354	1420	1437	3694
6	5.551	116	193	368	593	890	1121	1354	1428	1530	3694
7	5.558	92	225	367	610	771	1124	1355	1430	1597	3691
8	5.594	102	229	391	644	761	1123	1354	1432	1606	3689
9	5.589	121	195	385	631	871	1120	1351	1430	1543	3683
10	5.390	166	159	397	619	1039	1101	1349	1425	1441	3678
11	4.382	164	215	415	645	1060	1131	1338	1434	1438	3663
12	1.418	198	296	412	681	941	1125	1339	1450	1613	3633

