========================================
combined_W1b_Energy_1_0.0.out
0.1 atm
T,P1->W3
200.0,4.7459e-13
210.0,3.95091e-13
220.0,3.30714e-13
230.0,2.7845e-13
240.0,2.35652e-13
250.0,2.00501e-13
260.0,1.71368e-13
270.0,1.47109e-13
280.0,1.26789e-13
290.0,1.09791e-13
300.0,9.53443e-14
310.0,8.31929e-14
320.0,7.27733e-14
330.0,6.39188e-14
340.0,5.62585e-14
350.0,4.97411e-14
360.0,4.41077e-14
370.0,3.9254e-14
380.0,3.51332e-14
390.0,3.15106e-14
400.0,2.82054e-14
410.0,2.54464e-14
420.0,2.30173e-14
430.0,2.08941e-14
440.0,1.89755e-14
450.0,1.70902e-14
460.0,1.55622e-14
470.0,1.4175e-14
480.0,1.28602e-14
490.0,1.17379e-14
500.0,1.07094e-14
510.0,9.76219e-15
520.0,8.7831e-15
530.0,8.04251e-15
540.0,7.34607e-15
550.0,6.70994e-15
560.0,6.0774e-15
570.0,5.55766e-15
580.0,5.0516e-15
590.0,4.59411e-15
600.0,4.19444e-15
610.0,3.85765e-15
620.0,3.52814e-15
630.0,3.23987e-15
640.0,2.95613e-15
650.0,2.73829e-15
660.0,2.50825e-15
670.0,2.33436e-15
680.0,2.14214e-15
690.0,1.97786e-15
700.0,1.85227e-15
800.0,9.83375e-16
900.0,6.3917e-16
1000.0,5.40512e-16
1100.0,6.26961e-16
1200.0,7.72027e-16
1300.0,9.21236e-16
1400.0,1.03213e-15
1500.0,1.23115e-15
1600.0,1.35884e-15
1700.0,1.52792e-15
1800.0,1.55082e-15
1900.0,1.85231e-15
2000.0,1.96533e-15
2100.0,2.12042e-15
2200.0,2.01902e-15
2300.0,2.20904e-15
2400.0,2.41311e-15
2500.0,2.3328e-15
2600.0,2.43581e-15
2700.0,2.34933e-15
2800.0,2.2681e-15
2900.0,2.19211e-15
3000.0,2.12358e-15
========================================
combined_W1b_Energy_1_0.0.out
1.0 atm
T,P1->W3
200.0,4.7459e-13
210.0,3.95091e-13
220.0,3.30714e-13
230.0,2.7845e-13
240.0,2.35652e-13
250.0,2.00501e-13
260.0,1.71368e-13
270.0,1.47109e-13
280.0,1.26789e-13
290.0,1.09791e-13
300.0,9.53443e-14
310.0,8.31929e-14
320.0,7.27733e-14
330.0,6.39188e-14
340.0,5.62585e-14
350.0,4.97411e-14
360.0,4.41077e-14
370.0,3.9254e-14
380.0,3.51332e-14
390.0,3.15106e-14
400.0,2.82054e-14
410.0,2.54464e-14
420.0,2.30173e-14
430.0,2.08941e-14
440.0,1.89755e-14
450.0,1.70902e-14
460.0,1.55622e-14
470.0,1.4175e-14
480.0,1.28602e-14
490.0,1.17379e-14
500.0,1.07094e-14
510.0,9.76219e-15
520.0,8.7831e-15
530.0,8.04251e-15
540.0,7.34607e-15
550.0,6.70994e-15
560.0,6.0774e-15
570.0,5.55766e-15
580.0,5.0516e-15
590.0,4.59411e-15
600.0,4.19444e-15
610.0,3.85765e-15
620.0,3.52814e-15
630.0,3.23987e-15
640.0,2.95613e-15
650.0,2.73829e-15
660.0,2.50825e-15
670.0,2.33436e-15
680.0,2.14214e-15
690.0,1.97786e-15
700.0,1.85227e-15
800.0,9.83375e-16
900.0,6.3917e-16
1000.0,5.40512e-16
1100.0,6.26961e-16
1200.0,7.72027e-16
1300.0,9.21236e-16
1400.0,1.03213e-15
1500.0,1.23115e-15
1600.0,1.35884e-15
1700.0,1.52792e-15
1800.0,1.55082e-15
1900.0,1.85231e-15
2000.0,1.96533e-15
2100.0,2.12042e-15
2200.0,2.01902e-15
2300.0,2.20904e-15
2400.0,2.41311e-15
2500.0,2.3328e-15
2600.0,2.43581e-15
2700.0,2.34933e-15
2800.0,2.2681e-15
2900.0,2.19211e-15
3000.0,2.12358e-15
========================================
combined_W1b_Energy_1_0.0.out
4 atm
T,P1->W3
200.0,4.7459e-13
210.0,3.95091e-13
220.0,3.30714e-13
230.0,2.7845e-13
240.0,2.35652e-13
250.0,2.00501e-13
260.0,1.71368e-13
270.0,1.47109e-13
280.0,1.26789e-13
290.0,1.09791e-13
300.0,9.53443e-14
310.0,8.31929e-14
320.0,7.27733e-14
330.0,6.39188e-14
340.0,5.62585e-14
350.0,4.97411e-14
360.0,4.41077e-14
370.0,3.9254e-14
380.0,3.51332e-14
390.0,3.15106e-14
400.0,2.82054e-14
410.0,2.54464e-14
420.0,2.30173e-14
430.0,2.08941e-14
440.0,1.89755e-14
450.0,1.70902e-14
460.0,1.55622e-14
470.0,1.4175e-14
480.0,1.28602e-14
490.0,1.17379e-14
500.0,1.07094e-14
510.0,9.76219e-15
520.0,8.7831e-15
530.0,8.04251e-15
540.0,7.34607e-15
550.0,6.70994e-15
560.0,6.0774e-15
570.0,5.55766e-15
580.0,5.0516e-15
590.0,4.59411e-15
600.0,4.19444e-15
610.0,3.85765e-15
620.0,3.52814e-15
630.0,3.23987e-15
640.0,2.95613e-15
650.0,2.73829e-15
660.0,2.50825e-15
670.0,2.33436e-15
680.0,2.14214e-15
690.0,1.97786e-15
700.0,1.85227e-15
