Pressure (atm),Temperature (K),B1_Frequencies_1_P1->P2,B1_Energy_1_P1->P2,W1a_Frequencies_1_P1->P2,W1a_Energy_1_P1->P2,W1b_SymmetryFactor_1_P1->P2,W1a_SymmetryFactor_1_P1->P2,B1_SymmetryFactor_1_P1->P2,colrel_Sigmas_P1->P2,W1b_Energy_1_P1->P2,P2_SymmetryFactor_1_P1->P2,B2_ImaginaryFrequency_1_P1->P2,P1_Frequencies_1_P1->P2,P1_SymmetryFactor_1_P1->P2,P2_Frequencies_1_P1->P2,B8_Frequencies_1_P1->P2,colrel_PowerOne_P1->P2,colrel_FactorOne_P1->P2,B8_SymmetryFactor_1_P1->P2,P2_Energy_1_P1->P2,W1b_Frequencies_1_P1->P2,B8_Energy_1_P1->P2,colrel_Epsilons_P1->P2,B2_Energy_1_P1->P2,P1_Energy_1_P1->P2
0.1,200.0,-5.4925547046962015e-06,-1.6263754855836434,-0.264705492431042,-0.0767042820090058,-0.008118439497098647,-0.07088524169507185,-0.13447471533376476,0.13272805549010613,-0.004811813358830516,0.0,1.787512196552469,0.0017651126493602389,1.0000157842899986,0.0,-0.13092902184978653,-0.036374490987009775,0.09319368964506825,-0.03056814388435332,0.0,-0.03517866485452741,-0.03809446397360798,0.02204824026695186,3.432386709905777e-08,2.5161025146137237
0.1,210.0,6.426505051044307e-05,-1.5006751076055507,-0.25048535435360203,-0.07269526605284926,-0.007705226693738529,-0.06704585650073432,-0.12517834088385263,0.12563650387191933,-0.0045696763380186625,0.0,1.8038457066967326,0.002543057846700173,0.9999876133076898,0.0,-0.13291183938814913,-0.030258318141187294,0.08813298829414726,-0.030899954317830332,0.0,-0.03337792528119516,-0.03827849448485101,0.020912416768770942,-3.831049162308774e-07,2.3962809666849765
0.1,220.0,-0.0002547140818896497,-1.386277082295174,-0.23654560115199583,-0.06766701220577158,-0.007304969691431124,-0.06334179527191049,-0.11676002959547042,0.11876017964302889,-0.00433413103648118,0.0,1.817140931198145,0.003571334013241807,1.000017801541832,0.0,-0.13439244384280924,-0.025023676499966094,0.08327505137904657,-0.031152762211057918,0.0,-0.031719195336718124,-0.038390406767949026,0.019779964768207547,1.538336642381108e-06,2.2873857246944573
0.1,230.0,0.0004049256711568968,-1.283479166038819,-0.22410368755994825,-0.0659231116869151,-0.006952207747048742,-0.05993382917991446,-0.10892854832754587,0.11247872709384055,-0.004132145078982606,0.0,1.827718579212836,0.004887412675186687,1.0000047094692432,0.0,-0.1366167148455701,-0.020096538963170006,0.07887085182052353,-0.03145321259666777,0.0,-0.03014472350057951,-0.03846742454366681,0.01870190435432935,-2.429502295277576e-06,2.1879196601407225
0.1,240.0,-0.00010114395273200945,-1.189165518566793,-0.21148080756319662,-0.06098398917177439,-0.006622220022076657,-0.05657058293592082,-0.10181861415742852,0.10632626547553005,-0.003943349413059611,0.0,1.8357973489521722,0.006476687989588468,1.000000674072757,0.0,-0.13777779171514273,-0.016080065294294104,0.07438797560393616,-0.0316513878210709,0.0,-0.028687139043290344,-0.038487915479000656,0.017611408792969074,3.6911475608022794e-07,2.096762995658417
0.1,250.0,-0.0003374739619680133,-1.1019748042023396,-0.19952269886128987,-0.05667868883294621,-0.006300632516348491,-0.05338027221160502,-0.09519026659789386,0.10047139082255288,-0.003760048618363154,0.0,1.8417430541294304,0.008378385868982336,1.0000040487823885,0.0,-0.13909580797653825,-0.01250516143984821,0.07019980460287503,-0.03183609636986023,0.0,-0.027313671954274782,-0.038463748302871914,0.01654332779418284,1.8885478721614614e-06,2.01290421713216
0.1,260.0,-9.782190186496983e-05,-1.0221756731415295,-0.1884788294220317,-0.054091880256342095,-0.005989887884055549,-0.05040767022214674,-0.0889784188730527,0.09497767803004918,-0.0035818234375061737,0.0,1.8456619728605421,0.010622686302079676,1.0000093484408596,0.0,-0.1407522077889285,-0.009226394956239926,0.06626527161505656,-0.03202588257960156,0.0,-0.025999773762638918,-0.038397146606865135,0.015515757040566082,6.040090492128439e-07,1.9354888057209207
0.1,270.0,0.00017452081227952828,-0.949478103289518,-0.17805161354719243,-0.052074594233928906,-0.0056947138628504895,-0.047604879967545526,-0.08320109776328122,0.08976910459799568,-0.0034098310686096886,0.0,1.8476119019470238,0.013229332555987197,1.000014323779423,0.0,-0.14238613980608147,-0.006322461672527706,0.062393312986622915,-0.032198349062643086,0.0,-0.024735528320653996,-0.038285727854612275,0.01452633948038403,-1.098882113899444e-06,1.8638004695450223
0.1,280.0,0.00021327348930299796,-0.8828361757565941,-0.16795200201324983,-0.049579941656797716,-0.005415534610096004,-0.04491708901508528,-0.07785458119497478,0.08476017487666909,-0.003244440520556918,0.0,1.8477017677505485,0.016213326076097816,1.000017418016398,0.0,-0.1437891259544377,-0.00384813162881415,0.05849554788010571,-0.0323396435614725,0.0,-0.023515704951734683,-0.038129152021433556,0.013570550055605281,-1.5934712884822702e-06,1.7972292469900826
0.1,290.0,4.4498588827152056e-05,-0.8210905145792785,-0.15809021604629353,-0.04639159772782759,-0.0051491168589628085,-0.04231970794673237,-0.07290082108591922,0.07991442925539027,-0.0030849195848912225,0.0,1.8460681383478408,0.01958606743122483,1.000017340620963,0.0,-0.14499703534440167,-0.0017761173588830646,0.0545931094773383,-0.032452112821500415,0.0,-0.02233499056563231,-0.037929713544251994,0.012648778159377615,-8.759054456968038e-07,1.735248630735528
0.1,300.0,-0.00018413967107648948,-0.7634224123204293,-0.14851782095396737,-0.04285308022760073,-0.00489122126998903,-0.03981416108083915,-0.06828991922432603,0.07523749979556488,-0.0029299654955164765,0.0,1.8428345228884633,0.023354762694346,1.0000136893472933,0.0,-0.14614411816948608,-3.7595267817779694e-05,0.050742581654211485,-0.03254491015500138,0.0,-0.021188090987979205,-0.03769091917548229,0.011764945691506825,2.831514294206905e-07,1.6774008250509462
0.1,310.0,-0.00034926628771665745,-0.7094318730008159,-0.13932151323675132,-0.03943252259144365,-0.004638555740206728,-0.037411735587315205,-0.06397858963202664,0.07075061775244282,-0.002778332018449214,0.0,1.8380947425135912,0.027522204681484162,1.0000071544026587,0.0,-0.14734118975480323,0.0014320099493217802,0.04698404212452823,-0.03262596774745585,0.0,-0.02007111895497475,-0.037416496693556144,0.010923279719026792,1.1623214380431806e-06,1.6232862113026365
0.1,320.0,-0.00040310727232722613,-0.6590014859319132,-0.13055632561039904,-0.0364590465641869,-0.004389512773071864,-0.03512127743509315,-0.05993635275879227,0.06647022315693782,-0.0026292307547618786,0.0,1.8319171079933907,0.032087184427938786,0.9999991581948783,0.0,-0.1486346031956556,0.002672310662538399,0.04332804952714959,-0.032699342853504405,0.0,-0.018982420209859092,-0.037110139454897086,0.01012627648823344,1.4268950052841762e-06,1.5725548397097644
0.1,330.0,-0.0003617800885458371,-0.6121193117039578,-0.12222689630771476,-0.034050422022569665,-0.004144050812819356,-0.032944172669299575,-0.056143711278879675,0.06239956125200989,-0.002482459182866852,0.0,1.824356121484354,0.037045174508154456,0.9999912953550787,0.0,-0.15001784341546073,0.0036985336164074203,0.03976541982977138,-0.032766015287370026,0.0,-0.01792253129381486,-0.03677559603329284,0.009374217590682852,1.106727129614618e-06,1.5248991776858023
0.1,340.0,-0.0002727116214395954,-0.5687502865587484,-0.11429803364414885,-0.03215256815080018,-0.0039031952788544187,-0.030874672804137807,-0.05258769597708119,0.05852922732725846,-0.002338331140504317,0.0,1.8154627218162565,0.04238898538165142,0.9999848790638434,0.0,-0.15145970424015515,0.004511703990482339,0.036282513043314917,-0.03282569587008846,0.0,-0.01689358351179301,-0.03641677195838293,0.0086656391365173,4.346078896788553e-07,1.480047911393702
0.1,350.0,-0.00018602648883229736,-0.5287759637674185,-0.10671531416960639,-0.030616046532919973,-0.0036684885091400866,-0.028902682399829065,-0.04925791965445309,0.054841922289587376,-0.0021975096614453263,0.0,1.8052899726040752,0.04810928154078983,0.9999807090032756,0.0,-0.15292826578914664,0.005109646071598296,0.03287264560239448,-0.032878281340604866,0.0,-0.015898533815226185,-0.03603771743459359,0.007998117406289498,-3.1251133495396456e-07,1.4377607166313382
