Pressure (atm),Temperature (K),W1b_Frequencies_1_P1->P2,W1b_Energy_1_P1->P2,B8_SymmetryFactor_1_P1->P2,B8_Energy_1_P1->P2,B1_Frequencies_1_P1->P2,B1_Energy_1_P1->P2,colrel_Epsilons_P1->P2,colrel_PowerOne_P1->P2,colrel_FactorOne_P1->P2,B8_Frequencies_1_P1->P2,B2_ImaginaryFrequency_1_P1->P2,B2_Energy_1_P1->P2,W1a_Frequencies_1_P1->P2,W1a_Energy_1_P1->P2,W1b_SymmetryFactor_1_P1->P2,W1a_SymmetryFactor_1_P1->P2,B1_SymmetryFactor_1_P1->P2,colrel_Sigmas_P1->P2
0.1,200.0,-0.04388112034778689,-0.006013849943621867,-0.024368127571140548,-0.030622362974690353,-4.082322735198505e-06,-1.6346989710441564,0.02693997117695982,-0.04464400135712739,0.11424776042932142,-0.10402624183264479,1.7072340912617694,3.198044028559785e-08,-0.3241276574693554,-0.09391671729487143,-0.010139770276678114,-0.08663770786078274,-0.12941456361861717,0.1620101813150747
0.1,210.0,-0.041689626571370625,-0.0057099937931177755,-0.024614775885651276,-0.03078073280856366,4.6174070164163645e-05,-1.5094403678260737,0.025603882959892958,-0.037182349402150934,0.10816352964838408,-0.10552216583164399,1.7245171611520411,-3.582711179784968e-07,-0.30710435861290614,-0.08916461116390702,-0.009622414744901789,-0.08205189795171472,-0.12040522740735485,0.1535889005676573
0.1,220.0,-0.03960963158763854,-0.0054382635456397795,-0.024809614813274056,-0.030914161943869648,-0.0001891170623263512,-1.3952415003271952,0.024264929644217746,-0.030763816818692884,0.10231256187837365,-0.10673757648165982,1.7388261211387548,1.4456266834727317e-06,-0.2903054889419852,-0.08301615867687395,-0.009134829471229865,-0.07759025277072142,-0.11229076275506668,0.14539626120239016
0.1,230.0,-0.03766131580875808,-0.0051646523857163526,-0.025039934709285273,-0.030969729493091545,0.00030930760841053044,-1.2930278088492526,0.022968267571474226,-0.02472313240096291,0.09703809124824914,-0.1082526293707104,1.75038067202598,-2.301553410102666e-06,-0.2753462013335558,-0.08111205061037667,-0.008663860958774696,-0.07351515363651265,-0.10475956936468761,0.13788621547337168
0.1,240.0,-0.035891855975294866,-0.004936345907499321,-0.025207318997621242,-0.03102983488155921,-7.629930340710129e-05,-1.1990631682680866,0.02163127390774935,-0.01982338291010967,0.0915874237317057,-0.10925612424340439,1.7595427389417364,3.7697793103863846e-07,-0.2601550344335543,-0.07505784503869975,-0.00827988202477633,-0.06951424387701624,-0.09790485987061416,0.13049346913653329
0.1,250.0,-0.03423022974295844,-0.004724101856616148,-0.02535166155325974,-0.031057922507443395,-0.0002741153712840963,-1.1118866304130788,0.02032824575330504,-0.015447343233072905,0.0864996864049151,-0.11029967782367996,1.7666057116677338,1.7892016320467496e-06,-0.24577415947009867,-0.06981020519446998,-0.007921248072201653,-0.06571135323399904,-0.09152783607860168,0.12345740328627017
0.1,260.0,-0.03263186146392395,-0.0045110441034348775,-0.02548709175137744,-0.031026558652374827,-0.00010922911039369063,-1.0321468058950294,0.019093694704756144,-0.011409905722287865,0.0817526939711623,-0.1114576603950551,1.7716754669188313,5.412683158449115e-07,-0.23250463458418172,-0.06676924008396226,-0.007555846104894284,-0.06215038253053222,-0.08556000135605996,0.11687694763162938
0.1,270.0,-0.031083606586748046,-0.004297638991551893,-0.025605172466796486,-0.030935348419475678,9.76171908262456e-05,-0.9597097620721096,0.01791851646323342,-0.007820977480885633,0.07709480261840464,-0.11256387955255677,1.7748447903428857,-1.0680363805222295e-06,-0.21996844303654595,-0.0644434214493283,-0.007186586938276343,-0.05877643936295844,-0.08000390297455004,0.11065758170597256
0.1,280.0,-0.029581814799753046,-0.004088386492309393,-0.025698467230739108,-0.03079436164713856,0.00014336165466174034,-0.8934057682724309,0.016785952060009084,-0.004758902655600069,0.07239636074054318,-0.1135276925991374,1.7762398100207686,-1.5067738709642168e-06,-0.2078020717708527,-0.061477186913582366,-0.006824638938758377,-0.05552970456312136,-0.07485211146099352,0.10468168619279061
0.1,290.0,-0.02812231951129418,-0.0038854209589391465,-0.025766781852322312,-0.030612807160166896,3.7972443067770625e-05,-0.831885841169105,0.015688427988639276,-0.0021934974558134638,0.06767325232023397,-0.11437204080183379,1.7759896978616485,-7.986498931815502e-07,-0.19589514146882672,-0.057593726127584774,-0.006476291746370309,-0.05238634781300765,-0.0700730226457383,0.09889197907629425
