    E, kcal/mol    D, mol/kcal       W1a->W1b        W1a->P1
            -10              0            ***            ***
             -9              0            ***            ***
             -8              0            ***            ***
             -7              0            ***            ***
             -6              0            ***            ***
             -5              0            ***            ***
             -4    4.00753e+06              0              0
             -3    2.98783e+08    1.23904e+10              0
             -2    2.83053e+09    5.77518e+10              0
             -1    1.41512e+10    1.07863e+11              0
    1.36068e-15    5.05824e+10    1.54006e+11    2.18795e-06
              1    1.47704e+11    1.92788e+11    3.77605e+11
              2    3.77094e+11    2.24614e+11    1.70807e+12
              3    8.72672e+11    2.51489e+11    2.40039e+12
              4    1.87032e+12    2.74941e+11    2.27983e+12
              5    3.76683e+12    2.95719e+11    2.31032e+12
              6     7.2056e+12    3.14253e+11    2.51115e+12
              7    1.31965e+13    3.30923e+11    2.55988e+12
              8     2.3282e+13    3.46024e+11    2.50475e+12
              9    3.97635e+13    3.59768e+11    2.49303e+12
             10    6.60045e+13    3.72334e+11    2.48768e+12
             11    1.06832e+14    3.83875e+11    2.44742e+12
             12    1.69061e+14    3.94514e+11    2.39689e+12
             13    2.62176e+14    4.04354e+11    2.35701e+12
             14    3.99201e+14    4.13488e+11    2.30984e+12
             15    5.97805e+14    4.21994e+11      2.256e+12
             16    8.81695e+14    4.29939e+11     2.2041e+12
             17    1.28236e+15     4.3738e+11     2.1536e+12
             18    1.84121e+15    4.44368e+11    2.10056e+12
             19    2.61228e+15    4.50948e+11    2.04798e+12
    E, kcal/mol    D, mol/kcal       W1b->W1a        W1b->P2
            -10              0            ***            ***
             -9         529152              0    2.19678e+07
             -8     5.2694e+06              0    7.89849e+07
             -7    2.30744e+07              0    2.32495e+08
             -6    7.43737e+07              0    5.89639e+08
             -5     2.0129e+08              0    1.36019e+09
             -4    4.84089e+08              0    2.93705e+09
             -3    1.06567e+09     3.4739e+09    6.02015e+09
             -2    2.18942e+09    7.46627e+10    1.17114e+10
             -1    4.25134e+09    3.59038e+11    2.14464e+10
    1.36068e-15    7.87567e+09    9.89121e+11    3.67208e+10
              1    1.40205e+10    2.03101e+12    5.89403e+10
              2     2.4122e+10    3.51134e+12    8.95783e+10
              3    4.02883e+10    5.44741e+12    1.30449e+11
              4    6.55508e+10    7.84474e+12    1.83792e+11
              5    1.04204e+11    1.06898e+13    2.51988e+11
              6    1.62249e+11    1.39562e+13    3.37225e+11
              7    2.47944e+11     1.7613e+13    4.41399e+11
              8    3.72516e+11    2.16263e+13    5.66111e+11
              9    5.51074e+11    2.59596e+13     7.1263e+11
             10    8.03728e+11    3.05772e+13    8.81937e+11
             11    1.15698e+12    3.54457e+13    1.07472e+12
             12    1.64549e+12    4.05331e+13    1.29135e+12
             13    2.31414e+12    4.58106e+13    1.53191e+12
             14    3.22065e+12    5.12519e+13    1.79622e+12
             15    4.43875e+12    5.68335e+13    2.08392e+12
             16     6.0619e+12     6.2534e+13    2.39443e+12
             17    8.20786e+12    6.83341e+13    2.72705e+12
             18    1.10241e+13    7.42168e+13    3.08095e+12
             19    1.46944e+13    8.01666e+13    3.45524e+12
