    E, kcal/mol    D, mol/kcal       W1a->W1b       W1a->W2a       W1a->W2b        W1a->P1
        6.93054    1.26694e+13    3.29819e+11       0.999985       0.999985    2.81832e+12
        7.07349    1.37754e+13    3.32084e+11       0.999985       0.999985    2.81289e+12
        7.21645    1.49666e+13    3.34317e+11       0.999985       0.999985    2.80585e+12
         7.3594    1.62488e+13    3.36519e+11       0.999985       0.999985    2.79625e+12
        7.50236    1.76281e+13    3.38691e+11       0.999986       0.999986    2.78521e+12
        7.64531     1.9111e+13    3.40833e+11       0.999984       0.999984    2.77521e+12
        7.78827    2.07041e+13    3.42947e+11       0.999984       0.999984    2.76622e+12
        7.93122    2.24149e+13    3.45031e+11       0.999986       0.999986    2.75844e+12
        8.07418    2.42508e+13    3.47088e+11       0.999986       0.999986    2.75214e+12
        8.21714    2.62198e+13    3.49118e+11       0.999985       0.999985    2.74734e+12
        8.36009    2.83306e+13     3.5112e+11       0.999986       0.999986    2.74412e+12
        8.50305    3.05919e+13    3.53096e+11       0.999986       0.999986    2.74216e+12
          8.646    3.30133e+13    3.55046e+11       0.999984       0.999984    2.74181e+12
        8.78896    3.56047e+13    3.56972e+11       0.999985       0.999985    2.74243e+12
        8.93191    3.83767e+13    3.58872e+11       0.999986       0.999986     2.7424e+12
        9.07487    4.13401e+13    3.60748e+11       0.999984       0.999984    2.74241e+12
        9.21782    4.45068e+13      3.626e+11       0.999985       0.999985    2.74285e+12
        9.36078     4.7889e+13    3.64429e+11       0.999987       0.999987    2.74323e+12
        9.50374    5.14995e+13    3.66235e+11       0.999985       0.999985    2.74392e+12
        9.64669    5.53521e+13    3.68019e+11       0.999984       0.999984    2.74406e+12
        9.78965    5.94609e+13    3.69781e+11       0.999988       0.999988    2.74181e+12
         9.9326    6.38409e+13    3.71521e+11       0.999988       0.999988     2.7382e+12
        10.0756    6.85081e+13     3.7324e+11       0.999986       0.999986    2.73437e+12
        10.2185    7.34789e+13    3.74939e+11       0.999986       0.999986       2.73e+12
        10.3615    7.87709e+13    3.76617e+11       0.999986       0.999986    2.72531e+12
        10.5044    8.44022e+13    3.78276e+11       0.999989       0.999989    2.71983e+12
        10.6474    9.03923e+13    3.79914e+11       0.999988       0.999988    2.71255e+12
        10.7903    9.67612e+13    3.81534e+11       0.999982       0.999982    2.70433e+12
        10.9333     1.0353e+14    3.83134e+11       0.999981       0.999981    2.69606e+12
        11.0762    1.10721e+14    3.84717e+11       0.999986       0.999986    2.68768e+12
        11.2192    1.18358e+14     3.8628e+11       0.999986       0.999986    2.67931e+12
        11.3622    1.26464e+14    3.87826e+11       0.999986       0.999986    2.67102e+12
        11.5051    1.35067e+14    3.89355e+11       0.999986       0.999986    2.66263e+12
        11.6481    1.44191e+14    3.90866e+11       0.999986       0.999986    2.65445e+12
         11.791    1.53866e+14     3.9236e+11       0.999985       0.999985    2.64678e+12
         11.934    1.64121e+14    3.93837e+11       0.999986       0.999986    2.63969e+12
        12.0769    1.74986e+14    3.95298e+11       0.999986       0.999986    2.63301e+12
        12.2199    1.86494e+14    3.96743e+11       0.999986       0.999986    2.62635e+12
        12.3628    1.98679e+14    3.98171e+11       0.999987       0.999987    2.61988e+12
        12.5058    2.11576e+14    3.99585e+11       0.999986       0.999986    2.61372e+12
        12.6488    2.25221e+14    4.00983e+11       0.999987       0.999987    2.60771e+12
        12.7917    2.39654e+14    4.02366e+11       0.999986       0.999986    2.60181e+12
        12.9347    2.54915e+14    4.03734e+11       0.999986       0.999986    2.59572e+12
        13.0776    2.71045e+14    4.05087e+11       0.999987       0.999987    2.58896e+12
        13.2206    2.88089e+14    4.06427e+11       0.999988       0.999988    2.58189e+12
        13.3635    3.06093e+14    4.07752e+11       0.999986       0.999986    2.57481e+12
        13.5065    3.25105e+14    4.09064e+11       0.999985       0.999985    2.56763e+12
        13.6494    3.45174e+14    4.10361e+11       0.999985       0.999985    2.56038e+12
        13.7924    3.66354e+14    4.11646e+11       0.999988       0.999988    2.55281e+12
        13.9354    3.88699e+14    4.12918e+11       0.999987       0.999987    2.54463e+12
        14.0783    4.12266e+14    4.14176e+11       0.999987       0.999987    2.53622e+12
        14.2213    4.37114e+14    4.15422e+11       0.999987       0.999987    2.52786e+12
        14.3642    4.63305e+14    4.16655e+11       0.999988       0.999988    2.51947e+12
        14.5072    4.90905e+14    4.17876e+11       0.999985       0.999985    2.51114e+12
