========================================
singlet_W3_Energy_1_0.0.out
0.1 atm
T,P1->W3
200.0,1.65163e-13
210.0,1.35745e-13
220.0,1.12303e-13
230.0,9.35764e-14
240.0,7.84442e-14
250.0,6.61798e-14
260.0,5.60915e-14
270.0,4.78656e-14
280.0,4.10147e-14
290.0,3.52731e-14
300.0,3.05265e-14
310.0,2.64973e-14
320.0,2.30849e-14
330.0,2.01676e-14
340.0,1.77341e-14
350.0,1.56263e-14
360.0,1.38273e-14
370.0,1.22986e-14
380.0,1.09034e-14
390.0,9.79438e-15
400.0,8.76539e-15
410.0,7.92729e-15
420.0,7.21281e-15
430.0,6.54664e-15
440.0,5.8878e-15
450.0,5.39878e-15
460.0,4.8523e-15
470.0,4.44907e-15
480.0,4.04685e-15
490.0,3.65e-15
500.0,3.32093e-15
510.0,3.00663e-15
520.0,2.76292e-15
530.0,2.5311e-15
540.0,2.28821e-15
550.0,2.07101e-15
560.0,1.89805e-15
570.0,1.72339e-15
580.0,1.56643e-15
590.0,1.43985e-15
600.0,1.31073e-15
610.0,1.19155e-15
620.0,1.08987e-15
630.0,9.95684e-16
640.0,9.13583e-16
650.0,8.44604e-16
660.0,7.77414e-16
670.0,7.18577e-16
680.0,6.56253e-16
690.0,6.0968e-16
700.0,5.68201e-16
800.0,3.01545e-16
900.0,1.99955e-16
1000.0,1.81636e-16
1100.0,2.26879e-16
1200.0,2.92785e-16
1300.0,3.10658e-16
1400.0,4.14349e-16
1500.0,4.36432e-16
1600.0,5.30647e-16
1700.0,6.09059e-16
1800.0,6.26354e-16
1900.0,7.65578e-16
2000.0,8.31885e-16
2100.0,9.24079e-16
2200.0,8.95963e-16
2300.0,1.01605e-15
2400.0,1.15808e-15
2500.0,1.15268e-15
2600.0,1.20542e-15
2700.0,1.20003e-15
2800.0,1.19363e-15
2900.0,1.18555e-15
3000.0,1.17489e-15
========================================
singlet_W3_Energy_1_0.0.out
0.5 atm
T,P1->W3
200.0,5.70571e-13
210.0,4.772e-13
220.0,4.01362e-13
230.0,3.39609e-13
240.0,2.88885e-13
250.0,2.46934e-13
260.0,2.12072e-13
270.0,1.82974e-13
280.0,1.58505e-13
290.0,1.37838e-13
300.0,1.20365e-13
310.0,1.05414e-13
320.0,9.26125e-14
330.0,8.16291e-14
340.0,7.22842e-14
350.0,6.40799e-14
360.0,5.70568e-14
370.0,5.10306e-14
380.0,4.5519e-14
390.0,4.10312e-14
400.0,3.69458e-14
410.0,3.35427e-14
420.0,3.05612e-14
430.0,2.78351e-14
440.0,2.50864e-14
450.0,2.30047e-14
460.0,2.07851e-14
470.0,1.90653e-14
480.0,1.73226e-14
490.0,1.56762e-14
500.0,1.42862e-14
510.0,1.29462e-14
520.0,1.18851e-14
530.0,1.08662e-14
540.0,9.86147e-15
550.0,8.95433e-15
560.0,8.19798e-15
570.0,7.45685e-15
580.0,6.79519e-15
590.0,6.23858e-15
600.0,5.69847e-15
610.0,5.19603e-15
620.0,4.76107e-15
630.0,4.35925e-15
640.0,4.01041e-15
650.0,3.70853e-15
660.0,3.41905e-15
670.0,3.16641e-15
680.0,2.90075e-15
690.0,2.69828e-15
700.0,2.51788e-15
800.0,1.34753e-15
900.0,8.84973e-16
1000.0,7.51178e-16
1100.0,8.71157e-16
1200.0,1.07495e-15
1300.0,1.11881e-15
1400.0,1.44756e-15
1500.0,1.51008e-15
1600.0,1.80534e-15
1700.0,2.0457e-15
1800.0,2.08972e-15
1900.0,2.49809e-15
2000.0,2.66653e-15
2100.0,2.88711e-15
2200.0,2.74732e-15
2300.0,2.99185e-15
2400.0,3.24888e-15
2500.0,3.12749e-15
2600.0,3.15023e-15
2700.0,3.03453e-15
2800.0,2.92945e-15
2900.0,2.83805e-15
3000.0,2.7615e-15
========================================
singlet_W3_Energy_1_0.0.out
1.0 atm
T,P1->W3
200.0,9.01623e-13
210.0,7.61461e-13
220.0,6.46368e-13
230.0,5.51644e-13
240.0,4.73076e-13
250.0,4.07466e-13
260.0,3.52483e-13
270.0,3.06157e-13
280.0,2.66928e-13
290.0,2.33558e-13
300.0,2.05087e-13
310.0,1.80596e-13
320.0,1.59493e-13
330.0,1.4128e-13
340.0,1.25677e-13
350.0,1.11896e-13
360.0,1.00026e-13
370.0,8.9784e-14
380.0,8.04135e-14
390.0,7.2713e-14
400.0,6.5673e-14
410.0,5.97885e-14
420.0,5.45927e-14
430.0,4.98153e-14
440.0,4.50191e-14
450.0,4.1308e-14
460.0,3.74065e-14
470.0,3.4321e-14
480.0,3.12299e-14
490.0,2.83163e-14
500.0,2.58348e-14
510.0,2.34545e-14
520.0,2.15183e-14
530.0,1.96817e-14
540.0,1.7896e-14
550.0,1.62837e-14
560.0,1.49121e-14
570.0,1.35915e-14
580.0,1.24098e-14
590.0,1.13962e-14
600.0,1.04291e-14
610.0,9.52919e-15
620.0,8.74661e-15
630.0,8.02218e-15
640.0,7.3915e-15
650.0,6.8398e-15
660.0,6.31463e-15
670.0,5.85532e-15
680.0,5.37485e-15
690.0,5.00474e-15
700.0,4.67416e-15
800.0,2.51767e-15
900.0,1.64739e-15
1000.0,1.3578e-15
1100.0,1.51009e-15
1200.0,1.82559e-15
1300.0,1.88726e-15
1400.0,2.41422e-15
1500.0,2.51093e-15
1600.0,2.98021e-15
1700.0,3.35342e-15
1800.0,3.40779e-15
1900.0,4.01373e-15
2000.0,4.22899e-15
2100.0,4.49952e-15
2200.0,4.22744e-15
2300.0,4.49912e-15
2400.0,4.77534e-15
2500.0,4.53737e-15
2600.0,4.52211e-15
2700.0,4.32449e-15
2800.0,4.15816e-15
2900.0,4.02648e-15
3000.0,3.92997e-15
========================================
singlet_W3_Energy_1_0.0.out
2.0 atm
T,P1->W3
200.0,1.35086e-12
210.0,1.15255e-12
220.0,9.87894e-13
230.0,8.50895e-13
240.0,7.36112e-13
250.0,6.3931e-13
260.0,5.57445e-13
270.0,4.87816e-13
280.0,4.28387e-13
290.0,3.77431e-13
300.0,3.33565e-13
310.0,2.95584e-13
320.0,2.62627e-13
330.0,2.33989e-13
340.0,2.09283e-13
350.0,1.87315e-13
360.0,1.68251e-13
370.0,1.51678e-13
380.0,1.36496e-13
390.0,1.23884e-13
400.0,1.12311e-13
410.0,1.02558e-13
420.0,9.38759e-14
430.0,8.58495e-14
440.0,7.78579e-14
450.0,7.15092e-14
460.0,6.49573e-14
470.0,5.96353e-14
480.0,5.4383e-14
490.0,4.9456e-14
500.0,4.51982e-14
510.0,4.11517e-14
520.0,3.77674e-14
530.0,3.45882e-14
540.0,3.15415e-14
550.0,2.87831e-14
560.0,2.6393e-14
570.0,2.41243e-14
580.0,2.20883e-14
590.0,2.03096e-14
600.0,1.86355e-14
610.0,1.70755e-14
620.0,1.5711e-14
630.0,1.44452e-14
640.0,1.33381e-14
650.0,1.2359e-14
660.0,1.14326e-14
670.0,1.06195e-14
680.0,9.77371e-15
690.0,9.11381e-15
700.0,8.5224e-15
800.0,4.6338e-15
900.0,3.02473e-15
1000.0,2.42745e-15
1100.0,2.57711e-15
1200.0,3.04615e-15
1300.0,3.12916e-15
1400.0,3.95921e-15
1500.0,4.10533e-15
1600.0,4.83112e-15
1700.0,5.38539e-15
1800.0,5.42996e-15
1900.0,6.27062e-15
2000.0,6.49536e-15
2100.0,6.76823e-15
2200.0,6.26967e-15
2300.0,6.52633e-15
2400.0,6.80168e-15
2500.0,6.40952e-15
2600.0,6.36832e-15
2700.0,6.08645e-15
2800.0,5.8699e-15
2900.0,5.72168e-15
3000.0,5.64191e-15
========================================
singlet_W3_Energy_1_0.0.out
4.0 atm
T,P1->W3
200.0,1.91865e-12
210.0,1.65219e-12
220.0,1.42898e-12
230.0,1.24156e-12
240.0,1.08319e-12
250.0,9.48492e-13
260.0,8.33634e-13
270.0,7.35126e-13
280.0,6.50413e-13
290.0,5.77217e-13
300.0,5.13682e-13
310.0,4.58301e-13
320.0,4.09903e-13
330.0,3.6755e-13
340.0,3.30739e-13
350.0,2.97795e-13
360.0,2.68967e-13
370.0,2.43667e-13
380.0,2.20474e-13
390.0,2.00915e-13
400.0,1.82942e-13
410.0,1.67594e-13
420.0,1.53819e-13
430.0,1.41049e-13
440.0,1.28485e-13
450.0,1.18199e-13
460.0,1.07823e-13
470.0,9.91456e-14
480.0,9.07116e-14
490.0,8.28392e-14
500.0,7.5929e-14
510.0,6.9413e-14
520.0,6.38232e-14
530.0,5.86071e-14
540.0,5.36649e-14
550.0,4.91706e-14
560.0,4.52096e-14
570.0,4.14865e-14
580.0,3.81297e-14
590.0,3.51489e-14
600.0,3.23678e-14
610.0,2.97703e-14
620.0,2.74815e-14
630.0,2.5352e-14
640.0,2.34775e-14
650.0,2.18021e-14
660.0,2.0223e-14
670.0,1.88293e-14
680.0,1.73879e-14
690.0,1.62465e-14
700.0,1.52189e-14
800.0,8.38654e-15
900.0,5.47284e-15
1000.0,4.29451e-15
1100.0,4.34202e-15
1200.0,4.99789e-15
1300.0,5.09953e-15
1400.0,6.37776e-15
1500.0,6.58753e-15
1600.0,7.66717e-15
1700.0,8.43741e-15
1800.0,8.41134e-15
1900.0,9.47406e-15
2000.0,9.61963e-15
2100.0,9.8112e-15
2200.0,8.97132e-15
2300.0,9.18053e-15
2400.0,9.47183e-15
2500.0,8.90825e-15
2600.0,8.90246e-15
2700.0,8.56432e-15
2800.0,8.34516e-15
2900.0,8.25069e-15
3000.0,8.28626e-15
========================================
singlet_W3_Energy_1_0.0.out
0.1 atm
T,W3->P1
