 convergence of q_dag integral
 For T =    200.00000000000000     
      Ei       Jj  sum_ij[qdag(Ei,Jj)]
   0.0000        2   0.24221E-03
   0.0000        6   0.86331E-03
   0.0000       10   0.16128E-02
   0.0000       14   0.22315E-02
   0.0000       18   0.25719E-02
   0.0000       22   0.25719E-02
   0.0000       26   0.25719E-02
   0.0000       30   0.25719E-02
   0.0000       34   0.25719E-02
   0.0000       38   0.25719E-02
   0.0000       42   0.25719E-02
   0.0000       46   0.25719E-02
   0.0000       50   0.25719E-02
   0.0000       54   0.25719E-02
   0.0000       58   0.25719E-02
   0.0000       62   0.25719E-02
   0.0000       66   0.25719E-02
   0.0000       70   0.25719E-02
   0.0000       74   0.25719E-02
   0.0000       78   0.25719E-02
   0.0000       82   0.25719E-02
   0.0000       86   0.25719E-02
   0.0000       90   0.25719E-02
   0.0000       94   0.25719E-02
   0.0000       98   0.25719E-02
   0.0000      102   0.25719E-02
   0.0000      106   0.25719E-02
   0.0000      110   0.25719E-02
   0.0000      114   0.25719E-02
   0.0000      118   0.25719E-02
   0.0000      122   0.25719E-02
   0.0000      126   0.25719E-02
   0.0000      130   0.25719E-02
   0.0000      134   0.25719E-02
   0.0000      138   0.25719E-02
   50.000        2   0.28229E-02
   50.000        6   0.34939E-02
   50.000       10   0.43435E-02
   50.000       14   0.51368E-02
   50.000       18   0.56577E-02
   50.000       22   0.58420E-02
   50.000       26   0.58420E-02
   50.000       30   0.58420E-02
   50.000       34   0.58420E-02
   50.000       38   0.58420E-02
   50.000       42   0.58420E-02
   50.000       46   0.58420E-02
   50.000       50   0.58420E-02
   50.000       54   0.58420E-02
   50.000       58   0.58420E-02
   50.000       62   0.58420E-02
   50.000       66   0.58420E-02
   50.000       70   0.58420E-02
   50.000       74   0.58420E-02
   50.000       78   0.58420E-02
   50.000       82   0.58420E-02
   50.000       86   0.58420E-02
   50.000       90   0.58420E-02
   50.000       94   0.58420E-02
   50.000       98   0.58420E-02
   50.000      102   0.58420E-02
   50.000      106   0.58420E-02
   50.000      110   0.58420E-02
   50.000      114   0.58420E-02
   50.000      118   0.58420E-02
   50.000      122   0.58420E-02
   50.000      126   0.58420E-02
   50.000      130   0.58420E-02
   50.000      134   0.58420E-02
   50.000      138   0.58420E-02
   100.00        2   0.60927E-02
   100.00        6   0.68088E-02
   100.00       10   0.77272E-02
   100.00       14   0.86111E-02
   100.00       18   0.92827E-02
   100.00       22   0.96340E-02
   100.00       26   0.96851E-02
   100.00       30   0.96851E-02
   100.00       34   0.96851E-02
   100.00       38   0.96851E-02
   100.00       42   0.96851E-02
   100.00       46   0.96851E-02
   100.00       50   0.96851E-02
   100.00       54   0.96851E-02
   100.00       58   0.96851E-02
   100.00       62   0.96851E-02
   100.00       66   0.96851E-02
   100.00       70   0.96851E-02
   100.00       74   0.96851E-02
   100.00       78   0.96851E-02
   100.00       82   0.96851E-02
   100.00       86   0.96851E-02
   100.00       90   0.96851E-02
   100.00       94   0.96851E-02
   100.00       98   0.96851E-02
   100.00      102   0.96851E-02
   100.00      106   0.96851E-02
   100.00      110   0.96851E-02
   100.00      114   0.96851E-02
   100.00      118   0.96851E-02
   100.00      122   0.96851E-02
   100.00      126   0.96851E-02
   100.00      130   0.96851E-02
   100.00      134   0.96851E-02
   100.00      138   0.96851E-02
   150.00        2   0.99287E-02
   150.00        6   0.10649E-01
   150.00       10   0.11597E-01
   150.00       14   0.12548E-01
   150.00       18   0.13303E-01
   150.00       22   0.13767E-01
   150.00       26   0.13937E-01
   150.00       30   0.13937E-01
   150.00       34   0.13937E-01
   150.00       38   0.13937E-01
   150.00       42   0.13937E-01
   150.00       46   0.13937E-01
   150.00       50   0.13937E-01
   150.00       54   0.13937E-01
   150.00       58   0.13937E-01
   150.00       62   0.13937E-01
   150.00       66   0.13937E-01
   150.00       70   0.13937E-01
   150.00       74   0.13937E-01
   150.00       78   0.13937E-01
   150.00       82   0.13937E-01
   150.00       86   0.13937E-01
   150.00       90   0.13937E-01
   150.00       94   0.13937E-01
   150.00       98   0.13937E-01
   150.00      102   0.13937E-01
   150.00      106   0.13937E-01
   150.00      110   0.13937E-01
   150.00      114   0.13937E-01
   150.00      118   0.13937E-01
   150.00      122   0.13937E-01
   150.00      126   0.13937E-01
   150.00      130   0.13937E-01
   150.00      134   0.13937E-01
   150.00      138   0.13937E-01
   200.00        2   0.14174E-01
   200.00        6   0.14891E-01
   200.00       10   0.15831E-01
   200.00       14   0.16805E-01
   200.00       18   0.17619E-01
   200.00       22   0.18165E-01
   200.00       26   0.18420E-01
   200.00       30   0.18461E-01
   200.00       34   0.18461E-01
   200.00       38   0.18461E-01
   200.00       42   0.18461E-01
   200.00       46   0.18461E-01
   200.00       50   0.18461E-01
   200.00       54   0.18461E-01
   200.00       58   0.18461E-01
   200.00       62   0.18461E-01
   200.00       66   0.18461E-01
   200.00       70   0.18461E-01
   200.00       74   0.18461E-01
   200.00       78   0.18461E-01
   200.00       82   0.18461E-01
   200.00       86   0.18461E-01
   200.00       90   0.18461E-01
   200.00       94   0.18461E-01
   200.00       98   0.18461E-01
   200.00      102   0.18461E-01
   200.00      106   0.18461E-01
   200.00      110   0.18461E-01
   200.00      114   0.18461E-01
   200.00      118   0.18461E-01
   200.00      122   0.18461E-01
   200.00      126   0.18461E-01
   200.00      130   0.18461E-01
   200.00      134   0.18461E-01
   200.00      138   0.18461E-01
   250.00        2   0.18689E-01
   250.00        6   0.19396E-01
   250.00       10   0.20335E-01
   250.00       14   0.21298E-01
   250.00       18   0.22135E-01
   250.00       22   0.22725E-01
   250.00       26   0.23055E-01
   250.00       30   0.23161E-01
   250.00       34   0.23161E-01
   250.00       38   0.23161E-01
   250.00       42   0.23161E-01
   250.00       46   0.23161E-01
   250.00       50   0.23161E-01
   250.00       54   0.23161E-01
   250.00       58   0.23161E-01
   250.00       62   0.23161E-01
   250.00       66   0.23161E-01
   250.00       70   0.23161E-01
   250.00       74   0.23161E-01
   250.00       78   0.23161E-01
   250.00       82   0.23161E-01
   250.00       86   0.23161E-01
   250.00       90   0.23161E-01
   250.00       94   0.23161E-01
   250.00       98   0.23161E-01
   250.00      102   0.23161E-01
   250.00      106   0.23161E-01
   250.00      110   0.23161E-01
   250.00      114   0.23161E-01
   250.00      118   0.23161E-01
   250.00      122   0.23161E-01
   250.00      126   0.23161E-01
   250.00      130   0.23161E-01
   250.00      134   0.23161E-01
   250.00      138   0.23161E-01
   300.00        2   0.23376E-01
   300.00        6   0.24053E-01
   300.00       10   0.24969E-01
   300.00       14   0.25928E-01
   300.00       18   0.26758E-01
   300.00       22   0.27379E-01
   300.00       26   0.27749E-01
   300.00       30   0.27902E-01
   300.00       34   0.27910E-01
   300.00       38   0.27910E-01
   300.00       42   0.27910E-01
   300.00       46   0.27910E-01
   300.00       50   0.27910E-01
   300.00       54   0.27910E-01
   300.00       58   0.27910E-01
   300.00       62   0.27910E-01
   300.00       66   0.27910E-01
   300.00       70   0.27910E-01
   300.00       74   0.27910E-01
   300.00       78   0.27910E-01
   300.00       82   0.27910E-01
   300.00       86   0.27910E-01
   300.00       90   0.27910E-01
   300.00       94   0.27910E-01
   300.00       98   0.27910E-01
   300.00      102   0.27910E-01
   300.00      106   0.27910E-01
   300.00      110   0.27910E-01
   300.00      114   0.27910E-01
   300.00      118   0.27910E-01
   300.00      122   0.27910E-01
   300.00      126   0.27910E-01
   300.00      130   0.27910E-01
   300.00      134   0.27910E-01
   300.00      138   0.27910E-01
   350.00        2   0.28108E-01
   350.00        6   0.28749E-01
   350.00       10   0.29620E-01
   350.00       14   0.30553E-01
   350.00       18   0.31380E-01
   350.00       22   0.32002E-01
   350.00       26   0.32401E-01
   350.00       30   0.32596E-01
   350.00       34   0.32645E-01
   350.00       38   0.32645E-01
   350.00       42   0.32645E-01
   350.00       46   0.32645E-01
   350.00       50   0.32645E-01
