 In this file all energies are in cm-1, temperatures  in K,
 lengths in Angstroms, and angles in degrees

 *** Intermediate TS results for: 
  effective state 1 in electronic state  1 of channel  1 ***

 Ndag for J =    2
     E     Ndag(E,J) IRdag   
      0.0 0.1772E-01    1
     50.0 0.2632E-01    1
    100.0 0.3766E-01    1
    150.0 0.5243E-01    1
    200.0 0.7325E-01    1
    250.0 0.1009        1
    300.0 0.1358        1
    350.0 0.1797        1
    400.0 0.2346        1
    450.0 0.3035        1
    500.0 0.3894        1
    550.0 0.4954        1
    600.0 0.6244        1
    650.0 0.7805        1
    700.0 0.9666        1
    750.0  1.185        1
    800.0  1.440        1
    850.0  1.735        1
    900.0  2.073        1
    950.0  2.457        1
   1000.0  2.888        1
   1050.0  3.369        1
   1100.0  3.904        1
   1150.0  4.493        1
   1200.0  5.139        1
   1250.0  5.845        1
   1300.0  6.616        1
   1350.0  7.455        1
   1400.0  8.366        1
   1450.0  9.353        1
   1500.0  10.42        1
   1550.0  11.57        1
   1600.0  12.82        1
   1650.0  14.15        1
   1700.0  15.58        1
   1750.0  17.11        1
   1800.0  18.74        1
   1850.0  20.47        1
   1900.0  22.31        1
   1950.0  24.27        1
   2000.0  26.34        1
   2050.0  28.53        1
   2100.0  30.85        1
   2150.0  33.30        1
   2200.0  35.90        1
   2250.0  38.63        1
   2300.0  41.53        1
   2350.0  44.58        1
   2400.0  47.80        1
   2450.0  51.20        1
   2500.0  54.77        1
   2550.0  58.54        1
   2600.0  62.49        1
   2650.0  66.65        1
   2700.0  71.01        1
   2750.0  75.57        1
   2800.0  80.35        1
   2850.0  85.35        1
   2900.0  90.58        1
   2950.0  96.03        1
   3000.0  101.7        1
   3050.0  107.7        1
   3100.0  113.9        1
   3150.0  120.3        1
   3200.0  127.0        1
   3250.0  134.0        1
   3300.0  141.3        1
   3350.0  148.9        1
   3400.0  156.8        1
   3450.0  165.0        1
   3500.0  173.5        1
   3550.0  182.3        1
   3600.0  191.4        1
   3650.0  200.9        1
   3700.0  210.7        1
   3750.0  220.8        1
   3800.0  231.3        1
   3850.0  242.2        1
   3900.0  253.4        1
   3950.0  265.0        1
   4000.0  277.1        1
   4050.0  289.5        1
   4100.0  302.4        1
   4150.0  315.7        1
   4200.0  329.4        1
   4250.0  343.6        1
   4300.0  358.3        1
   4350.0  373.5        1
   4400.0  389.1        1
   4450.0  405.3        1
   4500.0  422.0        1
   4550.0  439.2        1
   4600.0  456.9        1
   4650.0  475.2        1
   4700.0  494.1        1
   4750.0  513.6        1
   4800.0  533.6        1
   4850.0  554.3        1
   4900.0  575.6        1
   4950.0  597.5        1
   5000.0  620.1        1
   5050.0  643.3        1
   5100.0  667.2        1
   5150.0  691.8        1
   5200.0  717.1        1
   5250.0  743.2        1
   5300.0  769.9        1
   5350.0  797.4        1
   5400.0  825.7        1
   5450.0  854.7        1
   5500.0  884.5        1
   5550.0  915.1        1
   5600.0  946.5        1
   5650.0  978.8        1
   5700.0  1012.        1
   5750.0  1046.        1
   5800.0  1081.        1
   5850.0  1117.        1
   5900.0  1153.        1
   5950.0  1191.        1
   6000.0  1230.        1
   6050.0  1269.        1
   6100.0  1310.        1
   6150.0  1352.        1
   6200.0  1394.        1
   6250.0  1438.        1
   6300.0  1483.        1
   6350.0  1529.        1
   6400.0  1576.        1
   6450.0  1624.        1
   6500.0  1673.        1
   6550.0  1724.        1
   6600.0  1776.        1
   6650.0  1828.        1
   6700.0  1883.        1
   6750.0  1938.        1
   6800.0  1995.        1
   6850.0  2053.        1
   6900.0  2112.        1
   6950.0  2173.        1
   7000.0  2235.        1
   7050.0  2298.        1
   7100.0  2363.        1
   7150.0  2429.        1
   7200.0  2496.        1
   7250.0  2566.        1
   7300.0  2636.        1
   7350.0  2708.        1
   7400.0  2782.        1
   7450.0  2857.        1
   7500.0  2934.        1
   7550.0  3012.        1
   7600.0  3092.        1
   7650.0  3174.        1
   7700.0  3257.        1
   7750.0  3342.        1
   7800.0  3429.        1
   7850.0  3517.        1
   7900.0  3607.        1
   7950.0  3700.        1
   8000.0  3794.        1
   8050.0  3889.        1
   8100.0  3987.        1
   8150.0  4087.        1
   8200.0  4189.        1
   8250.0  4292.        1
   8300.0  4398.        1
   8350.0  4506.        1
   8400.0  4615.        1
   8450.0  4727.        1
   8500.0  4841.        1
   8550.0  4958.        1
   8600.0  5076.        1
   8650.0  5197.        1
   8700.0  5320.        1
   8750.0  5445.        1
   8800.0  5572.        1
   8850.0  5702.        1
   8900.0  5835.        1
   8950.0  5969.        1
   9000.0  6106.        1
   9050.0  6246.        1
   9100.0  6388.        1
   9150.0  6533.        1
   9200.0  6680.        1
   9250.0  6830.        1
   9300.0  6982.        1
   9350.0  7137.        1
   9400.0  7295.        1
   9450.0  7456.        1
   9500.0  7619.        1
   9550.0  7786.        1
   9600.0  7955.        1
   9650.0  8127.        1
   9700.0  8302.        1
   9750.0  8480.        1
   9800.0  8661.        1
   9850.0  8845.        1
   9900.0  9032.        1
   9950.0  9222.        1
  10000.0  9416.        1
  10050.0  9612.        1
  10100.0  9812.        1
  10150.0 0.1002E+05    1
  10200.0 0.1022E+05    1
  10250.0 0.1043E+05    1
  10300.0 0.1065E+05    1
  10350.0 0.1086E+05    1
  10400.0 0.1108E+05    1
  10450.0 0.1131E+05    1
  10500.0 0.1153E+05    1
  10550.0 0.1176E+05    1
  10600.0 0.1200E+05    1
  10650.0 0.1224E+05    1
  10700.0 0.1248E+05    1
  10750.0 0.1273E+05    1
  10800.0 0.1298E+05    1
  10850.0 0.1323E+05    1
  10900.0 0.1349E+05    1
  10950.0 0.1375E+05    1
  11000.0 0.1401E+05    1
  11050.0 0.1428E+05    1
  11100.0 0.1456E+05    1
  11150.0 0.1483E+05    1
  11200.0 0.1512E+05    1
  11250.0 0.1540E+05    1
  11300.0 0.1569E+05    1
  11350.0 0.1599E+05    1
  11400.0 0.1629E+05    1
  11450.0 0.1659E+05    1
  11500.0 0.1690E+05    1
  11550.0 0.1721E+05    1
  11600.0 0.1753E+05    1
  11650.0 0.1785E+05    1
