    E, kcal/mol    D, mol/kcal       W1a->W1b        W1a->P1
            -10              0            ***            ***
             -9              0            ***            ***
             -8              0            ***            ***
             -7              0            ***            ***
             -6              0            ***            ***
             -5              0            ***            ***
             -4    4.00753e+06              0              0
             -3    2.98783e+08    1.23904e+10              0
             -2    2.83053e+09    5.77518e+10              0
             -1    1.41512e+10    1.07863e+11              0
    1.36068e-15    5.05824e+10    1.54006e+11    2.40674e-06
              1    1.47704e+11    1.92788e+11    4.15366e+11
              2    3.77094e+11    2.24614e+11    1.87887e+12
              3    8.72672e+11    2.51489e+11    2.64043e+12
              4    1.87032e+12    2.74941e+11    2.50781e+12
              5    3.76683e+12    2.95719e+11    2.54136e+12
              6     7.2056e+12    3.14253e+11    2.76226e+12
              7    1.31965e+13    3.30923e+11    2.81587e+12
              8     2.3282e+13    3.46024e+11    2.75523e+12
              9    3.97635e+13    3.59768e+11    2.74233e+12
             10    6.60045e+13    3.72334e+11    2.73645e+12
             11    1.06832e+14    3.83875e+11    2.69216e+12
             12    1.69061e+14    3.94514e+11    2.63658e+12
             13    2.62176e+14    4.04354e+11    2.59272e+12
             14    3.99201e+14    4.13488e+11    2.54083e+12
             15    5.97805e+14    4.21994e+11     2.4816e+12
             16    8.81695e+14    4.29939e+11    2.42451e+12
             17    1.28236e+15     4.3738e+11    2.36896e+12
             18    1.84121e+15    4.44368e+11    2.31061e+12
             19    2.61228e+15    4.50948e+11    2.25278e+12
    E, kcal/mol    D, mol/kcal       W1b->W1a        W1b->P2
            -10              0            ***            ***
             -9         529152              0    6.61808e+07
             -8     5.2694e+06              0    2.17002e+08
             -7    2.30744e+07              0    5.85681e+08
             -6    7.43737e+07              0    1.36512e+09
             -5     2.0129e+08              0    2.89984e+09
             -4    4.84089e+08              0    5.77766e+09
             -3    1.06567e+09     3.4739e+09    1.09578e+10
             -2    2.18942e+09    7.46627e+10    1.98417e+10
             -1    4.25134e+09    3.59038e+11    3.42011e+10
    1.36068e-15    7.87567e+09    9.89121e+11    5.59365e+10
              1    1.40205e+10    2.03101e+12    8.69298e+10
              2     2.4122e+10    3.51134e+12    1.29136e+11
              3    4.02883e+10    5.44741e+12    1.84806e+11
              4    6.55508e+10    7.84474e+12    2.56659e+11
              5    1.04204e+11    1.06898e+13    3.47798e+11
              6    1.62249e+11    1.39562e+13     4.6147e+11
              7    2.47944e+11     1.7613e+13    6.00909e+11
              8    3.72516e+11    2.16263e+13    7.69209e+11
              9    5.51074e+11    2.59596e+13    9.69233e+11
             10    8.03728e+11    3.05772e+13    1.20357e+12
             11    1.15698e+12    3.54457e+13    1.47449e+12
             12    1.64549e+12    4.05331e+13    1.78381e+12
             13    2.31414e+12    4.58106e+13    2.13299e+12
             14    3.22065e+12    5.12519e+13    2.52307e+12
             15    4.43875e+12    5.68335e+13    2.95469e+12
             16     6.0619e+12     6.2534e+13    3.42817e+12
             17    8.20786e+12    6.83341e+13    3.94348e+12
             18    1.10241e+13    7.42168e+13    4.50034e+12
             19    1.46944e+13    8.01666e+13     5.0982e+12
