    E, kcal/mol    D, mol/kcal         W1->P1         W1->P2
            8.4        10484.4     7.6017e+15              0
            8.5        13000.7    6.28927e+15              0
            8.6        13000.7    6.45121e+15              0
            8.7        13000.7    6.61616e+15              0
            8.8        14678.2    6.00874e+15              0
            8.9        14678.2    6.16003e+15              0
              9        14678.2    6.31386e+15              0
            9.1          15517    6.12044e+15              0
            9.2          15517    6.27064e+15              0
            9.3          15517    6.42313e+15              0
            9.4          15517     6.5779e+15              0
            9.5          15517    6.73491e+15              0
            9.6          15517    6.89413e+15              0
            9.7          15517    7.05555e+15              0
            9.8          15517    7.21914e+15              0
            9.9        16775.1    6.83101e+15              0
             10        16775.1    6.98628e+15              0
           10.1        16775.1    7.14351e+15              0
           10.2        20130.1    6.08556e+15              0
           10.3        20130.1    6.21979e+15              0
           10.4        20130.1     6.3556e+15              0
           10.5          22227    5.88044e+15              0
           10.6          22227    6.00628e+15              0
           10.7          22227    6.13352e+15              0
           10.8        23485.1    5.92668e+15              0
           10.9        23485.1    6.04972e+15              0
             11        23485.1    6.17406e+15              0
           11.1        23904.5    6.18918e+15              0
           11.2        23904.5    6.31386e+15              0
           11.3        23904.5     6.4398e+15              0
           11.4        23904.5    6.56698e+15              0
           11.5        23904.5     6.6954e+15              0
           11.6          25582     6.3775e+15              0
           11.7          25582    6.49978e+15              0
           11.8          25582    6.62319e+15              0
           11.9        29775.8    5.79735e+15              0
             12        29775.8    5.90531e+15              0
           12.1        29775.8    6.01423e+15              0
           12.2        32292.1    5.64691e+15              0
           12.3        32292.1    5.74909e+15              0
           12.4        32292.1    5.85215e+15              0
           12.5        33969.6    5.66194e+15              0
           12.6        33969.6    5.76155e+15              0
           12.7        33969.6    5.86197e+15              0
           12.8        34808.3    5.81951e+15              0
           12.9        34808.3     5.9191e+15              0
             13        35227.7     5.9478e+15              0
           13.1        35227.7    6.04774e+15              0
           13.2        35227.7    6.14845e+15              0
           13.3        37324.6     5.8988e+15              0
           13.4        37324.6    5.99529e+15              0
           13.5        37324.6    6.09249e+15              0
           13.6        42357.1    5.45491e+15              0
           13.7        42357.1    5.54182e+15              0
           13.8        42357.1    5.62935e+15              0
           13.9        45712.2    5.29786e+15              0
             14        45712.2    5.38012e+15              0
           14.1        45712.2    5.46294e+15              0
           14.2          47809    5.30306e+15              0
           14.3          47809     5.3838e+15              0
           14.4          47809    5.46655e+15              0
           14.5        49067.2    5.40858e+15              0
           14.6        49067.2    5.49218e+15              0
           14.7        49905.9    5.48335e+15              0
           14.8        50325.3    5.52165e+15              0
           14.9        50325.3     5.6068e+15              0
             15        52841.6    5.42198e+15              0
           15.1        52841.6    5.50519e+15              0
