*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.233912    0.0361663     0.528896    0.0480217     0.595345
          210            1   8.5712e+09     0.264452    0.0435957     0.570678    0.0548841     0.629343
          220            1  8.18776e+09      0.27141    0.0455951     0.584167      0.05717     0.642442
          230            1  7.84104e+09     0.298974    0.0556591     0.636273    0.0727466     0.696203
          240            1  7.52624e+09     0.288629     0.051468     0.620713     0.063407     0.675644
          250            1  7.23933e+09     0.308461    0.0608172     0.664586    0.0786931     0.720013
          260            1  6.97686e+09     0.366362    0.0774151     0.712951    0.0952917      0.76274
          270            1  6.73594e+09     0.393011    0.0914163     0.747968     0.116892      0.79681
          280            1  6.51405e+09     0.381313    0.0858552     0.742885     0.104738     0.789683
          290            1  6.30905e+09     0.397491    0.0963263      0.76935     0.122465     0.814255
          300            1  6.11911e+09     0.378994     0.084674      0.74557      0.10073     0.789606
          310            1  5.94261e+09     0.462598     0.120787     0.811447     0.145553     0.848749
          320            1  5.77817e+09     0.466879     0.121929     0.814964     0.145638     0.851645
          330            1  5.62457e+09     0.466858      0.13734     0.826288     0.160524     0.865944
          340            1  5.48076e+09     0.476672     0.129517     0.832079     0.155061     0.866717
          350            1  5.34581e+09     0.375007     0.110446     0.821779      0.13963     0.853377
          360            1  5.21891e+09     0.496466     0.145991     0.855478     0.169536     0.886386
          370            1  5.09932e+09     0.397888     0.169823     0.884961     0.175639     0.913289
          380            1  4.98641e+09     0.485744     0.134151     0.842341     0.156373     0.872477
          390            1  4.87962e+09     0.483416     0.135997     0.851085     0.157019     0.880339
          400            1  4.77844e+09     0.341552     0.164936     0.922928     0.174623     0.896689
          410            1  4.68243e+09     0.422769     0.181535     0.914186     0.258571     0.935705
          420            1  4.59116e+09     0.446737     0.168643      0.89068     0.181476     0.915723
          430            1   4.5043e+09     0.692384     0.245657     0.928642     0.282559     0.947239
          440            1   4.4215e+09     0.434421     0.182555     0.917135     0.249925     0.936899
          450            1  4.34248e+09     0.448365     0.183609      0.91642     0.245819     0.936198
          460            1  4.26697e+09     0.435519     0.182693     0.919458     0.248447     0.938493
          470            1  4.19473e+09     0.780553     0.276823     0.945652     0.308629     0.961304
          480            1  4.12555e+09     0.403443     0.176845     0.910022     0.180873     0.931103
          490            1  4.05921e+09      1.09747     0.287222     0.970187       0.2927     0.952011
          500            1  3.99555e+09     0.855933     0.297161     0.955903     0.314871     0.970014
          510            1   3.9344e+09     0.674926     0.243261     0.937496     0.275502     0.952578
          520            1  3.87559e+09     0.788426     0.280242     0.951935     0.310539     0.965301
          530            1  3.81901e+09     0.990738     0.311165     0.964279      0.31206     0.975971
          540            1   3.7645e+09     0.829874     0.289557     0.956625     0.315519     0.969263
          550            1  3.71197e+09     0.795006     0.281906     0.954542     0.309784     0.966931
          560            1  3.66129e+09      1.24584     0.273348     0.981762      0.31487     0.972907
          570            1  3.61237e+09     0.831004     0.290633      0.95883     0.316197     0.970231
          580            1  3.56511e+09     0.854821     0.295468     0.961239     0.318177      0.97218
          590            1  3.51942e+09      1.59715     0.199358     0.985201     0.287468      0.97807
          600            1  3.47524e+09     0.945582     0.309005     0.967151     0.315355     0.977177
          610            1  3.43247e+09       1.2566     0.274415     0.982954     0.311323     0.974855
          620            1  3.39105e+09      1.42002     0.253323     0.985374     0.308661     0.978258
          630            1  3.35091e+09      11.5213     0.535557     0.986197     0.628707     0.990809
          640            1    3.312e+09      2.10056      0.24701     0.984142     0.570033     0.989371
          650            1  3.27425e+09      2.53052     0.193432     0.985303     0.589935     0.990204
          660            1  3.23761e+09      1.26749     0.264495      0.98466     0.315957     0.977518
          670            1  3.20203e+09     0.947446     0.310297     0.970606      0.32482     0.978956
          680            1  3.16747e+09      32.7073     0.522371     0.987171      0.61856      0.99156
          690            1  3.13387e+09      1.09272     0.302705     0.983368     0.321927     0.975994
