    E, kcal/mol    D, mol/kcal         W1->P1
              0              0            ***
            0.1        419.378    1.42053e-27
            0.2        419.378    2.65362e-27
            0.3        419.378    4.80748e-27
            0.4        419.378    8.48874e-27
            0.5        419.378     1.4661e-26
            0.6        419.378    2.48376e-26
            0.7        419.378    4.13732e-26
            0.8        419.378    6.78873e-26
            0.9        419.378    1.09892e-25
              1        419.378    1.75701e-25
            1.1        419.378    2.77764e-25
            1.2        419.378    4.34568e-25
            1.3        419.378    6.73378e-25
            1.4        419.378    1.03413e-24
            1.5        419.378    1.57493e-24
            1.6        419.378    2.37986e-24
            1.7        1331.02     1.1248e-24
            1.8        1258.13    1.77268e-24
            1.9        1258.13    2.62357e-24
              2        1258.13    3.85898e-24
            2.1        1258.13    5.64299e-24
            2.2        1258.13    8.20596e-24
            2.3        1258.13      1.187e-23
            2.4        1258.13    1.70836e-23
            2.5        1258.13     2.4469e-23
            2.6        1258.13    3.48861e-23
            2.7        1258.13    4.95192e-23
            2.8        1258.13    6.99938e-23
            2.9        1258.13    9.85335e-23
              3        1258.13    1.38171e-22
            3.1        1258.13    1.93028e-22
            3.2        1258.13    2.68694e-22
            3.3        1258.13    3.72723e-22
            3.4        2523.67    2.56893e-22
            3.5        2516.27    3.55053e-22
            3.6        2516.27    4.87754e-22
            3.7        2935.65    5.72595e-22
            3.8        2935.64    7.81938e-22
            3.9        2935.64    1.06479e-21
              4        2935.64      1.446e-21
            4.1        2935.64    1.95845e-21
            4.2        2935.64    2.64567e-21
            4.3        2935.64    3.56509e-21
            4.4        2935.64    4.79235e-21
            4.5        2935.64    6.42684e-21
            4.6        2935.64    8.59899e-21
            4.7        2935.64    1.14796e-20
            4.8        2935.64    1.52917e-20
            4.9        2935.64    2.03266e-20
              5        2935.64    2.69634e-20
            5.1         4611.6    2.27228e-20
            5.2        4613.15    3.00121e-20
            5.3        4613.15    3.95771e-20
            5.4         5451.9    4.40786e-20
            5.5        5451.91     5.7912e-20
            5.6        5451.91     7.5951e-20
            5.7        5451.91    9.94353e-20
            5.8        5451.91    1.29959e-19
            5.9        5451.91     1.6957e-19
              6        5451.91    2.20894e-19
            6.1        5451.91    2.87292e-19
            6.2        5451.91    3.73066e-19
            6.3        5451.91    4.83707e-19
            6.4        5451.91    6.26224e-19
            6.5        5871.22    7.51725e-19
            6.6        5871.29    9.70373e-19
            6.7        5871.29    1.25087e-18
            6.8        7967.86    1.18652e-18
            6.9        7968.17    1.52525e-18
              7        7968.17    1.95815e-18
            7.1         9226.3    2.16828e-18
            7.2        9226.31     2.7765e-18
            7.3        9226.31    3.55086e-18
            7.4        9645.68    4.33839e-18
            7.5        9645.68     5.5348e-18
            7.6        9645.68    7.05273e-18
            7.7        9645.68    8.97645e-18
            7.8        9645.68    1.14118e-17
            7.9        9645.68    1.44913e-17
              8        9645.68    1.83816e-17
            8.1        9645.68    2.32906e-17
            8.2        10484.4    2.71207e-17
            8.3        10484.4    3.42904e-17
            8.4        10484.4    4.33103e-17
            8.5        13000.7    4.40701e-17
            8.6        13000.7    5.55497e-17
            8.7        13000.7    6.99499e-17
            8.8        14678.2    7.79402e-17
            8.9        14678.2    9.79545e-17
              9        14678.2    1.22992e-16
            9.1          15517    1.45944e-16
            9.2          15517    1.82908e-16
            9.3          15517    2.29026e-16
            9.4          15517    2.86516e-16
            9.5          15517     3.5812e-16
            9.6          15517    4.47232e-16
            9.7          15517    5.58039e-16
            9.8          15517    6.95712e-16
            9.9        16775.1    8.01631e-16
             10        16775.1    9.97748e-16
           10.1        16775.1    1.24084e-15
           10.2        20130.1    1.28494e-15
           10.3        20130.1    1.59546e-15
           10.4        20130.1    1.97948e-15
           10.5          22227    2.22254e-15
           10.6          22227     2.7533e-15
           10.7          22227    3.40824e-15
           10.8        23485.1    3.99002e-15
           10.9        23485.1     4.9319e-15
             11        23485.1    6.09172e-15
           11.1        23904.5    7.38703e-15
           11.2        23904.5    9.11132e-15
           11.3        23904.5    1.12303e-14
           11.4        23904.5    1.38325e-14
           11.5        23904.5    1.70262e-14
           11.6          25582    1.95699e-14
           11.7          25582    2.40561e-14
           11.8          25582    2.95514e-14
           11.9        29775.8    3.11688e-14
             12        29775.8    3.82397e-14
           12.1        29775.8    4.68849e-14
           12.2        32292.1    5.29721e-14
           12.3        32292.1    6.48672e-14
           12.4        32292.1    7.93848e-14
           12.5        33969.6    9.22981e-14
           12.6        33969.6    1.12819e-13
           12.7        33969.6    1.37821e-13
           12.8        34808.3     1.6421e-13
           12.9        34808.3    2.00367e-13
             13        35227.7    2.41436e-13
           13.1        35227.7    2.94261e-13
           13.2        35227.7    3.58443e-13
           13.3        37324.6    4.11865e-13
           13.4        37324.6    5.01142e-13
           13.5        37324.6    6.09441e-13
           13.6        42357.1    6.52734e-13
           13.7        42357.1     7.9294e-13
           13.8        42357.1    9.62755e-13
           13.9        45712.2    1.08258e-12
             14        45712.2    1.31305e-12
           14.1        45712.2    1.59177e-12
           14.2          47809    1.84409e-12
           14.3          47809    2.23328e-12
           14.4          47809    2.70327e-12
           14.5        49067.2    3.18668e-12
           14.6        49067.2    3.85351e-12
           14.7        49905.9    4.57935e-12
           14.8        50325.3    5.48617e-12
           14.9        50325.3    6.62464e-12
             15        52841.6    7.61486e-12
           15.1        52841.6    9.18645e-12
           15.2        52841.6    1.10773e-11
           15.3        58712.9     1.2016e-11
           15.4        58712.9    1.44761e-11
           15.5        58712.9    1.74319e-11
           15.6        62906.6     1.9583e-11
           15.7        62906.6    2.35607e-11
           15.8        62906.6    2.83338e-11
           15.9        65422.9    3.27491e-11
             16        65422.9    3.93496e-11
           16.1        65422.9    4.72603e-11
           16.2        67100.4    5.53188e-11
           16.3        67100.4    6.63837e-11
           16.4        68358.5    7.81633e-11
           16.5        69197.3    9.25838e-11
           16.6        69197.3    1.10965e-10
           16.7        72552.3    1.26794e-10
           16.8        72552.3    1.51844e-10
           16.9        72552.3    1.81771e-10
             17        79262.4    1.99096e-10
           17.1        79262.4    2.38147e-10
           17.2        79262.4    2.84747e-10
           17.3        84294.9    3.20015e-10
           17.4        84294.9     3.8234e-10
           17.5        84294.9    4.56628e-10
           17.6        87649.9    5.24278e-10
           17.7        87649.9    6.25674e-10
           17.8        87649.9    7.46403e-10
           17.9        89746.8    8.69301e-10
             18        89746.8    1.03628e-09
           18.1        91426.9    1.21218e-09
           18.2        92682.4    1.42441e-09
           18.3        92682.4    1.69617e-09
           18.4        97123.5    1.92674e-09
           18.5        97295.6    2.28867e-09
           18.6        97295.6    2.72244e-09
           18.7         104844    3.00421e-09
           18.8         104844    3.57112e-09
           18.9         104844    4.24355e-09
             19         110716    4.77357e-09
           19.1         110716    5.66859e-09
           19.2         110716    6.72914e-09
           19.3         114909    7.69404e-09
           19.4         114909     9.1275e-09
           19.5         115329    1.07851e-08
           19.6         117845    1.25131e-08
           19.7         117845    1.48298e-08
           19.8         119965    1.72594e-08
           19.9         121619    2.01638e-08
             20         121619    2.38742e-08
