*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.237306     0.037118     0.538371    0.0371184     0.538371
          200            5  4.49853e+10     0.227528    0.0338955     0.508236    0.0338955     0.508236
          200           10  8.99707e+10     0.217908    0.0312701     0.483649    0.0312701     0.483649
          210            1   8.5712e+09     0.269493    0.0440711     0.577166    0.0440714     0.577166
          210            5   4.2856e+10     0.258287     0.040164     0.546219     0.040164     0.546219
          210           10   8.5712e+10     0.247009    0.0369954     0.521101    0.0369954     0.521101
          220            1  8.18776e+09     0.275735    0.0463652      0.59332    0.0463653      0.59332
          220            5  4.09388e+10     0.268444    0.0435396      0.57144    0.0435398      0.57144
          220           10  8.18776e+10     0.260338    0.0409037     0.550985    0.0409037     0.550985
          230            1  7.84104e+09     0.305464    0.0575356     0.645671    0.0575363     0.645671
          230            5  3.92052e+10      0.29296     0.052076     0.612532    0.0520762     0.612532
          230           10  7.84104e+10     0.280199    0.0477769     0.586537    0.0477769     0.586537
          240            1  7.52624e+09     0.289602    0.0519519      0.63015    0.0519531      0.63015
          240            5  3.76312e+10     0.284873    0.0498288     0.615275    0.0498288     0.615275
          240           10  7.52624e+10     0.279304    0.0476437     0.599923    0.0476437     0.599923
          250            1  7.23933e+09     0.313762    0.0629396     0.677013    0.0629398     0.677013
          250            5  3.61966e+10     0.307866    0.0597167      0.65844    0.0597168      0.65844
          250           10  7.23933e+10     0.300942    0.0565459     0.640143    0.0565459     0.640143
          260            1  6.97686e+09     0.366324    0.0780997     0.720407    0.0780998     0.720407
          260            5  3.48843e+10     0.356003    0.0720719     0.693833    0.0720719     0.693833
          260           10  6.97686e+10     0.344075    0.0668166     0.670775    0.0668166     0.670775
          270            1  6.73594e+09     0.391635    0.0924181     0.755321    0.0924184     0.755321
          270            5  3.36797e+10     0.368035    0.0789965     0.711164    0.0789965     0.711164
          270           10  6.73594e+10     0.346853     0.071041     0.685563     0.071041     0.685563
          280            1  6.51405e+09     0.385279    0.0875686     0.752391    0.0875691     0.752391
          280            5  3.25702e+10     0.378786    0.0828768     0.733951    0.0828769     0.733951
          280           10  6.51405e+10     0.370784    0.0782642     0.715819    0.0782643     0.715819
          290            1  6.30905e+09     0.392641    0.0976447     0.778833    0.0976455     0.778833
          290            5  3.15453e+10     0.385997    0.0918246     0.758763    0.0918248     0.758763
          290           10  6.30905e+10     0.377776    0.0862491     0.739582    0.0862491     0.739582
          300            1  6.11911e+09     0.380527     0.085588     0.755779     0.085588     0.755779
          300            5  3.05955e+10     0.377539     0.083321     0.746623    0.0833212     0.746623
          300           10  6.11911e+10       0.3738    0.0807958     0.736376     0.080796     0.736376
          310            1  5.94261e+09     0.469437     0.122773     0.818893     0.122774     0.818893
          310            5   2.9713e+10     0.460843     0.113755      0.79616     0.113755      0.79616
          310           10  5.94261e+10     0.449403     0.105551       0.7757     0.105551       0.7757
          320            1  5.77817e+09     0.468443     0.123608     0.823252     0.123609     0.823252
          320            5  2.88908e+10     0.463177     0.117491     0.807735     0.117491     0.807735
          320           10  5.77817e+10     0.456227     0.111258     0.791911     0.111258     0.791911
          330            1  5.62457e+09     0.485857     0.134998     0.828031     0.134999     0.828031
          330            5  2.81228e+10     0.429409     0.107577     0.792904     0.107577     0.792904
          330           10  5.62457e+10      0.40963    0.0995991     0.781148    0.0995992     0.781148
          340            1  5.48076e+09     0.483585     0.133599      0.84162     0.133599      0.84162
          340            5  2.74038e+10     0.480127     0.128624     0.830309     0.128624     0.830309
          340           10  5.48076e+10     0.475556     0.123257     0.818048     0.123257     0.818048
          350            1  5.34581e+09     0.362579     0.110266     0.832099     0.110266     0.832099
          350            5  2.67291e+10     0.361295     0.108291     0.826231     0.108292     0.826231
          350           10  5.34581e+10     0.359681     0.106002     0.819379     0.106002     0.819379
          360            1  5.21891e+09     0.497531     0.146624     0.862533     0.146624     0.862533
          360            5  2.60945e+10     0.494751     0.141649     0.852711     0.141649     0.852711
          360           10  5.21891e+10     0.491056     0.136192     0.841873     0.136192     0.841873
          370            1  5.09932e+09     0.479019     0.170907     0.891438     0.170907     0.891438
          370            5  2.54966e+10       0.4757     0.160784      0.87544     0.160784      0.87544
          370           10  5.09932e+10     0.471121     0.150816     0.859784     0.150816     0.859784
          380            1  4.98641e+09     0.486292      0.13539     0.851501     0.135391     0.851501
          380            5  2.49321e+10     0.478505      0.13061     0.846531     0.130611     0.846531
          380           10  4.98641e+10     0.476114     0.128076     0.841536     0.128076     0.841536
          390            1  4.87962e+09     0.486225      0.13823     0.860569      0.13823     0.860569
          390            5  2.43981e+10     0.485121       0.1364     0.856738       0.1364     0.856738
          390           10  4.87962e+10      0.48371     0.134222     0.852146     0.134222     0.852146
          400            1  4.77844e+09     0.460791     0.175914     0.904435     0.175914     0.904435
          400            5  2.38922e+10     0.459538      0.17089     0.896866      0.17089     0.896866
          400           10  4.77844e+10     0.457901     0.165225     0.888244     0.165225     0.888244
          410            1  4.68243e+09     0.405319     0.179617     0.920563     0.179618     0.920563
          410            5  2.34121e+10     0.404216     0.173215     0.911403     0.173215     0.911403
          410           10  4.68243e+10     0.402801     0.166259     0.901355     0.166259     0.901355
          420            1  4.59116e+09     0.490714     0.170045     0.898901     0.170045     0.898901
          420            5  2.29558e+10     0.489904     0.167457     0.894914     0.167457     0.894914
          420           10  4.59116e+10     0.488862     0.164387      0.89014     0.164387      0.89014
          430            1   4.5043e+09     0.692772     0.246772     0.933079     0.246772     0.933079
          430            5  2.25215e+10     0.691484     0.232858      0.92093     0.232858      0.92093
          430           10   4.5043e+10     0.689052     0.218383     0.908332     0.218383     0.908332
          440            1   4.4215e+09      0.41651     0.181233     0.923878     0.181233     0.923878
          440            5  2.21075e+10     0.415993     0.178191     0.919693     0.178191     0.919693
          440           10   4.4215e+10     0.415335     0.174604     0.914698     0.174604     0.914698
          450            1  4.34248e+09     0.432385     0.183222      0.92335     0.183222      0.92335
          450            5  2.17124e+10     0.431967     0.180779     0.920074     0.180779     0.920074
          450           10  4.34248e+10     0.431435     0.177859     0.916116     0.177859     0.916116
          460            1  4.26697e+09     0.418845     0.181908     0.926276     0.181909     0.926276
          460            5  2.13349e+10     0.418515     0.179863      0.92354     0.179863      0.92354
          460           10  4.26697e+10     0.418098     0.177401     0.920211     0.177401     0.920211
          470            1  4.19473e+09     0.790193     0.280094     0.949999     0.280095     0.949999
          470            5  2.09737e+10     0.790087     0.269012     0.942263     0.269012     0.942263
          470           10  4.19473e+10      0.78988     0.256508     0.933425     0.256508     0.933425
          480            1  4.12555e+09     0.475142     0.179942     0.917955     0.179942     0.917955
          480            5  2.06277e+10     0.474858     0.178727     0.916334     0.178727     0.916334
          480           10  4.12555e+10     0.474498      0.17724     0.914339      0.17724     0.914339
          490            1  4.05921e+09     0.992839     0.286703     0.952987     0.286704     0.952987
          490            5  2.02961e+10     0.554616     0.226016      0.92677     0.226017      0.92677
          490           10  4.05921e+10     0.511501     0.204463     0.920286     0.204463     0.920286
          500            1  3.99555e+09      0.88647     0.300756      0.96004     0.300757      0.96004
          500            5  1.99778e+10     0.886444     0.291248     0.954293     0.291249     0.954293
          500           10  3.99555e+10     0.886389     0.280122     0.947433     0.280122     0.947433
          510            1   3.9344e+09     0.685578     0.248157     0.943113     0.248157     0.943113
          510            5   1.9672e+10     0.685385     0.245638     0.941096     0.245638     0.941096
          510           10   3.9344e+10     0.685129     0.242567     0.938608     0.242567     0.938608
          520            1  3.87559e+09     0.806885     0.285786     0.956615     0.285787     0.956615
          520            5   1.9378e+10      0.80687      0.28137     0.953799      0.28137     0.953799
          520           10  3.87559e+10     0.806846     0.276016     0.950325     0.276016     0.950325
          530            1  3.81901e+09      1.04221     0.312604     0.968008     0.312605     0.968008
          530            5   1.9095e+10      1.04175     0.305346      0.96404     0.305347      0.96404
          530           10  3.81901e+10      1.04067     0.296585     0.959129     0.296585     0.959129
          540            1   3.7645e+09     0.854946     0.295338     0.961229     0.295338     0.961229
          540            5  1.88225e+10     0.854946     0.291579     0.959006     0.291579     0.959006
          540           10   3.7645e+10     0.854946      0.28698     0.956242      0.28698     0.956242
          550            1  3.71197e+09     0.797984     0.286784     0.958958     0.286784     0.958958
          550            5  1.85598e+10     0.797968     0.284011     0.957271     0.284011     0.957271
          550           10  3.71197e+10     0.797945     0.280606     0.955171     0.280606     0.955171
          560            1  3.66129e+09       1.3156     0.312083     0.975828     0.312083     0.975828
          560            5  1.83064e+10      1.31378     0.306402      0.97289     0.306403      0.97289
          560           10  3.66129e+10      1.30578     0.299405     0.969159     0.299405     0.969159
          570            1  3.61237e+09     0.847656     0.296035     0.963152     0.296035     0.963152
          570            5  1.80618e+10     0.847656     0.293622     0.961787     0.293622     0.961787
          570           10  3.61237e+10     0.847656     0.290645     0.960082     0.290645     0.960082
          580            1  3.56511e+09     0.884165     0.301281     0.965582     0.301282     0.965582
          580            5  1.78255e+10     0.884161     0.298998      0.96434     0.298998      0.96434
          580           10  3.56511e+10     0.884155     0.296175     0.962784     0.296175     0.962784
          590            1  3.51942e+09      1.73332     0.276202     0.980714     0.276203     0.980714
          590            5  1.75971e+10      1.73028     0.273375     0.979084     0.273375     0.979084
          590           10  3.51942e+10      1.69279      0.26985     0.976996      0.26985     0.976996
          600            1  3.47524e+09     0.996468     0.314095      0.97123     0.314095      0.97123
          600            5  1.73762e+10     0.996405     0.311907     0.970146     0.311907     0.970146
          600           10  3.47524e+10     0.996315     0.309192     0.968782     0.309192     0.968782
          610            1  3.43247e+09       1.2715     0.316271     0.977637     0.316272     0.977637
          610            5  1.71623e+10      1.27104     0.313807     0.976476     0.313807     0.976476
          610           10  3.43247e+10      1.27025     0.310738     0.975003     0.310738     0.975003
          620            1  3.39105e+09      1.48763     0.307206     0.980848     0.307207     0.980848
          620            5  1.69552e+10      1.48674     0.304944      0.97977     0.304944      0.97977
          620           10  3.39105e+10      1.48489     0.302115     0.978393     0.302115     0.978393
          630            1  3.35091e+09      8.51949     0.540561      0.98747     0.540562      0.98747
          630            5  1.67545e+10      2.05927     0.517014     0.982685     0.517014     0.982685
          630           10  3.35091e+10        1.279     0.485931     0.976149     0.485931     0.976149
          640            1    3.312e+09      2.24641     0.237398     0.986319     0.237399     0.986319
          640            5    1.656e+10      2.24337     0.236244     0.985583     0.236244     0.985583
          640           10    3.312e+10      2.04832     0.234792     0.984638     0.234792     0.984638
          650            1  3.27425e+09      2.68792     0.183904     0.987352     0.183905     0.987352
          650            5  1.63712e+10      2.68455      0.18338     0.986889      0.18338     0.986889
          650           10  3.27425e+10      2.07799     0.182723       0.9863     0.182723       0.9863
          660            1  3.23761e+09      1.30635     0.319652     0.980316     0.319652     0.980316
          660            5   1.6188e+10      1.30609     0.318311     0.979736     0.318311     0.979736
          660           10  3.23761e+10      1.30571     0.316636     0.979002     0.316636     0.979002
          670            1  3.20203e+09      0.97546     0.316913     0.974306     0.316914     0.974306
          670            5  1.60102e+10      0.97544     0.315894     0.973853     0.315894     0.973853
          670           10  3.20203e+10     0.975414     0.314624     0.973284     0.314624     0.973284
          680            1  3.16747e+09      23.8647      0.54101     0.988918     0.541011     0.988918
          680            5  1.58373e+10      5.11365     0.533304     0.987493     0.533304     0.987493
          680           10  3.16747e+10      2.77826      0.52326     0.985557      0.52326     0.985557
          690            1  3.13387e+09      1.14798     0.324171     0.979104     0.324172     0.979104
          690            5  1.56694e+10      1.14789     0.323209     0.978708     0.323209     0.978708
          690           10  3.13387e+10      1.14778     0.322008     0.978209     0.322008     0.978209
          700            1   3.1012e+09      33.5258     0.534348     0.989081      0.53435     0.989081
          700            5   1.5506e+10      7.04508     0.528983     0.988102     0.528983     0.988102
          700           10   3.1012e+10      3.74072     0.522074     0.986799     0.522074     0.986799
          800            1  2.81775e+09      22.4652     0.791679     0.995708      0.79168     0.995708
          800            5  1.40888e+10      4.83904     0.782179     0.994877     0.782179     0.994877
          800           10  2.81775e+10        2.648     0.768355     0.993582     0.768355     0.993582
          900            1  2.59443e+09      154.483     0.588537     0.993496     0.588539     0.993496
          900            5  1.29722e+10      31.2523     0.587388     0.993361     0.587388     0.993361
          900           10  2.59443e+10      15.8497     0.585938     0.993189     0.585938     0.993189
         1000            1  2.41308e+09      12.4574      1.85342     0.999463      1.85342     0.999463
         1000            5  1.20654e+10       2.7842      1.82025     0.998497      1.82025     0.998497
         1000           10  2.41308e+10      1.93959       1.4514     0.991699       1.4514     0.991699
         1100            1  2.26219e+09      351.206     0.686423     0.996338     0.686423     0.996338
         1100            5  1.13109e+10      70.6106     0.685903       0.9963     0.685903       0.9963
