*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1000           10  2.41308e+10    0.0275601   8.8618e-05    0.0034063
         1005           10  2.40488e+10    0.0258344  6.62189e-05   0.00258041
         1010           10  2.39677e+10    0.0277523  9.26441e-05   0.00357673
         1015           10  2.38872e+10    0.0274999  9.10281e-05   0.00352554
         1020           10  2.38075e+10    0.0256243  6.79027e-05    0.0026741
         1025           10  2.37285e+10    0.0254702  6.62937e-05   0.00262244
         1030           10  2.36502e+10    0.0273071  9.19492e-05   0.00359947
         1035           10  2.35725e+10    0.0271557  9.05856e-05   0.00356959
         1040           10  2.34956e+10    0.0253029  6.78631e-05   0.00271426
         1045           10  2.34193e+10     0.025161  6.61715e-05   0.00266522
         1050           10  2.33437e+10    0.0271687  9.30973e-05   0.00369518
         1055           10  2.32687e+10      0.02681  9.11858e-05   0.00363335
         1060           10  2.31944e+10    0.0250047  6.82665e-05   0.00277059
         1065           10  2.31207e+10    0.0248023  6.65621e-05   0.00271135
         1070           10  2.30476e+10    0.0267961   9.3178e-05   0.00375625
         1075           10  2.29752e+10    0.0265934  9.18574e-05   0.00371781
         1080           10  2.29033e+10    0.0247809  6.85191e-05   0.00281741
         1085           10  2.28321e+10    0.0246485  6.84058e-05   0.00282578
         1090           10  2.27614e+10    0.0265038  9.41204e-05      0.00385
         1095           10  2.26914e+10    0.0261777  9.18097e-05   0.00376249
         1100           10  2.26219e+10     0.024604  7.01273e-05   0.00292825
         1105           10  2.25529e+10    0.0242962  6.91632e-05   0.00290574
         1110           10  2.24845e+10    0.0261466  9.44042e-05   0.00390137
         1115           10  2.24167e+10    0.0244543  7.23904e-05   0.00304982
         1120           10  2.23494e+10    0.0242724  7.02242e-05   0.00297772
         1125           10  2.22827e+10    0.0260624  9.78586e-05   0.00405767
         1130           10  2.22165e+10    0.0260159  9.38351e-05   0.00394383
         1135           10  2.21508e+10    0.0241149  7.25539e-05    0.0030973
         1140           10  2.20856e+10    0.0239556  7.27102e-05   0.00312693
         1145           10  2.20209e+10    0.0259315  9.79953e-05   0.00414639
         1150           10  2.19568e+10    0.0256887  9.84732e-05   0.00416633
         1155           10  2.18931e+10    0.0240638  7.36741e-05   0.00320115
         1160           10  2.18299e+10    0.0236418  7.31517e-05   0.00316938
         1165           10  2.17672e+10    0.0256213  9.94708e-05   0.00425976
         1170           10   2.1705e+10     0.025434  9.88174e-05   0.00426077
         1175           10  2.16433e+10    0.0237357  7.67392e-05   0.00335809
         1180           10   2.1582e+10     0.023491  7.46693e-05   0.00328744
         1185           10  2.15212e+10    0.0253535  0.000100962    0.0043969
         1190           10  2.14608e+10    0.0251856   9.9597e-05   0.00435349
         1195           10  2.14009e+10    0.0234767  7.72853e-05   0.00342865
         1200           10  2.13414e+10    0.0232638  7.70364e-05   0.00343903
         1205           10  2.12824e+10     0.025071  0.000102131     0.004504
         1210           10  2.12237e+10    0.0233471    7.939e-05   0.00355771
         1215           10  2.11656e+10    0.0232064  7.91889e-05   0.00356431
         1220           10  2.11078e+10    0.0250458  0.000105977    0.0047061
         1225           10  2.10505e+10    0.0250106  0.000106539   0.00475139
         1230           10  2.09935e+10    0.0231118  8.07705e-05   0.00366679
         1235           10   2.0937e+10    0.0229523  8.06984e-05   0.00368575
         1240           10  2.08809e+10    0.0248412  0.000108184   0.00486069
         1245           10  2.08251e+10    0.0247194  0.000107654   0.00486069
         1250           10  2.07698e+10     0.022905  8.39932e-05   0.00385578
         1255           10  2.07149e+10    0.0229011  8.50157e-05   0.00392129
         1260           10  2.06603e+10    0.0246349  0.000110948   0.00505194
         1265           10  2.06061e+10    0.0244357   0.00010983   0.00503068
         1270           10  2.05523e+10    0.0229163  8.75061e-05   0.00407807
         1275           10  2.04988e+10    0.0226347  8.64242e-05   0.00403052
         1280           10  2.04458e+10     0.024332  0.000112494   0.00518879
         1285           10  2.03931e+10    0.0241893  0.000112078   0.00519726
         1290           10  2.03407e+10    0.0226178  8.86112e-05   0.00417836
         1295           10  2.02887e+10    0.0223741  8.88221e-05   0.00420262
         1300           10   2.0237e+10     0.024246  0.000117132   0.00545848
         1305           10  2.01857e+10    0.0240827  0.000116017   0.00542986
         1310           10  2.01348e+10    0.0223018  9.19841e-05   0.00437965
         1315           10  2.00841e+10    0.0241014  0.000119738   0.00563463
         1320           10  2.00338e+10    0.0241434   0.00012088   0.00570735
         1325           10  1.99839e+10    0.0223085  9.54316e-05   0.00459013
         1330           10  1.99342e+10    0.0221431  9.53911e-05   0.00460403
         1335           10  1.98849e+10    0.0240849  0.000125603   0.00597513
         1340           10  1.98359e+10    0.0239328  0.000123159   0.00589229
         1345           10  1.97872e+10    0.0223228   0.00010085   0.00490091
         1350           10  1.97389e+10    0.0221661   9.8977e-05   0.00483845
