*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1465           10  1.87057e+10    0.0211369  0.000124204   0.00648051
         1470           10   1.8664e+10    0.0227818  0.000152913    0.0078389
         1475           10  1.86224e+10    0.0227598  0.000154575   0.00793605
         1480           10  1.85812e+10    0.0211018  0.000127581   0.00671453
         1485           10  1.85401e+10    0.0209368  0.000128256    0.0067485
         1490           10  1.84993e+10    0.0229448  0.000164206   0.00847585
         1495           10  1.84588e+10    0.0231011  0.000167908   0.00868661
         1500           10  1.84184e+10    0.0211515   0.00013821   0.00730066
         1505           10  1.83783e+10     0.021216  0.000139772   0.00740738
         1510           10  1.83384e+10    0.0231315  0.000171879   0.00895311
         1515           10  1.82988e+10    0.0212456  0.000144533   0.00769818
         1520           10  1.82593e+10    0.0215236   0.00014965   0.00797306
         1525           10  1.82201e+10    0.0229853  0.000177557   0.00932031
         1530           10  1.81811e+10    0.0227517  0.000174553   0.00922382
         1535           10  1.81424e+10    0.0214327  0.000153255   0.00824316
         1540           10  1.81038e+10    0.0212267  0.000151625   0.00820059
         1545           10  1.80654e+10    0.0225198  0.000178655   0.00950085
         1550           10  1.80273e+10    0.0222614  0.000179358   0.00959983
         1555           10  1.79894e+10    0.0209019   0.00015436   0.00842326
         1560           10  1.79516e+10    0.0207471  0.000152732   0.00836697
         1565           10  1.79141e+10    0.0221114  0.000186124    0.0100084
         1570           10  1.78768e+10    0.0219897  0.000187869    0.0101561
         1575           10  1.78397e+10    0.0204502  0.000162895   0.00896501
         1580           10  1.78027e+10    0.0203944  0.000166064   0.00917018
         1585           10   1.7766e+10    0.0222951  0.000205611     0.011113
         1590           10  1.77295e+10     0.022636  0.000211021    0.0113834
         1595           10  1.76932e+10    0.0207982  0.000182007    0.0100423
         1600           10   1.7657e+10    0.0211875  0.000188297    0.0103803
         1605           10  1.76211e+10    0.0227956   0.00021821    0.0118547
         1610           10  1.75853e+10    0.0226789  0.000214515    0.0117225
         1615           10  1.75497e+10     0.021354  0.000195718    0.0108389
         1620           10  1.75144e+10    0.0227247  0.000219582    0.0120136
         1625           10  1.74792e+10    0.0225162  0.000216968    0.0119435
         1630           10  1.74441e+10    0.0213078  0.000196751     0.010998
         1635           10  1.74093e+10    0.0211326  0.000193611    0.0108907
         1640           10  1.73746e+10    0.0223865  0.000220186    0.0122406
         1645           10  1.73401e+10    0.0222453  0.000220396    0.0123527
         1650           10  1.73058e+10     0.020961  0.000197218    0.0112021
         1655           10  1.72717e+10    0.0208073  0.000196812    0.0112515
         1660           10  1.72377e+10    0.0221174  0.000230287    0.0130061
         1665           10   1.7204e+10    0.0220655  0.000238611     0.013518
         1670           10  1.71703e+10    0.0208205  0.000210258    0.0120848
         1675           10  1.71369e+10     0.020427  0.000214971    0.0124576
         1680           10  1.71036e+10     0.022877   0.00027279    0.0153773
         1685           10  1.70705e+10    0.0225146  0.000270165    0.0153204
         1690           10  1.70376e+10    0.0216133  0.000251551     0.014447
         1695           10  1.70048e+10    0.0210973  0.000253241    0.0146835
         1700           10  1.69722e+10    0.0226304  0.000285141    0.0161779
         1705           10  1.69397e+10    0.0225178  0.000278821    0.0158848
         1710           10  1.69074e+10    0.0212896  0.000261196    0.0151154
         1715           10  1.68752e+10    0.0211024  0.000258486    0.0150587
         1720           10  1.68433e+10    0.0224827  0.000280519    0.0161909
         1725           10  1.68114e+10     0.021101  0.000263879    0.0153834
         1730           10  1.67798e+10    0.0211509  0.000258545    0.0152049
         1735           10  1.67482e+10    0.0223038  0.000283965    0.0164806
         1740           10  1.67169e+10    0.0222589  0.000281998    0.0163595
         1745           10  1.66856e+10    0.0209751  0.000261259    0.0154725
         1750           10  1.66546e+10    0.0209016  0.000260272    0.0154404
         1755           10  1.66237e+10    0.0223753  0.000294157     0.017137
         1760           10  1.65929e+10    0.0225018  0.000303141    0.0176039
         1765           10  1.65623e+10    0.0212281  0.000277739    0.0164882
         1770           10  1.65318e+10    0.0217516  0.000296158    0.0174335
         1775           10  1.65014e+10    0.0233098  0.000337085    0.0194922
         1780           10  1.64712e+10    0.0233796  0.000349174    0.0201078
         1785           10  1.64412e+10    0.0226282  0.000333971    0.0195172
         1790           10  1.64113e+10    0.0222321  0.000340512    0.0199074
         1795           10  1.63815e+10    0.0231517  0.000368238    0.0213192
         1800           10  1.63519e+10    0.0226629  0.000369806    0.0215881
         1805           10  1.63224e+10     0.021817  0.000357754    0.0211117
         1810           10   1.6293e+10    0.0214919  0.000356082    0.0211332
         1815           10  1.62638e+10    0.0224025  0.000376885    0.0221782
         1820           10  1.62347e+10    0.0215769  0.000363122    0.0216067
         1825           10  1.62057e+10     0.021329  0.000359534    0.0215103
         1830           10  1.61769e+10    0.0222914  0.000379487     0.022535
         1835           10  1.61482e+10    0.0221623   0.00037455    0.0224139
         1840           10  1.61196e+10    0.0211794  0.000363125    0.0219898
         1845           10  1.60912e+10    0.0211196  0.000357106    0.0217604
         1850           10  1.60629e+10    0.0223188  0.000385159    0.0231281
         1855           10  1.60347e+10    0.0224799  0.000388464    0.0234651
         1860           10  1.60067e+10    0.0222211  0.000394447    0.0238058
         1865           10  1.59787e+10     0.023071  0.000415787    0.0249504
         1870           10  1.59509e+10    0.0240607  0.000444536    0.0263039
         1875           10  1.59232e+10    0.0243473  0.000454874    0.0269554
         1880           10  1.58957e+10    0.0235702  0.000444032    0.0265331
         1885           10  1.58682e+10    0.0238145  0.000456193    0.0272581
         1890           10  1.58409e+10    0.0243706  0.000476158    0.0282601
         1895           10  1.58137e+10    0.0241678  0.000485917    0.0288802
         1900           10  1.57867e+10    0.0237166  0.000478744    0.0285922
         1905           10  1.57597e+10     0.023497  0.000480942     0.028874
         1910           10  1.57329e+10    0.0240848  0.000495288    0.0296407
         1915           10  1.57062e+10    0.0236941  0.000500203    0.0300444
