*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.237306    0.0371182     0.538371    0.0478568     0.594088
          210            1   8.5712e+09     0.269493    0.0440714     0.577166    0.0546948     0.628083
          220            1  8.18776e+09     0.275735    0.0463653      0.59332    0.0570451     0.641636
          230            1  7.84104e+09     0.305465    0.0575363     0.645671    0.0724721     0.694845
          240            1  7.52624e+09     0.289602    0.0519519      0.63015     0.063321     0.675131
          250            1  7.23933e+09     0.313762    0.0629396     0.677013    0.0785529     0.719359
          260            1  6.97686e+09     0.366324    0.0780997     0.720407    0.0950256     0.761768
          270            1  6.73594e+09     0.391635    0.0924181     0.755321     0.116067      0.79461
          280            1  6.51405e+09     0.385279    0.0875686     0.752391     0.104549     0.789068
          290            1  6.30905e+09     0.392641    0.0976447     0.778833     0.122204     0.813555
          300            1  6.11911e+09     0.380527     0.085588     0.755779     0.100646     0.789317
          310            1  5.94261e+09     0.469437     0.122774     0.818893     0.145183     0.847977
          320            1  5.77817e+09     0.468443     0.123608     0.823252     0.145401     0.851153
          330            1  5.62457e+09     0.465538     0.134998     0.828031     0.157679     0.862126
          340            1  5.48076e+09     0.483585     0.133599      0.84162     0.154879     0.866371
          350            1  5.34581e+09      0.36258     0.110266     0.832099     0.139539     0.853181
          360            1  5.21891e+09     0.497531     0.146624     0.862533     0.169361     0.886097
          370            1  5.09932e+09     0.397843     0.170907     0.891438      0.17537     0.912869
          380            1  4.98641e+09     0.486292      0.13539     0.851501      0.15545     0.872156
          390            1  4.87962e+09     0.486225      0.13823     0.860569     0.156956     0.880226
          400            1  4.77844e+09     0.341539     0.164835     0.922759     0.175914     0.904435
          410            1  4.68243e+09     0.405319     0.179617     0.920563     0.258173     0.935363
          420            1  4.59116e+09     0.446724     0.170045     0.898901     0.181404     0.915617
          430            1   4.5043e+09     0.692772     0.246772     0.933079     0.282086     0.946895
          440            1   4.4215e+09      0.41651     0.181233     0.923878     0.249754     0.936751
          450            1  4.34248e+09     0.432385     0.183222      0.92335     0.245688     0.936085
          460            1  4.26697e+09     0.418845     0.181909     0.926276     0.248334     0.938396
          470            1  4.19473e+09     0.790193     0.280095     0.949999     0.308303     0.961105
          480            1  4.12555e+09      0.40344     0.179942     0.917955     0.180843     0.931062
          490            1  4.05921e+09      0.99284      0.28493     0.968794     0.286703     0.952987
          500            1  3.99555e+09      0.88647     0.300756      0.96004     0.314636     0.969883
          510            1   3.9344e+09     0.685578     0.248157     0.943113     0.275422     0.952522
          520            1  3.87559e+09     0.806886     0.285786     0.956615     0.310409     0.965228
