    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    1.12545e+07              0              0    1.18408e-32
              1    5.61241e+07              0    1.03535e+12    2.36436e-30
              2    1.80295e+08              0    3.89136e+12    1.42927e-28
              3    4.40019e+08              0    9.41213e+12    5.34125e-27
              4    9.44479e+08              0    1.81578e+13    1.41049e-25
              5    1.81952e+09              0     3.1494e+13     2.9676e-24
              6    3.26056e+09              0    5.07602e+13    5.21118e-23
              7      5.519e+09              0     7.7859e+13    7.93166e-22
              8    8.92625e+09              0       1.15e+14    1.07298e-20
              9    1.39248e+10              0    1.64653e+14    1.31242e-19
             10    2.10286e+10              0    2.30328e+14     1.4753e-18
             11    3.09327e+10              0    3.15535e+14    1.53829e-17
             12    4.44296e+10              0    4.25084e+14    1.50247e-16
             13    6.25204e+10              0    5.64205e+14    1.38371e-15
             14    8.63899e+10              0    7.39212e+14    1.20865e-14
             15    1.17435e+11              0    9.57546e+14     1.0063e-13
             16    1.57341e+11              0    1.22757e+15    8.01708e-13
             17    2.08013e+11              0     1.5595e+15     6.1348e-12
             18    2.71729e+11              0    1.96462e+15    4.52201e-11
             19    3.51065e+11              0    2.45634e+15    3.21962e-10
             20    4.49002e+11              0    3.04986e+15    2.21931e-09
             21    5.68951e+11              0    3.76252e+15    1.48408e-08
             22    7.14747e+11              0    4.61437e+15    9.64572e-08
             23    8.90784e+11              0    5.62785e+15    6.10299e-07
             24    1.10194e+12              0    6.82886e+15    3.76477e-06
             25    1.35375e+12              0    8.24641e+15    2.26721e-05
             26    1.65235e+12              0    9.91344e+15    0.000133454
             27    2.00457e+12              0    1.18671e+16    0.000768666
             28    2.41805e+12              0    1.41488e+16     0.00433651
             29    2.90116e+12              0    1.68056e+16      0.0239855
             30    3.46322e+12              0    1.98897e+16       0.130175
             31     4.1144e+12              0    2.34596e+16       0.693774
             32    4.86591e+12              0    2.75808e+16         3.6336
             33    5.73002e+12              0    3.23257e+16        18.7143
             34    6.72011e+12              0    3.77753e+16        94.8367
             35     7.8508e+12              0     4.4019e+16        473.011
             36    9.13794e+12              0    5.11564e+16        2319.57
             37    1.05988e+13              0     5.9297e+16        11098.3
             38     1.2252e+13              0    6.85622e+16        50034.2
             39    1.41178e+13              0    7.90858e+16         194532
             40    1.62179e+13              0    9.10148e+16         609559
             41    1.85758e+13              0    1.04511e+17    1.56876e+06
             42    2.12169e+13              0    1.19753e+17    3.45657e+06
             43    2.41683e+13              0    1.36934e+17    6.76079e+06
             44    2.74592e+13              0    1.56269e+17    1.20679e+07
             45    3.11207e+13              0    1.77991e+17      2.006e+07
             46    3.51862e+13              0    2.02356e+17    3.15045e+07
             47    3.96916e+13              0     2.2964e+17    4.72364e+07
             48    4.46748e+13              0    2.60148e+17     6.8139e+07
             49    5.01766e+13              0    2.94211e+17     9.5127e+07
             50    5.62402e+13              0    3.32188e+17    1.29136e+08
             51    6.29115e+13              0    3.74469e+17     1.7111e+08
             52    7.02395e+13              0    4.21478e+17    2.21986e+08
             53     7.8276e+13              0    4.73675e+17    2.82686e+08
             54    8.70762e+13              0    5.28228e+17      3.541e+08
             55    9.66981e+13              0    5.74769e+17    4.37084e+08
             56    1.07203e+14              0    6.10816e+17    5.32453e+08
             57    1.18658e+14              0    6.84893e+17    6.40976e+08
             58    1.31129e+14              0    7.11484e+17    7.63369e+08
             59    1.44691e+14              0    7.93954e+17    9.00296e+08
             60     1.5942e+14              0     8.1795e+17    1.05236e+09
             61    1.75397e+14              0    8.67501e+17    1.22012e+09
             62    1.92706e+14              0    9.20019e+17    1.40405e+09
             63    2.11438e+14              0    9.92819e+17    1.60461e+09
             64    2.31687e+14              0    1.02375e+18    1.82216e+09
             65    2.53551e+14              0    1.03714e+18    2.05703e+09
             66    2.77134e+14              0    1.15552e+18    2.30949e+09
             67    3.02545e+14              0     1.1026e+18    2.57977e+09
             68    3.29899e+14              0     1.1405e+18    2.86803e+09
             69    3.59315e+14              0    1.18559e+18    3.17439e+09
             70    3.90918e+14              0    1.18308e+18    3.49895e+09
             71    4.24841e+14              0    1.23646e+18    3.84173e+09
             72    4.61219e+14              0    1.22861e+18    4.20274e+09
             73    5.00197e+14              0    1.27326e+18    4.58194e+09
             74    5.41924e+14              0    1.28868e+18    4.97926e+09
             75    5.86557e+14              0    1.27231e+18    5.39459e+09
             76     6.3426e+14              0    1.37161e+18     5.8278e+09
             77    6.85202e+14              0     1.3043e+18    6.27875e+09
             78    7.39562e+14              0    1.32129e+18    6.74723e+09
             79    7.97524e+14              0    1.37338e+18    7.23305e+09
             80    8.59283e+14              0    1.33983e+18    7.73597e+09
             81    9.25038e+14              0    1.37088e+18    8.25577e+09
             82    9.94998e+14              0    1.36994e+18    8.79216e+09
             83    1.06938e+15              0    1.38644e+18    9.34489e+09
             84    1.14841e+15              0    1.36489e+18    9.91366e+09
             85    1.23233e+15              0    1.36854e+18    1.04982e+10
             86    1.32137e+15              0    1.39638e+18    1.10981e+10
             87     1.4158e+15              0     1.3446e+18    1.17132e+10
             88    1.51587e+15              0    1.37196e+18     1.2343e+10
             89    1.62186e+15              0    1.36794e+18    1.29873e+10
             90    1.73404e+15              0    1.34306e+18    1.36457e+10
             91    1.85273e+15              0    1.34974e+18    1.43179e+10
             92    1.97821e+15              0    1.34368e+18    1.50036e+10
             93     2.1108e+15              0    1.35589e+18    1.57023e+10
             94    2.25083e+15              0    1.32005e+18    1.64138e+10
             95    2.39864e+15              0    1.32456e+18    1.71376e+10
             96    2.55458e+15              0    1.33517e+18    1.78736e+10
             97    2.71901e+15              0    1.28775e+18    1.86212e+10
             98     2.8923e+15              0    1.31276e+18    1.93802e+10
             99    3.07484e+15              0    1.30232e+18    2.01502e+10
            100    3.26703e+15              0    1.27343e+18    2.09309e+10
    E, kcal/mol    D, mol/kcal         W2->W1         W2->P1         W2->P2
              0    1.39132e+07              0              0    2.20561e-32
              1    6.40206e+07              0     9.0765e+11    1.15096e-30
              2    1.99049e+08              0    3.52471e+12    2.43915e-29
              3    4.77688e+08              0    8.66992e+12    3.63914e-28
              4    1.01223e+09              0    1.69423e+13    4.19362e-27
              5    1.93533e+09              0    2.96094e+13    4.09001e-26
              6    3.44375e+09              0      4.806e+13    3.49703e-25
              7    5.80271e+09              0    7.40523e+13     2.6889e-24
              8    9.34587e+09              0    1.09837e+14    1.89712e-23
              9    1.45307e+10              0    1.57787e+14     1.2424e-22
             10    2.18813e+10              0    2.21352e+14    7.64914e-22
             11    3.21046e+10              0    3.04016e+14    4.45621e-21
             12    4.60155e+10              0    4.10433e+14    2.47442e-20
             13    6.46242e+10              0    5.45838e+14    1.31611e-19
             14    8.91473e+10              0    7.16347e+14    6.73294e-19
             15    1.20997e+11              0    9.29356e+14    3.32553e-18
             16    1.61889e+11              0    1.19309e+15    1.59021e-17
             17    2.13759e+11              0    1.51759e+15    7.38252e-17
             18    2.78912e+11              0    1.91403e+15    3.33447e-16
             19    3.59972e+11              0    2.39557e+15     1.4682e-15
             20    4.59946e+11              0    2.97729e+15    6.31285e-15
             21      5.823e+11              0    3.67626e+15    2.65448e-14
             22    7.30913e+11              0     4.5123e+15    1.09308e-13
             23    9.10232e+11              0     5.5076e+15     4.4131e-13
             24     1.1252e+12              0    6.68771e+15    1.74878e-12
             25    1.38139e+12              0    8.08138e+15     6.8084e-12
             26    1.68504e+12              0    9.72111e+15    2.60648e-11
             27    2.04303e+12              0    1.16437e+16     9.8202e-11
             28    2.46308e+12              0    1.38901e+16    3.64378e-10
             29    2.95366e+12              0    1.65069e+16    1.33245e-09
             30    3.52415e+12              0    1.95458e+16    4.80484e-09
             31    4.18484e+12              0    2.30647e+16    1.70958e-08
             32    4.94704e+12              0    2.71284e+16    6.00504e-08
             33    5.82313e+12              0    3.18088e+16    2.08337e-07
             34     6.8266e+12              0     3.7186e+16     7.1424e-07
             35     7.9722e+12              0    4.33487e+16    2.42065e-06
             36    9.27591e+12              0    5.03955e+16    8.11344e-06
             37    1.07551e+13              0     5.8435e+16    2.69045e-05
             38    1.24287e+13              0    6.75876e+16     8.8297e-05
             39    1.43168e+13              0    7.79861e+16    0.000286887
             40    1.64417e+13              0     8.9776e+16    0.000923111
             41    1.88268e+13              0    1.03118e+17     0.00294241
             42    2.14977e+13              0    1.18189e+17     0.00929351
             43    2.44816e+13              0    1.35182e+17      0.0290936
             44    2.78081e+13              0    1.54308e+17      0.0902947
