========================================
ch3oh_B1_Energy_1_34.9759.out
0.1 atm
T,R->W1
1100.0,5.12849e-12
1200.0,3.56168e-12
1300.0,2.48691e-12
1400.0,1.74696e-12
1500.0,1.23488e-12
1600.0,8.78551e-13
1700.0,6.27524e-13
1800.0,4.51431e-13
1900.0,3.26343e-13
2000.0,2.3729e-13
2100.0,1.73279e-13
2200.0,1.27663e-13
2300.0,9.41254e-14
2400.0,7.0079e-14
========================================
ch3oh_B5_Energy_1_34.9759.out
1.0 atm
T,R->W1
200.0,9.87413e-11
210.0,9.7979e-11
220.0,9.72314e-11
230.0,9.64988e-11
240.0,9.57976e-11
250.0,9.50846e-11
260.0,9.44173e-11
270.0,9.37356e-11
280.0,9.30708e-11
290.0,9.23968e-11
300.0,9.16926e-11
310.0,9.10066e-11
320.0,9.03309e-11
330.0,8.96444e-11
340.0,8.89022e-11
350.0,8.81801e-11
360.0,8.74242e-11
370.0,8.66747e-11
380.0,8.58708e-11
390.0,8.50595e-11
400.0,8.42495e-11
410.0,8.34024e-11
420.0,8.2538e-11
430.0,8.16238e-11
440.0,8.07225e-11
450.0,7.97798e-11
460.0,7.88265e-11
470.0,7.78558e-11
480.0,7.68457e-11
490.0,7.58376e-11
500.0,7.48109e-11
510.0,7.37613e-11
520.0,7.26936e-11
530.0,7.16238e-11
540.0,7.05431e-11
550.0,6.94486e-11
560.0,6.83444e-11
570.0,6.72308e-11
580.0,6.61058e-11
590.0,6.49752e-11
600.0,6.38448e-11
610.0,6.27125e-11
620.0,6.15787e-11
630.0,6.04445e-11
640.0,5.93124e-11
650.0,5.81825e-11
660.0,5.70541e-11
670.0,5.59287e-11
680.0,5.48131e-11
690.0,5.3704e-11
700.0,5.26019e-11
800.0,4.21423e-11
900.0,3.30592e-11
1000.0,2.55445e-11
1100.0,1.95261e-11
1200.0,1.4817e-11
1300.0,1.11889e-11
1400.0,8.42607e-12
1500.0,6.33643e-12
1600.0,4.76361e-12
1700.0,3.58251e-12
1800.0,2.69689e-12
1900.0,2.03356e-12
2000.0,1.53611e-12
2100.0,1.16293e-12
2200.0,8.83015e-13
2300.0,6.72316e-13
2400.0,5.1419e-13
========================================
ch3oh_B5_Energy_1_34.9759.out
3.0 atm
T,R->W1
200.0,9.89814e-11
210.0,9.82698e-11
220.0,9.75809e-11
230.0,9.69158e-11
240.0,9.62913e-11
250.0,9.56654e-11
260.0,9.50965e-11
270.0,9.45246e-11
280.0,9.39824e-11
290.0,9.34439e-11
300.0,9.28893e-11
310.0,9.23671e-11
320.0,9.18693e-11
330.0,9.13753e-11
340.0,9.08412e-11
350.0,9.03414e-11
360.0,8.98232e-11
370.0,8.9325e-11
380.0,8.87872e-11
390.0,8.82555e-11
400.0,8.7737e-11
410.0,8.71931e-11
420.0,8.6644e-11
430.0,8.60546e-11
440.0,8.54865e-11
450.0,8.48845e-11
460.0,8.42795e-11
470.0,8.36614e-11
480.0,8.30088e-11
490.0,8.23598e-11
500.0,8.16948e-11
510.0,8.10057e-11
520.0,8.02986e-11
530.0,7.95858e-11
540.0,7.88598e-11
550.0,7.81157e-11
560.0,7.73549e-11
570.0,7.65779e-11
580.0,7.57824e-11
590.0,7.49729e-11
600.0,7.41534e-11
610.0,7.33219e-11
620.0,7.24792e-11
630.0,7.16245e-11
640.0,7.0759e-11
650.0,6.98832e-11
660.0,6.89973e-11
670.0,6.81017e-11
680.0,6.72013e-11
690.0,6.62939e-11
700.0,6.53808e-11
800.0,5.60631e-11
900.0,4.69211e-11
1000.0,3.84983e-11
1100.0,3.10879e-11
1200.0,2.47964e-11
1300.0,1.95909e-11
1400.0,1.53708e-11
1500.0,1.19974e-11
1600.0,9.33057e-12
1700.0,7.23906e-12
1800.0,5.60708e-12
1900.0,4.34045e-12
2000.0,3.3591e-12
2100.0,2.60077e-12
2200.0,2.01576e-12
2300.0,1.56475e-12
2400.0,1.21782e-12
========================================
ch3oh_W1_Energy_1_34.9759.out
0.1 atm
T,R->W1
200.0,9.58049e-11
210.0,9.44966e-11
220.0,9.3142e-11
230.0,9.17431e-11
240.0,9.03197e-11
250.0,8.88292e-11
260.0,8.73302e-11
270.0,8.57711e-11
280.0,8.41827e-11
290.0,8.25501e-11
300.0,8.08533e-11
310.0,7.91482e-11
320.0,7.74368e-11
330.0,7.57029e-11
