Pressure (atm),Temperature (K),B7_Energy_1_P3->P4,B7_Energy_1_P3->P5,B7_Energy_1_P3->W3,B7_Energy_1_P4->P5,B7_Energy_1_P1->P3,B7_Energy_1_W3->P5,B7_Energy_1_W3->P4,B7_Energy_1_W3->P1,B7_Energy_1_W3->P3,B7_Energy_1_P5->W3,B7_Energy_1_P1->W3,B7_Energy_1_P4->W3,B7_Energy_1_P1->P4,B7_Energy_1_P1->P5
0.1,200.0,-2.713290002134868e-05,1.760932201036914e-07,6.614606206179271e-07,2.941335421966507e-07,-4.332025976608171e-08,4.145277837549709e-06,1.5915114523404289e-06,1.9670657903430811e-07,6.469142495602596e-07,-5.56361229600829e-06,1.839224845885596e-07,1.6079669782777302e-06,-1.313590751138747e-07,-2.008125128394494e-07
0.1,210.0,0.00030946822169807274,-2.0359995215635153e-06,-7.202243862220349e-06,-3.3342928043870692e-06,5.064441322175294e-07,-0.0028487292848024363,-1.7777317748826355e-05,-2.1705604215688393e-06,-7.0519675006660125e-06,-0.0028797104722428015,-1.9662642548589887e-06,-1.7967209858486507e-05,-5.699486602670253e-06,2.259717508777261e-06
0.1,220.0,-0.0012773309264973586,8.618865565548473e-06,2.7951215289213073e-05,1.364677063649534e-05,-2.178141810397871e-06,0.009244116593568419,7.147300620209821e-05,8.584247849216734e-06,2.7423984104434043e-05,0.0092449537941247,7.420070578433883e-06,7.22548208471169e-05,6.288234722536589e-05,-9.171569579267176e-06
0.1,230.0,0.002107102171143555,-1.5154200610514165e-05,-4.16780449057391e-05,-2.219657534448545e-05,3.904919286782131e-06,-0.01578684899386603,-0.00011318162289384698,-1.3228996061438671e-05,-4.1078446458043456e-05,-0.015786906850706175,-1.0441035914609325e-05,-0.00011441788247042974,-0.00021264472448412772,1.4722712746597767e-05
0.1,240.0,-0.0004472864071808175,1.405955369536961e-06,3.3104240230569817e-06,4.281295769613155e-06,-1.4445111807037006e-06,0.0025568426836012803,1.780593111999432e-05,1.616625940886991e-06,3.593396116194511e-06,0.0025878677167436954,-2.2246514398712223e-07,1.7896451744349416e-05,0.00021579077085110996,-2.4616335101690535e-06
0.1,250.0,-0.001649319067432015,8.90728064655662e-06,3.091752050423506e-05,1.723502962185962e-05,-2.8720161554379406e-06,0.014013414697033077,8.777681286284823e-05,1.0084391166206077e-05,3.0475995098030424e-05,0.014066241557076116,7.791875988407507e-06,8.884068468978861e-05,0.00014763710123803295,-1.1672495582049376e-05
0.1,260.0,-0.0003814447363604408,7.959091100442217e-07,1.3492912757946947e-05,4.566595121958607e-06,1.4328792319392625e-07,0.005141835415249764,2.731117523164659e-05,3.6849794820150067e-06,1.2890480093247631e-05,0.005191229304970786,4.65681609506e-06,2.7821543442836247e-05,-0.00016682862015961867,-4.315631207197234e-06
0.1,270.0,0.0010963857503097205,-7.871278989134147e-06,-1.3145089780320328e-05,-1.0766617099913704e-05,2.4783633156148454e-06,-0.008783908595684219,-5.156629187076445e-05,-5.243244000613681e-06,-1.3355090554596836e-05,-0.008752249735145528,-2.2469540743534888e-06,-5.210626915133898e-05,-0.0002587482559599632,5.337561258497147e-06
0.1,280.0,0.001390244300714943,-8.725957085538926e-06,-2.3890839220552375e-05,-1.439678060318021e-05,2.063603643652848e-06,-0.014311879740230049,-7.36623864914449e-05,-8.21113595819209e-06,-2.356350539029116e-05,-0.014297934471578464,-6.244787400065551e-06,-7.473454717947714e-05,-8.021900305989573e-05,8.000798854572351e-06
0.1,290.0,0.000617943358453351,-3.305469719661818e-06,-1.757893678815056e-05,-7.23378942244508e-06,9.81262700596606e-09,-0.009046500538461691,-3.9701944821662034e-05,-5.071055166815148e-06,-1.6893400773900356e-05,-0.009042939982103763,-5.856209871657369e-06,-4.0534521148244054e-05,0.00016352936068239995,3.852159204607779e-06
0.1,300.0,-0.00045302321158274524,3.2146736181289545e-06,-4.009347317236582e-06,3.1779915317358304e-06,-1.8186217187124933e-06,0.002089145830431,1.4019659369721537e-05,4.1278263602620863e-07,-3.2595063300331234e-06,0.0020901653851992017,-2.7201700940280317e-06,1.3909183173858751e-05,0.0002871332217474636,-2.7310125691511733e-06
0.1,310.0,-0.0011698478041779266,6.956476185852858e-06,7.97043368016293e-06,1.0292591605839115e-05,-2.347787615004517e-06,0.012629467448423614,5.4099513171477166e-05,4.7717695080809625e-06,8.520673091864166e-06,0.012632945385586637,1.0273997894492916e-06,5.47634400856407e-05,0.00023586572922750616,-7.8752576210977e-06
0.1,320.0,-0.0012751328014352342,6.801434711910888e-06,1.4804063038532496e-05,1.1352338373779257e-05,-1.5531592905981566e-06,0.01803757646923302,6.544663427625414e-05,6.4809047180622675e-06,1.4968720843626327e-05,0.01804516340971399,4.0418016533182734e-06,6.662105226562667e-05,6.326835861729807e-05,-9.941941917091108e-06
0.1,330.0,-0.0008532845109247764,3.7040757121300363e-06,1.7415832248876235e-05,6.877322951622378e-06,-5.321144431975123e-08,0.016650097793257598,4.993109559807976e-05,5.775264770796881e-06,1.7072366550560753e-05,0.016661012057637,5.92832238988075e-06,5.122765985693528e-05,-0.00013554063019539833,-9.239369312575073e-06
0.1,340.0,-0.00015991949826096735,-5.847657156545148e-07,1.8722877048164855e-05,-9.746744420075998e-07,1.3959290765384936e-06,0.009149545847558388,1.8669123891157397e-05,3.798837332667886e-06,1.7776916785325855e-05,0.009161814763420487,6.902228291136428e-06,1.9736721246905856e-05,-0.0002787027805805815,-7.051313780228372e-06
0.1,350.0,0.0005324914460062381,-4.526270024666042e-06,2.1511137374788907e-05,-9.876024772858942e-06,2.2381665486402843e-06,-0.002452234313749281,-1.541320283280952e-05,1.8122701119578466e-06,1.9867143777586033e-05,-0.002440765431527774,7.392094189670979e-06,-1.4795461963517763e-05,-0.00032350578804253056,-4.773713643015673e-06
0.1,360.0,0.0010255879648500767,-7.293736690464265e-06,2.7322853254515505e-05,-1.8181341870698723e-05,2.2443153457755657e-06,-0.015749428221742297,-4.2218569077167206e-05,7.222948367966695e-07,2.48709579521235e-05,-0.015740484455650437,7.772338143556181e-06,-4.211378935052586e-05,-0.00026789625614653925,-3.4229494583424e-06
0.1,370.0,0.0012251129059999174,-8.846926342619295e-06,3.624317238870788e-05,-2.5200988003317857e-05,1.4862439935443486e-06,-0.028578529610743295,-5.6254037794990025e-05,9.261950854784708e-07,3.286160471830215e-05,-0.02857315291195948,8.248909161705652e-06,-5.6585280854907366e-05,-0.00013865534803752743,-3.4879242153913258e-06
0.1,380.0,0.0011305987150637496,-9.75892463247973e-06,4.722593957829202e-05,-3.1101534084809364e-05,2.3584952844079176e-07,-0.03934271482689044,-5.643287734439985e-05,2.364762224225425e-06,4.279359551314346e-05,-0.039341257579906565,8.854870041372654e-06,-5.7024231098061364e-05,2.411617967210451e-05,-4.999277877909502e-06
0.1,390.0,0.0008061926109009977,-1.0954681661157855e-05,5.862054609598921e-05,-3.663849068303589e-05,-1.1507343722325662e-06,-0.0470980570581998,-4.488813930107551e-05,4.671942907509912e-06,5.303346207606104e-05,-0.047100310776067106,9.50177389337234e-06,-4.551193978737809e-05,0.00018033444693051396,-7.692057643183668e-06
0.1,400.0,0.00034810181300641796,-1.3464340882116197e-05,6.867558815363943e-05,-4.286481966515625e-05,-2.3288985962457012e-06,-0.051492380545022455,-2.5534044504951675e-05,7.34064926849167e-06,6.18623539189755e-05,-0.05149775467222458,1.0045471245746728e-05,-2.595343402131372e-05,0.0002986770191503879,-1.1177104250137489e-05
0.1,410.0,-0.0001426856586616793,-1.8240778121496847e-05,7.590957953721853e-05,-5.08920439401457e-05,-3.027818090181575e-06,-0.052633085371558655,-2.8029727745770025e-06,9.860139693465419e-06,6.784263740712807e-05,-0.05264078267821633,1.034248412952311e-05,-2.8044870614701134e-06,0.000360598497771955,-1.507710036536931e-05
0.1,420.0,-0.0005790564732002791,-2.6053008580747728e-05,7.932106960743052e-05,-6.173086107901963e-05,-3.079369355112806e-06,-0.050936732703737074,1.9261204467735848e-05,1.1808188267123556e-05,7.00226211178169e-05,-0.05094589381658693,1.0287321989109891e-05,1.9846432058804545e-05,0.00036061819242580234,-1.911304526848299e-05
0.1,430.0,-0.0008977708595245143,-3.7445960878185e-05,7.845714650571362e-05,-7.620830614737778e-05,-2.420638502118859e-06,-0.04699131126734666,3.7531067744265015e-05,1.2898463872282592e-05,6.7999700425765e-05,-0.04700111888475674,9.830138246571047e-06,3.88165654275676e-05,0.00030422046239096136,-2.314434621021567e-05
0.1,440.0,-0.0010624261930982167,-5.274846274019912e-05,7.337875354273175e-05,-9.494462883336426e-05,-1.0789934423902682e-06,-0.041445673413199595,5.0004671007670297e-05,1.2991965263889064e-05,6.188115326009423e-05,-0.0414554174537963,8.9786287933492e-06,5.204630578086077e-05,0.0002045985873792911,-2.7173498075512585e-05
0.1,450.0,-0.0010615377721061728,-7.21103690121678e-05,6.456370757142632e-05,-0.00011836952630917397,8.51954800790853e-07,-0.034929922398740945,5.578510324969628e-05,1.2083908924847652e-05,5.218385110739147e-05,-0.03493903260532962,7.789494363394425e-06,5.858480970696782e-05,7.917272571680374e-05,-3.1327988421119705e-05
0.1,460.0,-0.0009037798403956173,-9.55527681421968e-05,5.278208956322263e-05,-0.00014675943249879022,3.239014745229785e-06,-0.028004465182119534,5.491909153743649e-05,1.0276716997746793e-05,3.970762377408669e-05,-0.0280125194387065,6.354466573802677e-06,5.843243292472946e-05,-5.352069015561746e-05,-3.5830526583261676e-05
0.1,470.0,-0.0006120277157581389,-0.00012301958589175182,3.896934740002302e-05,-0.0001802819108871414,5.934311743278587e-06,-0.021132634746031213,4.8167611614647574e-05,7.747538212108989e-06,2.540749629073119e-05,-0.021139351076179078,4.784802119355944e-06,5.2313326943056306e-05,-0.000176257802497762,-4.0965919522006983e-05
0.1,480.0,-0.00021736298787329445,-0.00015442321617132986,2.4113196142283806e-05,-0.00021903788039292027,8.795900979891161e-06,-0.014671018025513781,3.676147730329433e-05,4.71618015961231e-06,1.028066505814207e-05,-0.014676236977361569,3.1968777168318917e-06,4.143161184212872e-05,-0.0002747767247366712,-4.705003938425779e-05
0.1,490.0,0.00024623625327563364,-0.0001896803712760061,9.162720248127288e-06,-0.0002630964509783844,1.170302651657972e-05,-0.008871991994120967,2.2175941680993315e-05,1.4170258095565026e-06,-4.723631229067779e-06,-0.00887565454022474,1.700380806743949e-06,2.7245582740559428e-05,-0.00033868796033978703,-5.440389351558064e-05
0.1,500.0,0.0007461502138194788,-0.0002287369550005787,-5.03756820005532e-06,-0.0003125202069636171,1.4565959976760826e-05,-0.0038938617549213825,5.942903338240533e-06,-1.923309396671476e-06,-1.876883032050763e-05,-0.0038959863120746206,3.897115362741579e-07,1.1278905462960438e-05,-0.0003617628069578682,-6.33339963322558e-05
