========================================
ch3oh_W1_Energy_1_0.0.out
0.001 atm
T,R->W1
200.0,4.05014e-11
210.0,3.69909e-11
220.0,3.37466e-11
230.0,3.07701e-11
240.0,2.80725e-11
250.0,2.5585e-11
260.0,2.33491e-11
270.0,2.13075e-11
280.0,1.94485e-11
290.0,1.77646e-11
300.0,1.6218e-11
310.0,1.48252e-11
320.0,1.35753e-11
330.0,1.24539e-11
340.0,1.13909e-11
350.0,1.04594e-11
360.0,9.59124e-12
370.0,8.83617e-12
380.0,8.11241e-12
390.0,7.46494e-12
400.0,6.88162e-12
410.0,6.35518e-12
420.0,5.86279e-12
430.0,5.41084e-12
440.0,5.00675e-12
450.0,4.62947e-12
460.0,4.29107e-12
470.0,3.97764e-12
480.0,3.68337e-12
490.0,3.42426e-12
500.0,3.18301e-12
510.0,2.95609e-12
520.0,2.74516e-12
530.0,2.55895e-12
540.0,2.38921e-12
550.0,2.22894e-12
560.0,2.07998e-12
570.0,1.94174e-12
580.0,1.81309e-12
590.0,1.6945e-12
600.0,1.58469e-12
610.0,1.4829e-12
620.0,1.38942e-12
630.0,1.30317e-12
640.0,1.22202e-12
650.0,1.14656e-12
660.0,1.0769e-12
670.0,1.00977e-12
680.0,9.49085e-13
690.0,8.9258e-13
700.0,8.40654e-13
800.0,4.68382e-13
900.0,2.70605e-13
1000.0,1.6222e-13
1100.0,1.00513e-13
1200.0,6.3177e-14
1300.0,4.00769e-14
1400.0,2.62099e-14
1500.0,1.78342e-14
1600.0,1.21178e-14
1700.0,7.78313e-15
1800.0,5.71215e-15
1900.0,3.74018e-15
2000.0,2.81407e-15
2100.0,1.83012e-15
2200.0,1.41948e-15
2300.0,9.87795e-16
2400.0,6.8726e-16
========================================
ch3oh_W1_Energy_1_0.0.out
0.01 atm
T,R->W1
200.0,7.91791e-11
210.0,7.60406e-11
220.0,7.28792e-11
230.0,6.97262e-11
240.0,6.66273e-11
250.0,6.35506e-11
260.0,6.05668e-11
270.0,5.76443e-11
280.0,5.48095e-11
290.0,5.2066e-11
300.0,4.93904e-11
310.0,4.68365e-11
320.0,4.44085e-11
330.0,4.20905e-11
340.0,3.98275e-11
350.0,3.77088e-11
360.0,3.5669e-11
370.0,3.37643e-11
380.0,3.19142e-11
390.0,3.01735e-11
