    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
             29    2.52886e+12              0    1.92797e+16        37388.7
             30    3.01731e+12              0     2.2829e+16         234852
             31    3.58298e+12              0    2.69391e+16         920815
             32    4.23556e+12              0    3.16854e+16     2.5168e+06
             33    4.98565e+12              0    3.71519e+16    5.52407e+06
             34     5.8448e+12              0    4.34325e+16    1.05212e+07
             35    6.82565e+12              0    5.06303e+16    1.81455e+07
             36    7.94186e+12              0    5.88608e+16    2.90908e+07
             37    9.20833e+12              0    6.82508e+16    4.40755e+07
             38    1.06412e+13              0    7.89408e+16     6.3812e+07
             39    1.22578e+13              0     9.1086e+16    8.89862e+07
             40     1.4077e+13              0    1.04856e+17     1.2026e+08
             41    1.61191e+13              0     1.2044e+17     1.5827e+08
             42    1.84059e+13              0    1.38042e+17    2.03605e+08
             43    2.09607e+13              0    1.57889e+17      2.568e+08
             44    2.38088e+13              0    1.80229e+17    3.18335e+08
             45    2.69769e+13              0    2.05331e+17    3.88629e+08
             46     3.0494e+13              0    2.33492e+17    4.68054e+08
             47    3.43909e+13              0    2.65035e+17    5.56926e+08
             48    3.87002e+13              0    3.00311e+17    6.55503e+08
             49    4.34571e+13              0    3.39703e+17    7.63988e+08
             50    4.86989e+13              0    3.83629e+17    8.82537e+08
             51     5.4465e+13              0    4.32542e+17    1.01126e+09
             52    6.07977e+13              0    4.86933e+17    1.15022e+09
             53    6.77417e+13              0    5.47336e+17    1.29945e+09
             54    7.53442e+13              0    6.10478e+17    1.45893e+09
             55    8.36555e+13              0     6.6438e+17    1.62862e+09
             56    9.27287e+13              0    7.06164e+17    1.80843e+09
             57     1.0262e+14              0    7.91929e+17    1.99826e+09
             58    1.13388e+14              0    8.22803e+17    2.19799e+09
             59    1.25097e+14              0    9.18314e+17    2.40746e+09
             60    1.37811e+14              0    9.46206e+17    2.62651e+09
             61    1.51601e+14              0    1.00367e+18    2.85493e+09
             62    1.66539e+14              0    1.06458e+18    3.09254e+09
             63    1.82703e+14              0    1.14897e+18    3.33911e+09
             64    2.00174e+14              0    1.18491e+18    3.59442e+09
             65    2.19037e+14              0    1.20056e+18    3.85825e+09
