    E, kcal/mol    D, mol/kcal         W1->P1
              0              0            ***
            0.1        419.378    7.43983e-28
            0.2        419.378    1.64178e-27
            0.3        419.378    3.46905e-27
            0.4        419.378    7.08088e-27
            0.5        419.378    1.40459e-26
            0.6        419.378    2.71931e-26
            0.7        419.378      5.155e-26
            0.8        419.378    9.59263e-26
            0.9        419.378    1.75547e-25
              1        419.378    3.16415e-25
            1.1        419.378     5.6245e-25
            1.2        419.378    9.87068e-25
            1.3        419.378    1.71182e-24
            1.4        419.378    2.93611e-24
            1.5        419.378    4.98434e-24
            1.6        419.378       8.38e-24
            1.7        1331.02    4.39901e-24
            1.8        1258.13    7.68746e-24
            1.9        1258.13    1.25962e-23
              2        1258.13    2.04819e-23
            2.1        1258.13    3.30632e-23
            2.2        1258.13    5.30055e-23
            2.3        1258.13    8.44196e-23
            2.4        1258.13    1.33611e-22
            2.5        1258.13    2.10206e-22
            2.6        1258.13    3.28823e-22
            2.7        1258.13    5.11563e-22
            2.8        1258.13    7.91691e-22
            2.9        1258.13    1.21906e-21
              3        1258.13    1.86805e-21
            3.1        1258.13    2.84924e-21
            3.2        1258.13    4.32635e-21
            3.3        1258.13    6.54092e-21
            3.4        2523.67    4.90952e-21
            3.5        2516.27    7.38368e-21
            3.6        2516.27    1.10292e-20
            3.7        2935.65    1.40679e-20
            3.8        2935.64    2.08588e-20
            3.9        2935.64    3.08188e-20
              4        2935.64    4.53795e-20
            4.1        2935.64    6.65987e-20
            4.2        2935.64    9.74266e-20
            4.3        2935.64    1.42081e-19
            4.4        2935.64    2.06575e-19
            4.5        2935.64    2.99461e-19
            4.6        2935.64    4.32873e-19
            4.7        2935.64    6.23981e-19
            4.8        2935.64    8.97023e-19
            4.9        2935.64    1.28614e-18
              5        2935.64    1.83932e-18
            5.1         4611.6    1.67027e-18
            5.2        4613.15    2.37606e-18
            5.3        4613.15    3.37316e-18
            5.4         5451.9    4.04254e-18
            5.5        5451.91    5.71259e-18
            5.6        5451.91    8.05466e-18
            5.7        5451.91    1.13323e-17
            5.8        5451.91    1.59099e-17
            5.9        5451.91    2.22902e-17
              6        5451.91    3.11659e-17
            6.1        5451.91    4.34892e-17
            6.2        5451.91    6.05674e-17
            6.3        5451.91    8.41917e-17
            6.4        5451.91    1.16812e-16
            6.5        5871.22    1.50223e-16
            6.6        5871.29    2.07672e-16
            6.7        5871.29    2.86592e-16
            6.8        7967.86    2.90934e-16
            6.9        7968.17    4.00112e-16
              7        7968.17    5.49372e-16
            7.1         9226.3    6.50393e-16
            7.2        9226.31    8.90147e-16
            7.3        9226.31    1.21637e-15
            7.4        9645.68    1.58744e-15
            7.5        9645.68    2.16262e-15
            7.6        9645.68    2.94181e-15
            7.7        9645.68    3.99592e-15
            7.8        9645.68    5.41997e-15
            7.9        9645.68    7.34114e-15
              8        9645.68    9.92953e-15
            8.1        9645.68    1.34123e-14
            8.2        10484.4    1.66449e-14
            8.3        10484.4    2.24232e-14
            8.4        10484.4    3.01684e-14
            8.5        13000.7     3.2691e-14
            8.6        13000.7    4.38714e-14
            8.7        13000.7    5.88026e-14
            8.8        14678.2    6.97229e-14
            8.9        14678.2    9.32264e-14
              9        14678.2    1.24506e-13
            9.1          15517    1.57108e-13
            9.2          15517    2.09336e-13
            9.3          15517    2.78611e-13
            9.4          15517    3.70396e-13
            9.5          15517    4.91879e-13
            9.6          15517    6.52498e-13
            9.7          15517     8.6464e-13
            9.8          15517    1.14455e-12
            9.9        16775.1    1.39998e-12
             10        16775.1    1.84937e-12
           10.1        16775.1    2.44054e-12
           10.2        20130.1    2.68123e-12
           10.3        20130.1     3.5313e-12
           10.4        20130.1    4.64635e-12
           10.5          22227    5.53145e-12
           10.6          22227    7.26421e-12
           10.7          22227    9.53085e-12
           10.8        23485.1    1.18239e-11
           10.9        23485.1    1.54848e-11
             11        23485.1     2.0261e-11
           11.1        23904.5    2.60221e-11
           11.2        23904.5    3.39882e-11
           11.3        23904.5    4.43543e-11
           11.4        23904.5    5.78325e-11
           11.5        23904.5    7.53423e-11
           11.6          25582    9.16405e-11
           11.7          25582    1.19187e-10
           11.8          25582    1.54888e-10
           11.9        29775.8    1.72793e-10
             12        29775.8    2.24189e-10
           12.1        29775.8    2.90642e-10
           12.2        32292.1    3.47161e-10
           12.3        32292.1    4.49366e-10
           12.4        32292.1    5.81214e-10
           12.5        33969.6    7.14084e-10
           12.6        33969.6    9.22213e-10
           12.7        33969.6    1.19012e-09
           12.8        34808.3    1.49775e-09
           12.9        34808.3    1.93005e-09
             13        35227.7    2.45574e-09
           13.1        35227.7    3.16001e-09
           13.2        35227.7    4.06341e-09
           13.3        37324.6     4.9281e-09
           13.4        37324.6     6.3282e-09
           13.5        37324.6    8.12053e-09
           13.6        42357.1    9.17623e-09
           13.7        42357.1    1.17594e-08
           13.8        42357.1    1.50598e-08
           13.9        45712.2    1.78593e-08
             14        45712.2    2.28419e-08
           14.1        45712.2    2.91958e-08
           14.2          47809    3.56579e-08
           14.3          47809    4.55192e-08
           14.4          47809    5.80714e-08
           14.5        49067.2    7.21408e-08
           14.6        49067.2    9.19209e-08
           14.7        49905.9    1.15086e-07
           14.8        50325.3    1.45244e-07
           14.9        50325.3    1.84734e-07
             15        52841.6    2.23641e-07
           15.1        52841.6    2.84114e-07
           15.2        52841.6    3.60728e-07
           15.3        58712.9    4.11966e-07
           15.4        58712.9    5.22459e-07
           15.5        58712.9    6.62214e-07
           15.6        62906.6    7.82957e-07
           15.7        62906.6    9.91289e-07
           15.8        62906.6    1.25436e-06
           15.9        65422.9    1.52538e-06
             16        65422.9     1.9281e-06
           16.1        65422.9    2.43584e-06
           16.2        67100.4    2.99876e-06
           16.3        67100.4    3.78443e-06
           16.4        68358.5    4.68561e-06
           16.5        69197.3    5.83548e-06
           16.6        69197.3    7.35294e-06
           16.7        72552.3    8.83206e-06
           16.8        72552.3    1.11175e-05
           16.9        72552.3    1.39872e-05
             17        79262.4    1.60999e-05
           17.1        79262.4    2.02358e-05
           17.2        79262.4    2.54215e-05
           17.3        84294.9    3.00151e-05
           17.4        84294.9    3.76705e-05
           17.5        84294.9    4.72558e-05
           17.6        87649.9    5.69841e-05
           17.7        87649.9    7.14163e-05
           17.8        87649.9    8.94619e-05
           17.9        89746.8    0.000109398
             18        89746.8    0.000136915
           18.1        91426.9    0.000168126
           18.2        92682.4    0.000207375
           18.3        92682.4    0.000259182
           18.4        97123.5    0.000308982
           18.5        97295.6    0.000385147
           18.6        97295.6    0.000480727
           18.7         104844     0.00055658
           18.8         104844    0.000694098
           18.9         104844     0.00086522
             19         110716      0.0010209
           19.1         110716     0.00127151
           19.2         110716     0.00158297
           19.3         114909       0.001898
           19.4         114909     0.00236095
           19.5         115329     0.00292493
           19.6         117845     0.00355776
           19.7         117845     0.00442011
           19.8         119965     0.00539227
           19.9         121619     0.00660283
             20         121619     0.00819339
