========================================
tripplet_W1b_Energy_1_0.0.out
0.1 atm
T,P1->P2
460.0,7.83461e-13
470.0,7.48957e-13
480.0,7.21228e-13
490.0,7.02955e-13
500.0,6.5866e-13
510.0,6.58332e-13
520.0,6.30699e-13
530.0,6.20261e-13
540.0,6.15149e-13
550.0,5.95353e-13
560.0,5.90331e-13
570.0,5.73081e-13
580.0,5.72144e-13
590.0,5.53961e-13
600.0,5.59225e-13
610.0,5.58008e-13
620.0,5.50252e-13
630.0,5.40369e-13
640.0,5.44973e-13
650.0,5.46236e-13
660.0,5.43522e-13
670.0,5.38051e-13
680.0,5.44341e-13
690.0,5.41215e-13
700.0,5.46158e-13
800.0,5.87399e-13
900.0,6.70085e-13
1000.0,7.87214e-13
1100.0,9.39056e-13
1200.0,1.12592e-12
1300.0,1.34911e-12
1400.0,1.61019e-12
1500.0,1.91114e-12
1600.0,2.25351e-12
1700.0,2.63898e-12
1800.0,3.06909e-12
1900.0,3.54524e-12
2000.0,4.06859e-12
2100.0,4.64026e-12
2200.0,5.26119e-12
2300.0,5.93211e-12
2400.0,6.65364e-12
2500.0,7.42625e-12
2600.0,8.25022e-12
2700.0,9.12568e-12
2800.0,1.00526e-11
2900.0,1.10309e-11
3000.0,1.206e-11
========================================
tripplet_W1b_Energy_1_0.0.out
4.0 atm
T,P1->P2
200.0,1.07121e-11
210.0,9.20975e-12
220.0,7.95479e-12
230.0,6.90479e-12
240.0,6.01971e-12
250.0,5.26979e-12
260.0,4.63682e-12
270.0,4.09669e-12
280.0,3.63315e-12
290.0,3.23196e-12
300.0,2.88937e-12
310.0,2.60245e-12
320.0,2.34294e-12
330.0,2.12759e-12
340.0,1.93023e-12
350.0,1.75455e-12
360.0,1.62202e-12
370.0,1.48696e-12
380.0,1.37606e-12
390.0,1.28458e-12
400.0,1.18854e-12
410.0,1.12027e-12
420.0,1.04684e-12
430.0,9.65741e-13
440.0,9.35949e-13
450.0,8.82393e-13
460.0,8.49603e-13
470.0,8.06726e-13
480.0,7.72147e-13
490.0,7.48584e-13
500.0,6.96045e-13
510.0,6.94146e-13
520.0,6.61435e-13
530.0,6.4825e-13
540.0,6.40792e-13
550.0,6.17853e-13
560.0,6.10977e-13
570.0,5.90853e-13
580.0,5.88833e-13
590.0,5.6716e-13
600.0,5.72896e-13
610.0,5.70466e-13
620.0,5.61462e-13
630.0,5.49471e-13
640.0,5.54229e-13
650.0,5.54772e-13
660.0,5.51321e-13
670.0,5.44454e-13
680.0,5.50839e-13
690.0,5.4677e-13
700.0,5.51651e-13
800.0,5.89835e-13
900.0,6.71258e-13
1000.0,7.87808e-13
1100.0,9.39369e-13
1200.0,1.1261e-12
1300.0,1.34921e-12
1400.0,1.61024e-12
1500.0,1.91118e-12
1600.0,2.25355e-12
1700.0,2.63901e-12
1800.0,3.06911e-12
1900.0,3.54526e-12
2000.0,4.06861e-12
2100.0,4.64028e-12
2200.0,5.26122e-12
2300.0,5.93214e-12
2400.0,6.65368e-12
2500.0,7.42629e-12
2600.0,8.25028e-12
2700.0,9.12575e-12
2800.0,1.00527e-11
2900.0,1.1031e-11
3000.0,1.20602e-11
