    E, kcal/mol    D, mol/kcal       W1a->W1b        W1a->P1
            -10              0            ***            ***
             -9              0            ***            ***
             -8              0            ***            ***
             -7              0            ***            ***
             -6              0            ***            ***
             -5              0            ***            ***
             -4     1.5097e+06              0              0
             -3    2.24609e+08    1.64821e+10              0
             -2    2.34524e+09     6.9702e+10              0
             -1     1.2269e+10    1.24411e+11              0
    1.36068e-15    4.50075e+10    1.73082e+11    2.70486e-06
              1    1.33607e+11    2.13129e+11    4.59191e+11
              2    3.45029e+11    2.45489e+11    2.05349e+12
              3    8.05441e+11    2.72481e+11    2.86083e+12
              4    1.73826e+12     2.9583e+11    2.69834e+12
              5    3.52081e+12    3.16383e+11    2.71894e+12
              6    6.76708e+12    3.34617e+11    2.94126e+12
              7    1.24437e+13    3.50943e+11    2.98622e+12
              8    2.20308e+13    3.65676e+11     2.9117e+12
              9    3.77416e+13    3.79041e+11    2.88924e+12
             10    6.28173e+13    3.91226e+11    2.87529e+12
             11    1.01917e+14    4.02388e+11    2.82199e+12
             12    1.61629e+14    4.12653e+11    2.75781e+12
             13    2.51136e+14     4.2213e+11    2.70669e+12
             14    3.83061e+14     4.3091e+11    2.64788e+12
             15    5.74552e+14    4.39073e+11    2.58203e+12
             16    8.48641e+14    4.46685e+11    2.51895e+12
             17    1.23595e+15    4.53804e+11    2.45792e+12
             18    1.77678e+15    4.60482e+11     2.3944e+12
             19    2.52377e+15    4.66762e+11    2.33178e+12
    E, kcal/mol    D, mol/kcal       W1b->W1a        W1b->P2
            -10              0            ***            ***
             -9         529152              0    2.19678e+07
             -8     5.2694e+06              0    7.89849e+07
             -7    2.30744e+07              0    2.32495e+08
             -6    7.43737e+07              0    5.89639e+08
             -5     2.0129e+08              0    1.36019e+09
             -4    4.84089e+08              0    2.93705e+09
             -3    1.06567e+09     3.4739e+09    6.02015e+09
             -2    2.18942e+09    7.46627e+10    1.17114e+10
             -1    4.25134e+09    3.59038e+11    2.14464e+10
    1.36068e-15    7.87567e+09    9.89121e+11    3.67208e+10
              1    1.40205e+10    2.03101e+12    5.89403e+10
              2     2.4122e+10    3.51134e+12    8.95783e+10
              3    4.02883e+10    5.44741e+12    1.30449e+11
              4    6.55508e+10    7.84474e+12    1.83792e+11
              5    1.04204e+11    1.06898e+13    2.51988e+11
              6    1.62249e+11    1.39562e+13    3.37225e+11
              7    2.47944e+11     1.7613e+13    4.41399e+11
              8    3.72516e+11    2.16263e+13    5.66111e+11
              9    5.51074e+11    2.59596e+13     7.1263e+11
             10    8.03728e+11    3.05772e+13    8.81937e+11
             11    1.15698e+12    3.54457e+13    1.07472e+12
             12    1.64549e+12    4.05331e+13    1.29135e+12
             13    2.31414e+12    4.58106e+13    1.53191e+12
             14    3.22065e+12    5.12519e+13    1.79622e+12
             15    4.43875e+12    5.68335e+13    2.08392e+12
             16     6.0619e+12     6.2534e+13    2.39443e+12
             17    8.20786e+12    6.83341e+13    2.72705e+12
             18    1.10241e+13    7.42168e+13    3.08095e+12
             19    1.46944e+13    8.01666e+13    3.45524e+12
