    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              9    1.32098e+10              0    1.73565e+14    1.36664e-22
             10    1.98921e+10              0    2.43487e+14    8.41405e-22
             11     2.9186e+10              0    3.34418e+14    4.90183e-21
             12    4.18323e+10              0    4.51476e+14    2.72186e-20
             13    5.87492e+10              0    6.00421e+14    1.44772e-19
             14     8.1043e+10              0    7.87982e+14    7.40623e-19
             15    1.09998e+11              0    1.02229e+15    3.65809e-18
             16    1.47172e+11              0     1.3124e+15    1.74923e-17
             17    1.94326e+11              0    1.66934e+15    8.12077e-17
             18    2.53557e+11              0    2.10543e+15    3.66792e-16
             19    3.27247e+11              0    2.63513e+15    1.61502e-15
             20    4.18132e+11              0    3.27502e+15    6.94413e-15
             21    5.29364e+11              0    4.04388e+15    2.91993e-14
             22    6.64467e+11              0    4.96353e+15    1.20239e-13
             23    8.27484e+11              0    6.05836e+15    4.85441e-13
             24    1.02291e+12              0    7.35648e+15    1.92365e-12
             25    1.25581e+12              0    8.88952e+15    7.48924e-12
             26    1.53185e+12              0    1.06932e+16    2.86713e-11
             27     1.8573e+12              0     1.2808e+16    1.08022e-10
             28    2.23917e+12              0    1.52791e+16    4.00815e-10
             29    2.68514e+12              0    1.81576e+16    1.46569e-09
             30    3.20377e+12              0    2.15004e+16    5.28533e-09
             31     3.8044e+12              0    2.53712e+16    1.88054e-08
             32    4.49731e+12              0    2.98413e+16    6.60554e-08
             33    5.29376e+12              0    3.49897e+16    2.29171e-07
             34      6.206e+12              0    4.09046e+16    7.85664e-07
             35    7.24746e+12              0    4.76836e+16    2.66271e-06
             36    8.43265e+12              0     5.5435e+16    8.92478e-06
             37    9.77739e+12              0    6.42786e+16     2.9595e-05
             38    1.12988e+13              0    7.43464e+16    9.71267e-05
             39    1.30153e+13              0    8.57847e+16    0.000315576
             40     1.4947e+13              0    9.87535e+16     0.00101542
             41    1.71152e+13              0     1.1343e+17     0.00323666
             42    1.95433e+13              0    1.30008e+17      0.0102229
             43     2.2256e+13              0      1.487e+17      0.0320029
             44    2.52801e+13              0    1.69739e+17      0.0993242
             45    2.86441e+13              0    1.93381e+17       0.305683
             46    3.23785e+13              0    2.19903e+17       0.933119
             47    3.65162e+13              0    2.49609e+17        2.82581
             48    4.10918e+13              0    2.82832e+17        8.49132
             49    4.61427e+13              0    3.19932e+17         25.323
             50    5.17084e+13              0    3.61302e+17        74.9602
             51    5.78308e+13              0    4.07368e+17        220.271
             52    6.45549e+13              0    4.58593e+17        642.451
             53     7.1928e+13              0     5.1548e+17        1858.52
             54    8.00003e+13              0    5.74948e+17        5319.49
             55    8.88253e+13              0    6.25712e+17        14960.2
             56    9.84592e+13              0    6.65064e+17        40694.4
             57    1.08962e+14              0    7.45838e+17         104498
             58    1.20396e+14              0    7.74915e+17         247995
             59    1.32828e+14              0    8.64867e+17         539646
             60    1.46328e+14              0    8.91135e+17    1.08076e+06
             61     1.6097e+14              0    9.45254e+17    2.01063e+06
             62    1.76831e+14              0    1.00262e+18     3.5108e+06
             63    1.93994e+14              0     1.0821e+18    5.80774e+06
             64    2.12544e+14              0    1.11595e+18    9.17369e+06
             65    2.32573e+14              0    1.13069e+18    1.39262e+07
             66    2.54174e+14              0    1.25991e+18    2.04271e+07
             67    2.77447e+14              0    1.20235e+18      2.908e+07
             68    3.02496e+14              0    1.24382e+18    4.03273e+07
             69    3.29432e+14              0    1.29314e+18    5.46467e+07
             70    3.58367e+14              0    1.29054e+18    7.25462e+07
             71    3.89423e+14              0    1.34892e+18    9.45609e+07
             72    4.22725e+14              0    1.34049e+18    1.21248e+08
             73    4.58403e+14              0    1.38934e+18    1.53182e+08
             74    4.96594e+14              0    1.40632e+18     1.9095e+08
             75    5.37442e+14              0    1.38859e+18    2.35149e+08
             76    5.81096e+14              0     1.4971e+18    2.86379e+08
             77     6.2771e+14              0    1.42376e+18    3.45242e+08
             78    6.77448e+14              0    1.44244e+18    4.12336e+08
             79    7.30478e+14              0    1.49944e+18    4.88253e+08
             80    7.86977e+14              0    1.46293e+18    5.73577e+08
             81    8.47128e+14              0    1.49696e+18    6.68877e+08
             82    9.11121e+14              0    1.49605e+18    7.74709e+08
             83    9.79156e+14              0     1.5142e+18    8.91613e+08
             84    1.05144e+15              0    1.49078e+18    1.02011e+09
             85    1.12818e+15              0    1.49488e+18     1.1607e+09
             86    1.20961e+15              0     1.5254e+18    1.31386e+09
             87    1.29595e+15              0    1.46895e+18    1.48004e+09
             88    1.38745e+15              0    1.49894e+18    1.65969e+09
