    E, kcal/mol    D, mol/kcal         W1->P1
              0              0            ***
            0.1        419.378     5.2554e-24
            0.2        419.378    1.05687e-23
            0.3        419.378    2.06557e-23
            0.4        419.378    3.93695e-23
            0.5        419.378     7.3385e-23
            0.6        419.378    1.34089e-22
            0.7        419.378    2.40636e-22
            0.8        419.378    4.24846e-22
            0.9        419.378    7.38959e-22
              1        419.378    1.26783e-21
            1.1        419.378    2.14789e-21
            1.2        419.378    3.59653e-21
            1.3        419.378    5.95709e-21
            1.4        419.378    9.76743e-21
            1.5        419.378    1.58638e-20
            1.6        419.378    2.55371e-20
            1.7        1331.02    1.28447e-20
            1.8        1258.13    2.15221e-20
            1.9        1258.13    3.38338e-20
              2        1258.13    5.28145e-20
            2.1        1258.13    8.18933e-20
            2.2        1258.13    1.26177e-19
            2.3        1258.13    1.93234e-19
            2.4        1258.13    2.94225e-19
            2.5        1258.13    4.45534e-19
            2.6        1258.13     6.7111e-19
            2.7        1258.13    1.00581e-18
            2.8        1258.13    1.50015e-18
            2.9        1258.13    2.22711e-18
              3        1258.13    3.29162e-18
            3.1        1258.13    4.84414e-18
            3.2        1258.13    7.09954e-18
            3.3        1258.13    1.03637e-17
            3.4        2523.67    7.51327e-18
            3.5        2516.27    1.09173e-17
            3.6        2516.27    1.57606e-17
            3.7        2935.65    1.94347e-17
            3.8        2935.64    2.78664e-17
            3.9        2935.64    3.98266e-17
              4        2935.64    5.67417e-17
            4.1        2935.64    8.05952e-17
            4.2        2935.64    1.14139e-16
            4.3        2935.64     1.6118e-16
            4.4        2935.64    2.26975e-16
            4.5        2935.64    3.18765e-16
            4.6        2935.64    4.46498e-16
            4.7        2935.64    6.23816e-16
            4.8        2935.64     8.6938e-16
            4.9        2935.64    1.20867e-15
              5        2935.64    1.67641e-15
            5.1         4611.6    1.47673e-15
            5.2        4613.15     2.0382e-15
            5.3        4613.15    2.80794e-15
            5.4         5451.9    3.26623e-15
            5.5        5451.91    4.48072e-15
            5.6        5451.91    6.13426e-15
            5.7        5451.91    8.38127e-15
            5.8        5451.91     1.1429e-14
            5.9        5451.91    1.55554e-14
              6        5451.91    2.11321e-14
            6.1        5451.91    2.86556e-14
            6.2        5451.91    3.87883e-14
            6.3        5451.91    5.24122e-14
            6.4        5451.91       7.07e-14
            6.5        5871.22    8.84091e-14
            6.6        5871.29     1.1886e-13
            6.7        5871.29    1.59543e-13
            6.8        7967.86    1.57552e-13
            6.9        7968.17    2.10809e-13
              7        7968.17     2.8165e-13
            7.1         9226.3    3.24498e-13
            7.2        9226.31    4.32262e-13
            7.3        9226.31    5.74986e-13
            7.4        9645.68    7.30548e-13
            7.5        9645.68    9.69042e-13
            7.6        9645.68    1.28364e-12
            7.7        9645.68     1.6981e-12
            7.8        9645.68    2.24342e-12
            7.9        9645.68    2.96003e-12
              8        9645.68    3.90058e-12
            8.1        9645.68    5.13355e-12
            8.2        10484.4    6.20812e-12
            8.3        10484.4    8.15057e-12
            8.4        10484.4     1.0688e-11
            8.5        13000.7    1.12896e-11
            8.6        13000.7    1.47699e-11
            8.7        13000.7    1.93011e-11
            8.8        14678.2    2.23149e-11
            8.9        14678.2    2.90962e-11
              9        14678.2     3.7897e-11
            9.1          15517    4.66418e-11
            9.2          15517    6.06208e-11
            9.3          15517    7.87077e-11
            9.4          15517    1.02086e-10
            9.5          15517    1.32276e-10
            9.6          15517    1.71222e-10
            9.7          15517    2.21419e-10
            9.8          15517    2.86054e-10
            9.9        16775.1    3.41515e-10
             10        16775.1    4.40372e-10
           10.1        16775.1    5.67319e-10
           10.2        20130.1    6.08492e-10
           10.3        20130.1    7.82477e-10
           10.4        20130.1    1.00531e-09
           10.5          22227    1.16873e-09
           10.6          22227    1.49893e-09
           10.7          22227    1.92078e-09
           10.8        23485.1    2.32751e-09
           10.9        23485.1    2.97753e-09
             11        23485.1    3.80593e-09
           11.1        23904.5    4.77556e-09
           11.2        23904.5    6.09431e-09
           11.3        23904.5    7.77103e-09
           11.4        23904.5    9.90125e-09
           11.5        23904.5    1.26056e-08
           11.6          25582    1.49847e-08
           11.7          25582    1.90484e-08
           11.8          25582    2.41959e-08
           11.9        29775.8     2.6386e-08
             12        29775.8     3.3467e-08
           12.1        29775.8    4.24173e-08
           12.2        32292.1    4.95365e-08
           12.3        32292.1    6.26949e-08
           12.4        32292.1    7.92928e-08
           12.5        33969.6    9.52664e-08
           12.6        33969.6    1.20321e-07
           12.7        33969.6    1.51862e-07
           12.8        34808.3    1.86926e-07
           12.9        34808.3    2.35611e-07
             13        35227.7    2.93248e-07
           13.1        35227.7    3.69141e-07
           13.2        35227.7    4.64376e-07
           13.3        37324.6     5.5101e-07
           13.4        37324.6    6.92286e-07
           13.5        37324.6     8.6924e-07
           13.6        42357.1    9.61157e-07
           13.7        42357.1    1.20535e-06
           13.8        42357.1    1.51067e-06
           13.9        45712.2    1.75332e-06
             14        45712.2    2.19482e-06
           14.1        45712.2    2.74587e-06
           14.2          47809    3.28269e-06
           14.3          47809    4.10212e-06
           14.4          47809    5.12315e-06
           14.5        49067.2    6.23073e-06
           14.6        49067.2     7.7728e-06
           14.7        49905.9    9.52827e-06
           14.8        50325.3    1.17744e-05
           14.9        50325.3    1.46642e-05
             15        52841.6    1.73842e-05
           15.1        52841.6    2.16276e-05
           15.2        52841.6    2.68925e-05
           15.3        58712.9    3.00792e-05
           15.4        58712.9    3.73623e-05
           15.5        58712.9    4.63848e-05
           15.6        62906.6    5.37195e-05
           15.7        62906.6     6.6624e-05
           15.8        62906.6    8.25868e-05
           15.9        65422.9    9.83875e-05
