========================================
singlet_W3_Energy_1_0.0.out
0.1 atm
T,P1->W3
470.0,6.22023e-14
480.0,5.67274e-14
490.0,5.16114e-14
500.0,4.71861e-14
510.0,4.298e-14
520.0,3.95073e-14
530.0,3.61512e-14
540.0,3.29805e-14
550.0,3.01077e-14
560.0,2.7617e-14
570.0,2.52527e-14
580.0,2.3129e-14
590.0,2.12741e-14
600.0,1.95262e-14
610.0,1.78978e-14
620.0,1.64729e-14
630.0,1.51497e-14
640.0,1.39927e-14
650.0,1.29692e-14
660.0,1.20003e-14
670.0,1.11498e-14
680.0,1.03735e-14
690.0,9.57346e-15
700.0,8.95421e-15
800.0,4.87762e-15
900.0,3.18676e-15
1000.0,2.55449e-15
1100.0,2.7027e-15
1200.0,3.18926e-15
1300.0,3.27462e-15
1400.0,4.13774e-15
1500.0,4.28761e-15
1600.0,5.03707e-15
1700.0,5.60452e-15
1800.0,5.64227e-15
1900.0,6.49508e-15
2000.0,6.70959e-15
2100.0,6.97002e-15
2200.0,6.44668e-15
2300.0,6.69037e-15
2400.0,6.26613e-15
2500.0,6.5442e-15
2600.0,6.49099e-15
2700.0,6.19869e-15
2800.0,5.97389e-15
2900.0,5.82058e-15
3000.0,5.73876e-15
========================================
singlet_W3_Energy_1_0.0.out
4.0 atm
T,P1->W3
200.0,1.95105e-12
210.0,1.68212e-12
220.0,1.4566e-12
230.0,1.26704e-12
240.0,1.10667e-12
250.0,9.70127e-13
260.0,8.53566e-13
270.0,7.53489e-13
280.0,6.67334e-13
290.0,5.92813e-13
300.0,5.28059e-13
310.0,4.71562e-13
320.0,4.22138e-13
330.0,3.78844e-13
340.0,3.41172e-13
350.0,3.07432e-13
360.0,2.77877e-13
370.0,2.51911e-13
380.0,2.28098e-13
390.0,2.07984e-13
400.0,1.89494e-13
410.0,1.73683e-13
420.0,1.59483e-13
430.0,1.46317e-13
440.0,1.33381e-13
450.0,1.22744e-13
460.0,1.12035e-13
470.0,1.03097e-13
480.0,9.43482e-14
490.0,8.62071e-14
500.0,7.90544e-14
510.0,7.23074e-14
520.0,6.65824e-14
530.0,6.11059e-14
540.0,5.59802e-14
550.0,5.13152e-14
560.0,4.72008e-14
570.0,4.3333e-14
580.0,3.98425e-14
590.0,3.67427e-14
600.0,3.38477e-14
610.0,3.11438e-14
620.0,2.87601e-14
630.0,2.65402e-14
640.0,2.45861e-14
650.0,2.28389e-14
660.0,2.11911e-14
670.0,1.97369e-14
680.0,1.84035e-14
690.0,1.70391e-14
700.0,1.59654e-14
800.0,8.81646e-15
900.0,5.75934e-15
1000.0,4.51547e-15
1100.0,4.54909e-15
1200.0,5.2247e-15
1300.0,5.32774e-15
1400.0,6.65323e-15
1500.0,6.86664e-15
1600.0,7.97603e-15
1700.0,8.7576e-15
1800.0,8.71427e-15
1900.0,9.77983e-15
2000.0,9.90151e-15
2100.0,1.00685e-14
2200.0,9.19465e-15
2300.0,9.38494e-15
2400.0,8.73113e-15
2500.0,9.07806e-15
2600.0,9.05928e-15
2700.0,8.71095e-15
2800.0,8.4838e-15
2900.0,8.38672e-15
3000.0,8.42527e-15
========================================
singlet_W3_Energy_1_0.0.out
0.1 atm
T,W3->P1
200.0,0.00103425
210.0,0.00580509
220.0,0.0274845
230.0,0.112364
240.0,0.403856
250.0,1.29709
260.0,3.76746
270.0,10.032
280.0,24.6704
290.0,56.4901
300.0,121.648
310.0,247.17
320.0,476.897
330.0,877.38
340.0,1551.48
350.0,2636.17
360.0,4327.82
370.0,6892.45
380.0,10592.5
390.0,15998.9
400.0,23423.6
410.0,33757.3
420.0,47784.4
430.0,66009.3
440.0,88554.7
450.0,118699.0
460.0,153301.0
470.0,198603.0
480.0,251056.0
490.0,310313.0
500.0,381489.0
510.0,460718.0
520.0,558778.0
530.0,665504.0
540.0,775155.0
550.0,894576.0
560.0,1035310.0
570.0,1176190.0
580.0,1325910.0
590.0,1499380.0
600.0,1665740.0
610.0,1834400.0
620.0,2018250.0
630.0,2202900.0
640.0,2399520.0
650.0,2617760.0
660.0,2826610.0
670.0,3048050.0
680.0,3276810.0
690.0,3465080.0
700.0,3710740.0
800.0,6322810.0
900.0,9910140.0
1000.0,17241800.0
1100.0,35612200.0
1200.0,68285100.0
1300.0,99419100.0
1400.0,171126000.0
1500.0,222043000.0
1600.0,320283000.0
1700.0,423615000.0
1800.0,490278000.0
1900.0,661388000.0
2000.0,780578000.0
2100.0,930872000.0
2200.0,956639000.0
2300.0,1139640000.0
2400.0,1177140000.0
2500.0,1394410000.0
2600.0,1496270000.0
2700.0,1524600000.0
2800.0,1545810000.0
2900.0,1559780000.0
3000.0,1566070000.0
========================================
singlet_W3_Energy_1_0.0.out
0.5 atm
T,W3->P1
200.0,0.0035385
210.0,0.0202188
220.0,0.0973562
230.0,0.404315
240.0,1.47503
250.0,4.80152
260.0,14.1351
270.0,38.067
280.0,94.6679
290.0,219.24
300.0,476.493
310.0,977.085
320.0,1901.58
330.0,3530.3
340.0,6288.32
350.0,10752.5
360.0,17767.5
370.0,28462.3
380.0,44022.6
390.0,66748.7
400.0,98336.4
410.0,142327.0
420.0,201837.0
430.0,279869.0
440.0,376326.0
450.0,504653.0
460.0,655244.0
470.0,849429.0
480.0,1072920.0
490.0,1330660.0
500.0,1638850.0
510.0,1981170.0
520.0,2400020.0
530.0,2853590.0
540.0,3336610.0
550.0,3863250.0
560.0,4466150.0
570.0,5082820.0
580.0,5744580.0
590.0,6487560.0
600.0,7231880.0
610.0,7988210.0
620.0,8804150.0
630.0,9630620.0
640.0,10518000.0
650.0,11476400.0
660.0,12411700.0
670.0,13409800.0
680.0,14436600.0
690.0,15310900.0
700.0,16417000.0
800.0,28207400.0
900.0,43779700.0
1000.0,71143700.0
1100.0,136225000.0
1200.0,249675000.0
1300.0,356603000.0
1400.0,595437000.0
1500.0,765213000.0
1600.0,1085180000.0
1700.0,1416480000.0
1800.0,1627830000.0
1900.0,2145520000.0
2000.0,2485140000.0
2100.0,2883420000.0
2200.0,2906390000.0
2300.0,3319460000.0
2400.0,3328320000.0
2500.0,3734610000.0
2600.0,3861450000.0
2700.0,3807340000.0
2800.0,3747520000.0
2900.0,3689820000.0
3000.0,3639040000.0
========================================
singlet_W3_Energy_1_0.0.out
1.0 atm
T,W3->P1
200.0,0.00555974
210.0,0.0320842
220.0,0.155942
230.0,0.653311
240.0,2.40321
250.0,7.88383
260.0,23.381
270.0,63.3978
280.0,158.703
290.0,369.856
300.0,808.438
310.0,1667.06
320.0,3261.74
330.0,6086.46
340.0,10892.5
350.0,18708.6
360.0,31041.1
370.0,49913.3
380.0,77524.9
390.0,117937.0
400.0,174306.0
410.0,253025.0
420.0,359675.0
430.0,499745.0
440.0,673884.0
450.0,904407.0
460.0,1177050.0
470.0,1526450.0
480.0,1931180.0
490.0,2399890.0
500.0,2959290.0
510.0,3584210.0
520.0,4338810.0
530.0,5161870.0
540.0,6047320.0
550.0,7016650.0
560.0,8113850.0
570.0,9253100.0
580.0,10478600.0
590.0,11836800.0
600.0,13219900.0
610.0,14632800.0
620.0,16155500.0
630.0,17702800.0
640.0,19363600.0
650.0,21142400.0
660.0,22897400.0
670.0,24769800.0
680.0,26695200.0
690.0,28367600.0
700.0,30443400.0
800.0,52647900.0
900.0,81412700.0
1000.0,128475000.0
1100.0,235777000.0
1200.0,423296000.0
1300.0,600508000.0
