    E, kcal/mol    D, mol/kcal         W1->P1
              0              0            ***
            0.1        419.378     1.2914e-27
            0.2        419.378    2.41239e-27
            0.3        419.378    4.37043e-27
            0.4        419.378    7.71703e-27
            0.5        419.378    1.33282e-26
            0.6        419.378    2.25797e-26
            0.7        419.378     3.7612e-26
            0.8        419.378    6.17157e-26
            0.9        419.378    9.99014e-26
              1        419.378    1.59728e-25
            1.1        419.378    2.52512e-25
            1.2        419.378    3.95062e-25
            1.3        419.378    6.12162e-25
            1.4        419.378    9.40115e-25
            1.5        419.378    1.43175e-24
            1.6        419.378    2.16351e-24
            1.7        1331.02    1.02254e-24
            1.8        1258.13    1.61153e-24
            1.9        1258.13    2.38506e-24
              2        1258.13    3.50816e-24
            2.1        1258.13    5.12999e-24
            2.2        1258.13    7.45996e-24
            2.3        1258.13    1.07909e-23
            2.4        1258.13    1.55305e-23
            2.5        1258.13    2.22445e-23
            2.6        1258.13    3.17146e-23
            2.7        1258.13    4.50175e-23
            2.8        1258.13    6.36307e-23
            2.9        1258.13    8.95759e-23
              3        1258.13     1.2561e-22
            3.1        1258.13     1.7548e-22
            3.2        1258.13    2.44267e-22
            3.3        1258.13    3.38839e-22
            3.4        2523.67    2.33539e-22
            3.5        2516.27    3.22776e-22
            3.6        2516.27    4.43413e-22
            3.7        2935.65     5.2054e-22
            3.8        2935.64    7.10853e-22
            3.9        2935.64    9.67995e-22
              4        2935.64    1.31454e-21
            4.1        2935.64    1.78041e-21
            4.2        2935.64    2.40516e-21
            4.3        2935.64    3.24099e-21
            4.4        2935.64    4.35668e-21
            4.5        2935.64    5.84258e-21
            4.6        2935.64    7.81727e-21
            4.7        2935.64     1.0436e-20
            4.8        2935.64    1.39015e-20
            4.9        2935.64    1.84787e-20
              5        2935.64    2.45122e-20
            5.1         4611.6    2.06571e-20
            5.2        4613.15    2.72837e-20
            5.3        4613.15    3.59792e-20
            5.4         5451.9    4.00715e-20
            5.5        5451.91    5.26473e-20
            5.6        5451.91    6.90464e-20
            5.7        5451.91    9.03958e-20
            5.8        5451.91    1.18145e-19
            5.9        5451.91    1.54155e-19
              6        5451.91    2.00812e-19
            6.1        5451.91    2.61175e-19
            6.2        5451.91    3.39151e-19
            6.3        5451.91    4.39734e-19
            6.4        5451.91    5.69294e-19
            6.5        5871.22    6.83386e-19
            6.6        5871.29    8.82157e-19
            6.7        5871.29    1.13715e-18
            6.8        7967.86    1.07865e-18
            6.9        7968.17    1.38659e-18
              7        7968.17    1.78014e-18
            7.1         9226.3    1.97116e-18
            7.2        9226.31    2.52409e-18
            7.3        9226.31    3.22806e-18
            7.4        9645.68    3.94399e-18
            7.5        9645.68    5.03163e-18
            7.6        9645.68    6.41158e-18
            7.7        9645.68    8.16041e-18
            7.8        9645.68    1.03743e-17
            7.9        9645.68     1.3174e-17
              8        9645.68    1.67105e-17
            8.1        9645.68    2.11733e-17
            8.2        10484.4    2.46551e-17
            8.3        10484.4     3.1173e-17
            8.4        10484.4     3.9373e-17
            8.5        13000.7    4.00638e-17
            8.6        13000.7    5.04997e-17
            8.7        13000.7    6.35908e-17
            8.8        14678.2    7.08547e-17
            8.9        14678.2    8.90496e-17
              9        14678.2    1.11811e-16
            9.1          15517    1.32677e-16
            9.2          15517     1.6628e-16
            9.3          15517    2.08205e-16
            9.4          15517    2.60469e-16
            9.5          15517    3.25564e-16
            9.6          15517    4.06574e-16
            9.7          15517    5.07308e-16
            9.8          15517    6.32466e-16
            9.9        16775.1    7.28755e-16
             10        16775.1    9.07044e-16
           10.1        16775.1    1.12804e-15
           10.2        20130.1    1.16812e-15
           10.3        20130.1    1.45042e-15
           10.4        20130.1    1.79953e-15
           10.5          22227    2.02049e-15
           10.6          22227      2.503e-15
           10.7          22227     3.0984e-15
           10.8        23485.1    3.62729e-15
           10.9        23485.1    4.48354e-15
             11        23485.1    5.53793e-15
           11.1        23904.5    6.71548e-15
           11.2        23904.5    8.28302e-15
           11.3        23904.5    1.02093e-14
           11.4        23904.5     1.2575e-14
           11.5        23904.5    1.54784e-14
           11.6          25582    1.77908e-14
           11.7          25582    2.18692e-14
           11.8          25582    2.68649e-14
           11.9        29775.8    2.83353e-14
             12        29775.8    3.47633e-14
           12.1        29775.8    4.26226e-14
           12.2        32292.1    4.81564e-14
           12.3        32292.1    5.89702e-14
           12.4        32292.1     7.2168e-14
           12.5        33969.6    8.39074e-14
           12.6        33969.6    1.02563e-13
           12.7        33969.6    1.25292e-13
           12.8        34808.3    1.49282e-13
           12.9        34808.3    1.82152e-13
             13        35227.7    2.19487e-13
           13.1        35227.7     2.6751e-13
           13.2        35227.7    3.25857e-13
           13.3        37324.6    3.74422e-13
           13.4        37324.6    4.55584e-13
           13.5        37324.6    5.54037e-13
           13.6        42357.1    5.93394e-13
           13.7        42357.1    7.20855e-13
           13.8        42357.1    8.75231e-13
           13.9        45712.2     9.8416e-13
             14        45712.2    1.19368e-12
