*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1000           10  2.41308e+10    0.0347032    0.0001527   0.00444751
         1005           10  2.40488e+10    0.0320103  0.000107044   0.00319879
         1010           10  2.39677e+10    0.0348208   0.00015737   0.00461476
         1015           10  2.38872e+10    0.0344905  0.000150879   0.00445663
         1020           10  2.38075e+10    0.0318246  0.000105847   0.00320387
         1025           10  2.37285e+10    0.0314962  0.000101866   0.00310313
         1030           10  2.36502e+10    0.0342717  0.000149587   0.00447924
         1035           10  2.35725e+10    0.0339675  0.000144488   0.00435433
         1040           10  2.34956e+10    0.0313247  0.000100843   0.00311359
         1045           10  2.34193e+10     0.031101  9.81541e-05   0.00304613
         1050           10  2.33437e+10    0.0337372  0.000143133   0.00436698
         1055           10  2.32687e+10    0.0334168  0.000137817   0.00423549
         1060           10  2.31944e+10    0.0308629  9.70779e-05   0.00305007
         1065           10  2.31207e+10    0.0306163  9.40997e-05   0.00297566
         1070           10  2.30476e+10    0.0332072  0.000137317    0.0042683
         1075           10  2.29752e+10    0.0328877   0.00013287   0.00415669
         1080           10  2.29033e+10    0.0304258  9.33822e-05   0.00298676
         1085           10  2.28321e+10     0.030194  9.09132e-05   0.00292522
         1090           10  2.27614e+10    0.0327197  0.000132014   0.00417572
         1095           10  2.26914e+10     0.032482  0.000128717   0.00409368
         1100           10  2.26219e+10    0.0300166  9.02667e-05   0.00293939
         1105           10  2.25529e+10    0.0297307  8.74744e-05    0.0028562
         1110           10  2.24845e+10    0.0323527  0.000128185   0.00412866
         1115           10  2.24167e+10    0.0297352  8.98037e-05   0.00294871
         1120           10  2.23494e+10    0.0296604  8.74835e-05   0.00289041
         1125           10  2.22827e+10     0.032107  0.000127725   0.00416845
         1130           10  2.22165e+10    0.0318283  0.000124004   0.00405574
         1135           10  2.21508e+10    0.0294615  8.80047e-05   0.00294411
         1140           10  2.20856e+10    0.0292351  8.47517e-05   0.00284449
         1145           10  2.20209e+10    0.0316658  0.000124044   0.00411496
         1150           10  2.19568e+10    0.0314709  0.000119022   0.00395725
         1155           10  2.18931e+10    0.0290742  8.51627e-05    0.0028971
         1160           10  2.18299e+10    0.0289593   8.3078e-05   0.00283668
         1165           10  2.17672e+10      0.03117  0.000119797   0.00401736
         1170           10   2.1705e+10    0.0311024  0.000117333   0.00395878
         1175           10  2.16433e+10    0.0287081  8.27732e-05   0.00285132
         1180           10   2.1582e+10    0.0284813  8.08061e-05   0.00279461
         1185           10  2.15212e+10    0.0309264  0.000117536   0.00400811
         1190           10  2.14608e+10    0.0306569  0.000114255   0.00391662
         1195           10  2.14009e+10     0.028384  8.12004e-05   0.00283782
         1200           10  2.13414e+10    0.0281745  7.92974e-05   0.00278354
         1205           10  2.12824e+10    0.0305385  0.000114716   0.00396955
         1210           10  2.12237e+10    0.0282319  8.15676e-05   0.00287685
         1215           10  2.11656e+10    0.0280292  7.95526e-05   0.00281987
         1220           10  2.11078e+10     0.030421  0.000114999   0.00401542
         1225           10  2.10505e+10    0.0301685  0.000111703   0.00392241
         1230           10  2.09935e+10    0.0279312  7.98267e-05   0.00285799
         1235           10   2.0937e+10    0.0277722  7.81631e-05   0.00280976
         1240           10  2.08809e+10    0.0300436  0.000112189   0.00397263
         1245           10  2.08251e+10    0.0298103  0.000109664   0.00390226
         1250           10  2.07698e+10    0.0276089  7.87144e-05   0.00285342
         1255           10  2.07149e+10    0.0274004  7.67321e-05   0.00279641
         1260           10  2.06603e+10    0.0297246  0.000110688   0.00397008
         1265           10  2.06061e+10    0.0295131  0.000107973    0.0038956
         1270           10  2.05523e+10     0.027322   7.7023e-05   0.00283168
         1275           10  2.04988e+10    0.0271557  7.56108e-05   0.00279172
         1280           10  2.04458e+10    0.0294084  0.000108925    0.0039599
         1285           10  2.03931e+10    0.0291963  0.000106229   0.00387945
         1290           10  2.03407e+10    0.0270128  7.65404e-05   0.00284856
         1295           10  2.02887e+10    0.0268589  7.47853e-05   0.00279625
         1300           10   2.0237e+10    0.0290722  0.000107123   0.00394681
         1305           10  2.01857e+10    0.0288657  0.000105164   0.00389149
         1310           10  2.01348e+10    0.0267494  7.55434e-05   0.00284776
         1315           10  2.00841e+10    0.0289614  0.000108033   0.00401316
         1320           10  2.00338e+10    0.0287771  0.000105633   0.00394281
         1325           10  1.99839e+10    0.0266469   7.6215e-05    0.0028967
         1330           10  1.99342e+10     0.026469  7.51368e-05   0.00286695
         1335           10  1.98849e+10    0.0286836   0.00010691   0.00402243
         1340           10  1.98359e+10    0.0284595   0.00010438   0.00394375
         1345           10  1.97872e+10    0.0264171  7.56428e-05   0.00291052
         1350           10  1.97389e+10    0.0261707  7.42905e-05   0.00287111
         1355           10  1.96908e+10    0.0283787  0.000105667   0.00402204
         1360           10  1.96431e+10    0.0282076  0.000103623    0.0039588
         1365           10  1.95956e+10     0.026103  7.48667e-05   0.00291468
         1370           10  1.95485e+10    0.0260037  7.44057e-05   0.00290824
         1375           10  1.95016e+10    0.0281011  0.000104709   0.00403062
         1380           10  1.94551e+10    0.0279646  0.000103255   0.00399166
         1385           10  1.94088e+10    0.0258687  7.45979e-05   0.00293604
         1390           10  1.93628e+10    0.0257138  7.36321e-05   0.00290969
         1395           10  1.93171e+10      0.02786  0.000104484   0.00407299
         1400           10  1.92717e+10    0.0276818  0.000101956   0.00399565
         1405           10  1.92266e+10    0.0256705  7.47873e-05   0.00297405
         1410           10  1.91817e+10    0.0254332  7.37883e-05   0.00295955
         1415           10  1.91371e+10    0.0275311  0.000103604   0.00408158
         1420           10  1.90928e+10    0.0255376   7.5968e-05   0.00305286
         1425           10  1.90488e+10    0.0253989  7.39723e-05   0.00297752
         1430           10   1.9005e+10     0.027417  0.000105387   0.00419627
         1435           10  1.89615e+10     0.027335  0.000101921   0.00407022
         1440           10  1.89182e+10     0.025254  7.53084e-05   0.00306125
         1445           10  1.88752e+10    0.0252387  7.45129e-05     0.003043
         1450           10  1.88325e+10    0.0271488  0.000104176   0.00418324
         1455           10    1.879e+10    0.0271426  0.000103591   0.00416813
         1460           10  1.87477e+10    0.0250836  7.55557e-05   0.00310493
         1465           10  1.87057e+10    0.0249475  7.43491e-05   0.00306104
         1470           10   1.8664e+10    0.0270119  0.000104626   0.00424466
         1475           10  1.86224e+10     0.026858  0.000103122   0.00420244
         1480           10  1.85812e+10    0.0248768  7.60809e-05   0.00315362
         1485           10  1.85401e+10    0.0247747  7.51666e-05   0.00313041
         1490           10  1.84993e+10    0.0267861   0.00010441   0.00428527
         1495           10  1.84588e+10    0.0266181  0.000102705   0.00423278
         1500           10  1.84184e+10    0.0246861  7.58109e-05    0.0031812
         1505           10  1.83783e+10    0.0245136   7.5008e-05   0.00315808
         1510           10  1.83384e+10    0.0264877  0.000103709   0.00430825
         1515           10  1.82988e+10    0.0245705  7.67367e-05    0.0032435
         1520           10  1.82593e+10     0.024422   7.6061e-05   0.00322547
         1525           10  1.82201e+10     0.026417    0.0001053   0.00440093
         1530           10  1.81811e+10    0.0262964  0.000104476    0.0043816
         1535           10  1.81424e+10    0.0243218  7.71408e-05   0.00329516
