    E, kcal/mol    D, mol/kcal       W1a->W1b        W1a->P1
            -10              0            ***            ***
             -9              0            ***            ***
             -8              0            ***            ***
             -7              0            ***            ***
             -6              0            ***            ***
             -5              0            ***            ***
             -4    3.54237e+06              0              0
             -3    2.32462e+08    1.59254e+10              0
             -2    2.06097e+09     7.9316e+10              0
             -1    9.88389e+09    1.54432e+11              0
    1.36068e-15    3.42349e+10    2.27545e+11    3.55598e-06
              1    9.71186e+10    2.93205e+11    6.31715e+11
              2    2.41256e+11    3.51082e+11    2.93677e+12
              3     5.4467e+11    4.02936e+11     4.2305e+12
              4    1.14188e+12    4.50333e+11    4.10761e+12
              5    2.25462e+12    4.94064e+11     4.2459e+12
              6    4.23565e+12      5.346e+11     4.6991e+12
              7    7.62999e+12    5.72352e+11    4.87021e+12
              8    1.32575e+13    6.07668e+11    4.83857e+12
              9    2.23239e+13    6.40821e+11    4.88465e+12
             10    3.65685e+13    6.72047e+11    4.93916e+12
             11    5.84566e+13    7.01547e+11    4.92003e+12
             12    9.14282e+13    7.29499e+11    4.87533e+12
             13    1.40217e+14    7.56055e+11    4.84782e+12
             14    2.11257e+14    7.81347e+11    4.80126e+12
             15    3.13189e+14    8.05488e+11     4.7368e+12
             16      4.575e+14    8.28578e+11    4.67252e+12
             17     6.5931e+14    8.50704e+11    4.60762e+12
             18     9.3834e+14    8.71941e+11    4.53389e+12
             19     1.3201e+15    8.92354e+11     4.4579e+12
    E, kcal/mol    D, mol/kcal       W1b->W1a        W1b->P2
            -10              0            ***            ***
             -9         529152              0    2.17322e+07
             -8     5.2694e+06              0    8.11745e+07
             -7    2.30744e+07              0    2.45502e+08
             -6    7.43737e+07              0    6.35881e+08
             -5     2.0129e+08              0    1.49232e+09
             -4    4.84089e+08              0    3.26968e+09
             -3    1.06567e+09     3.4739e+09    6.78803e+09
             -2    2.18942e+09    7.46627e+10     1.3366e+10
             -1    4.25134e+09    3.59038e+11    2.47863e+10
    1.36068e-15    7.87567e+09    9.89121e+11    4.30035e+10
              1    1.40205e+10    2.03101e+12    6.99088e+10
              2     2.4122e+10    3.51134e+12    1.07396e+11
              3    4.02883e+10    5.44741e+12    1.57624e+11
              4    6.55508e+10    7.84474e+12    2.23251e+11
              5    1.04204e+11    1.06898e+13    3.07391e+11
              6    1.62249e+11    1.39562e+13    4.13356e+11
              7    2.47944e+11     1.7613e+13    5.44454e+11
              8    3.72516e+11    2.16263e+13    7.03869e+11
              9    5.51074e+11    2.59596e+13    8.94559e+11
             10    8.03728e+11    3.05772e+13    1.11923e+12
             11    1.15698e+12    3.54457e+13    1.38024e+12
             12    1.64549e+12    4.05331e+13    1.67955e+12
             13    2.31414e+12    4.58106e+13    2.01869e+12
             14    3.22065e+12    5.12519e+13    2.39879e+12
             15    4.43875e+12    5.68335e+13    2.82058e+12
             16     6.0619e+12     6.2534e+13    3.28442e+12
             17    8.20786e+12    6.83341e+13    3.79037e+12
             18    1.10241e+13    7.42168e+13    4.33816e+12
             19    1.46944e+13    8.01666e+13     4.9273e+12
