Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,B5_ImaginaryFrequency_1_P1->W1,W1_Energy_1_P1->W1,B4_ImaginaryFrequency_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1000.0,1.0000010268799717,0.0,-0.4827540520900813,0.0,0.0,0.009634703803854922,0.0,0.14133905418016582,-0.18362245667054142,0.0,-2.3567958649422063,0.0,-0.9409259331757791,1.6766556019284742,0.0,-0.05521060902354901,-0.01916176765058707,0.0,0.0,0.5032238871865548
10.0,1005.0,1.0000009893552206,0.0,-0.47968338716992337,0.0,0.0,0.009679927834514924,0.0,0.13978492657476138,-0.18241308085619598,0.0,-2.365622741221188,0.0,-0.9404601782329371,1.682449113153746,0.0,-0.05557607911320716,-0.01972597152135094,0.0,0.0,0.50072025790788
10.0,1010.0,1.0000009526968823,0.0,-0.4766486417643058,0.0,0.0,0.009723575146138199,0.0,0.13825477782963244,-0.18132478740539024,0.0,-2.374266620798551,0.0,-0.9399799174104243,1.688240441399844,0.0,-0.0559568443253167,-0.020279193030443447,0.0,0.0,0.49824141724678267
10.0,1015.0,1.0000009168848745,0.0,-0.47364920391417414,0.0,0.0,0.009765685641887817,0.0,0.13674812723547658,-0.1803541824280307,0.0,-2.382731613935034,0.0,-0.9394856462110063,1.6940288074984393,0.0,-0.05635240048859678,-0.02082167383250828,0.0,0.0,0.49578699886594096
10.0,1020.0,1.0000008818996518,0.0,-0.47068447524263474,0.0,0.0,0.009806298118580158,0.0,0.13526450597381431,-0.1794979698873664,0.0,-2.3910217228669604,0.0,-0.9389778449363728,1.699813463391396,0.0,-0.0567622587443718,-0.021353649295534283,0.0,0.0,0.4933566436111783
10.0,1025.0,1.0000008477221871,0.0,-0.467753870585261,0.0,0.0,0.00984545030153134,0.0,0.13380345676713423,-0.17875294845347783,0.0,-2.399140845106767,0.0,-0.9384569791910329,1.7055936909877147,0.0,-0.05718594504137517,-0.02187534869176858,0.0,0.0,0.49094999933626204
10.0,1030.0,1.0000008143339574,0.0,-0.46485681763228204,0.0,0.0,0.009883178878160594,0.0,0.13236453354096628,-0.17811600847042294,0.0,-2.4070927766281045,0.0,-0.9379235003676728,1.7113688010649049,0.0,-0.0576229996490863,-0.02238699538197992,0.0,0.0,0.4885667207328075
10.0,1035.0,1.0000007817169274,0.0,-0.46199275658221334,0.0,0.0,0.009919519530400647,0.0,0.13094730109741476,-0.17758412903249055,0.0,-2.4148812149400576,0.0,-0.937377846114736,1.7171381322129124,0.0,-0.05807297668884435,-0.02288880699333304,0.0,0.0,0.4862064691651102
10.0,1040.0,1.0000007498535348,0.0,-0.4591611398065094,0.0,0.0,0.009954506965962381,0.0,0.1295513347997152,-0.17715437516513283,0.0,-2.4225097620548386,0.0,-0.936820440786945,1.7229010498188129,0.0,-0.05853544368201683,-0.023380995591125376,0.0,0.0,0.48386891250974473
10.0,1045.0,1.000000718726676,0.0,-0.45636143152483255,0.0,0.0,0.009988174948499386,0.0,0.1281762202673861,-0.17682389510643476,0.0,-2.429981927353141,0.0,-0.9362516958794628,1.7286569450905498,0.0,-0.05900998111453696,-0.02386376784462532,0.0,0.0,0.4815537249997656
10.0,1050.0,1.0000006883196924,0.0,-0.453593107490553,0.0,0.0,0.010020556326715488,0.0,0.12682155308157736,-0.17658991768509952,0.0,-2.437301130351075,0.0,-0.9356720104463393,1.7344052341181124,0.0,-0.05949618201714798,-0.02433732518723834,0.0,0.0,0.4792605870733631
10.0,1055.0,1.000000658616357,0.0,-0.45085565468611244,0.0,0.0,0.010051683062457016,0.0,0.12548693850022444,-0.17644974979111763,0.0,-2.4444707033725686,0.0,-0.9350817715038894,1.7401453569705625,0.0,-0.05999365156072853,-0.02480186397122345,0.0,0.0,0.4769891852268201
10.0,1060.0,1.000000629600862,0.0,-0.44814857102788447,0.0,0.0,0.010081586257829539,0.0,0.12417199118263814,-0.17640077393548892,0.0,-2.4514938941308224,0.0,-0.9344813544195908,1.7458767768274583,0.0,-0.060502006666095245,-0.02525757561716742,0.0,0.0,0.4747392118716309
10.0,1065.0,1.0000006012578047,0.0,-0.4454713650802067,0.0,0.0,0.01011029618137668,0.0,0.12287633492317544,-0.17644044589547325,0.0,-2.458373868222337,0.0,-0.9338711232870871,1.7515989791432327,0.0,-0.06102087562771039,-0.02570464675841672,0.0,0.0,0.472510365195647
10.0,1070.0,1.0000005735721775,0.0,-0.44282355577824184,0.0,0.0,0.010137842293357747,0.0,0.12159960239365164,-0.17656629244203806,0.0,-2.465113711536828,0.0,-0.9332514312878407,1.7573114708431878,0.0,-0.061549897750743154,-0.026143259380660755,0.0,0.0,0.4703023490281117
10.0,1075.0,1.000000546529355,0.0,-0.4402046721593654,0.0,0.0,0.010164253270158793,0.0,0.12034143489416675,-0.1767759091463107,0.0,-2.471716432586258,0.0,-0.9326226210399652,1.7630137795497913,0.0,-0.062088723000958114,-0.026573590956849774,0.0,0.0,0.4681148727084674
10.0,1080.0,1.0000005201150837,0.0,-0.43761425310276825,0.0,0.0,0.01018955702787025,0.0,0.1191014821120347,-0.17706695826195246,0.0,-2.47818496475602,0.0,-0.9319850249347386,1.7687054528380666,0.0,-0.0626370116669319,-0.026995814577621704,0.0,0.0,0.46594765095880003
10.0,1085.0,1.0000004943154692,0.0,-0.4350518470769963,0.0,0.0,0.010213780745063279,0.0,0.11787940188851752,-0.17743716668053794,0.0,-2.484522168481213,0.0,-0.9313389654612811,1.7743860575188632,0.0,-0.06319443403411167,-0.02741009907740994,0.0,0.0,0.46380040375981746
10.0,1090.0,1.0000004691169688,0.0,-0.43251701189513586,0.0,0.0,0.010236950884795067,0.0,0.11667485999307246,-0.1778843239571355,0.0,-2.490730833350826,0.0,-0.9306847555198579,1.780055178948907,0.0,-0.06376067007025966,-0.027816609156390455,0.0,0.0,0.4616728562302353
10.0,1095.0,1.0000004445063786,0.0,-0.4300093144773875,0.0,0.0,0.010259093215872508,0.0,0.11548752990484357,-0.17840628040338433,0.0,-2.49681368014252,0.0,-0.9300226987242449,1.7857124203665318,0.0,-0.06433540912184021,-0.0282155054984246,0.0,0.0,0.4595647385094709
10.0,1100.0,1.0000004204708248,0.0,-0.4275283306207721,0.0,0.0,0.010280232833402242,0.0,0.11431709260113009,-0.17900094524552296,0.0,-2.5027733627905775,0.0,-0.9293530896935875,1.7913574022520613,0.0,-0.06491834962092885,-0.028606944885146424,0.0,0.0,0.4574757856435365
10.0,1105.0,1.0000003969977542,0.0,-0.42507364477571236,0.0,0.0,0.010300394178653607,0.0,0.11316323635257756,-0.17966628484487757,0.0,-2.5086124702895196,0.0,-0.9286762143341473,1.796989761711872,0.0,-0.06550919880223927,-0.028991080306335553,0.0,0.0,0.45540573747402757
10.0,1110.0,1.000000374074925,0.0,-0.42264484982926653,0.0,0.0,0.010319601058260663,0.0,0.11202565652485307,-0.18040032097846978,0.0,-2.5143335285357264,0.0,-0.9279923501113316,1.8026091518851663,0.0,-0.06610767242988021,-0.029368061066712945,0.0,0.0,0.4533543385301147
10.0,1115.0,1.000000351690398,0.0,-0.42024154689477816,0.0,0.0,0.010337876662787546,0.0,0.11090405538656592,-0.1812011291774584,0.0,-2.5199390021093717,0.0,-0.9273017663123732,1.8082152413725734,0.0,-0.06671349453347288,-0.02973803288929052,0.0,0.0,0.4513213379234404
10.0,1120.0,1.0000003298325273,0.0,-0.4178633451077222,0.0,0.0,0.01035524358468095,0.0,0.10979814192321578,-0.1820668371212863,0.0,-2.5254312959988257,0.0,-0.9266047243000135,1.8138077136857087,0.0,-0.06732639715327556,-0.030101138015399386,0.0,0.0,0.4493064892458295
10.0,1125.0,1.0000003084899531,0.0,-0.41550986142754637,0.0,0.0,0.01037172383563232,0.0,0.10870763165694966,-0.18299562308539563,0.0,-2.53081275726963,0.0,-0.9259014777575364,1.8193862667168534,0.0,-0.06794612009397055,-0.030457515301517798,0.0,0.0,0.44730955046973053
10.0,1130.0,1.000000287651593,0.0,-0.413180720445294,0.0,0.0,0.010387338863371577,0.0,0.10763224647192315,-0.1839857144405894,0.0,-2.536085676680062,0.0,-0.9251922729254723,1.8249506122279848,0.0,-0.06857241068679197,-0.030807300313013698,0.0,0.0,0.4453302838512973
10.0,1135.0,1.0000002673066344,0.0,-0.41087555419682,0.0,0.0,0.010402109567913067,0.0,0.1065717144450672,-0.18503538620205476,0.0,-2.541252290245192,0.0,-0.9244773488302879,1.830500475358373,0.0,-0.06920502355968003,-0.031150625414914854,0.0,0.0,0.44336845583603407
10.0,1140.0,1.0000002474445262,0.0,-0.40859400198141477,0.0,0.0,0.010416056317273865,0.0,0.1055257696820726,-0.18614295962628113,0.0,-2.5463147807513113,0.0,-0.9237569375053617,1.8360355941500428,0.0,-0.06984372041516083,-0.03148761985980887,0.0,0.0,0.441423836966923
10.0,1145.0,1.000000228054973,0.0,-0.40633571018564896,0.0,0.0,0.010429198962683425,0.0,0.10449415215840471,-0.18730680085407173,0.0,-2.5512752792224704,0.0,-0.9230312642045322,1.8415557190903924,0.0,-0.0704882698156697,-0.03181840987298035,0.0,0.0,0.439496201794959
10.0,1150.0,1.0000002091279268,0.0,-0.40410033211227164,0.0,0.0,0.010441556853303282,0.0,0.10347660756517978,-0.18852531959797414,0.0,-2.556135866340887,0.0,-0.9223005476084946,1.8470606126713034,0.0,-0.0711384469760333,-0.032143118734879385,0.0,0.0,0.43758532879201784
10.0,1155.0,1.0000001906535805,0.0,-0.4018875278139943,0.0,0.0,0.010453148850474183,0.0,0.10247288715972686,-0.18979696787253322,0.0,-2.5608985738227936,0.0,-0.9215650000243095,1.8525500489641098,0.0,-0.07179403356285707,-0.03246186686101806,0.0,0.0,0.43569100026598884
