Pressure (atm),Temperature (K),colrel_FactorOne_P3->P4,colrel_FactorOne_P3->P5,colrel_FactorOne_P3->W3,colrel_FactorOne_P4->P5,colrel_FactorOne_P1->P3,colrel_FactorOne_W3->P5,colrel_FactorOne_W3->P4,colrel_FactorOne_W3->P1,colrel_FactorOne_W3->P3,colrel_FactorOne_P5->W3,colrel_FactorOne_P1->W3,colrel_FactorOne_P4->W3,colrel_FactorOne_P1->P4,colrel_FactorOne_P1->P5
0.1,200.0,-1.0717444978475705,-0.0004730835542483193,0.09096534210266387,-0.0004987428692657862,0.37611644538307404,22.304818272139237,0.00010480083242191059,0.9953997146433887,0.09096764102309564,22.30481398763022,0.9954199723802823,8.921391055178633e-05,-0.250169897639862,0.00012885915201946288
0.1,210.0,-1.11402377202549,-0.000380585895685571,0.04101360949742104,-0.00046999274210270385,0.2993104326138711,21.704192588051843,-0.0009701819901557677,1.008594657032876,0.04102029258625049,21.704209037846788,1.0086073065362229,-0.0010067831568607156,-0.23065130423902236,0.0001509186275331618
0.1,220.0,-1.1412708419847153,-0.0004313919979718467,0.036347226303007255,-0.0004695409326109573,0.23633868986652362,21.043187149677077,0.00477536433572764,1.032104220162271,0.03639738950721353,21.04313889703079,1.0320773217057626,0.00471791205672922,-0.21218762684667367,0.00016134584761984367
0.1,230.0,-1.1574816740868288,-0.00034500103060644864,-0.02701184732689927,-0.00042567566672827115,0.18221662303829902,20.726034667900013,-0.007787872724447618,1.0276677925587188,-0.027094719802938965,20.72608013063464,1.0277002425937265,-0.007718895485091341,-0.19481550178803447,0.00017545067900052972
0.1,240.0,-1.16306566626156,-0.0003065154366529122,-0.007147837649767798,-0.0003914213645477324,0.13816373857964814,20.661583142544803,0.003767848593561816,1.0557083643203162,-0.007161013940312794,20.661574867000894,1.0556877233671393,0.0037565859660888714,-0.17819929852157185,0.0001586637618588625
0.1,250.0,-1.170567142359131,-0.00029791098775672616,0.006420561429653409,-0.0003652072144638895,0.1018566367940196,20.957905912417104,0.00809968168009217,1.0754023765588687,0.006453733919030517,20.957871511656016,1.0753743856786195,0.008043610566939604,-0.16256381076071807,0.00015306796333009042
0.1,260.0,-1.1753766281122326,-0.00028634918028509304,-0.008872036750873396,-0.0003407124763293729,0.07139002482739121,21.357565744256796,0.003669305909654535,1.0810757270189395,-0.008868132528697082,21.357563530623857,1.0810926159024004,0.0036537590810459724,-0.1479239166957397,0.00016627096618283883
0.1,270.0,-1.1727091819412505,-0.00026613217170995797,-0.028221291821528688,-0.00031707244163592017,0.04602427812322877,21.543710234286387,0.0009681743442597505,1.0856813848788007,-0.028260391187121287,21.543744503406966,1.085736033804313,0.0010091827901366865,-0.13415552147936835,0.00018476341864665443
0.1,280.0,-1.1635914464542387,-0.00024352718354727585,-0.03165537619056352,-0.00029526532303653964,0.025560894388882437,21.360581668410813,0.0047164493016756005,1.096950519731668,-0.03170571541413186,21.36062258965005,1.097006483328693,0.004779306864042042,-0.12116282507895718,0.000197293107027974
0.1,290.0,-1.1513010887292936,-0.00022396283529360896,-0.017177361679154773,-0.00027562015277343124,0.009793064162193572,20.821608563387024,0.01313605262769377,1.1139981901369174,-0.017205689078880378,20.82162918889764,1.1140275776674913,0.013182613679160241,-0.10892781092220437,0.00020109819037678788
