*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
         1395           10  1.93171e+10      65.4344     0.911332     0.998374     0.964894     0.998706
         1400           10  1.92717e+10      17.0179      2.14159     0.999759      2.29935     0.999821
         1405           10  1.92266e+10      9.98788      3.30679     0.999934      3.31745      0.99993
         1410           10  1.91817e+10      68.3059     0.918998     0.998423     0.969524      0.99874
         1415           10  1.91371e+10      18.6604      2.12271     0.999759      2.26732     0.999819
         1420           10  1.90928e+10        11.24      3.03718      0.99991      3.20471      0.99993
         1425           10  1.90488e+10      74.4415     0.901763      0.99838      0.95297     0.998707
         1430           10   1.9005e+10      22.0443      1.99022     0.999723      2.11563     0.999789
         1435           10  1.89615e+10      102.563       1.3205     0.998177      1.36622      0.99773
         1440           10  1.89182e+10      83.9705     0.867073     0.998257     0.919359     0.998614
         1445           10  1.88752e+10      27.8087      1.75904     0.999637      1.85744     0.999718
         1450           10  1.88325e+10      118.023      2.98157     0.998005      3.31825     0.997501
         1455           10    1.879e+10      48.8186      1.24089     0.999218      1.32039     0.999393
         1460           10  1.87477e+10      36.3211      1.53828     0.999514      1.62415     0.999621
         1465           10  1.87057e+10      139.312      5.66266     0.997749      6.50834     0.997189
         1470           10   1.8664e+10      63.1588      1.09688      0.99899      1.15817     0.999201
         1475           10  1.86224e+10      16.7732      2.83899       0.9999      2.92649     0.999918
         1480           10  1.85812e+10       10.133      3.85528     0.999964      4.11429     0.999974
         1485           10  1.85401e+10      82.5252     0.960096     0.998665       1.0128     0.998935
         1490           10  1.84993e+10      27.5639      2.03932     0.999759      2.14616     0.999813
         1495           10  1.84588e+10      128.152      3.16795     0.998234      3.53378     0.997781
         1500           10  1.84184e+10      108.404     0.904051     0.998235     0.947968     0.998599
         1505           10  1.83783e+10      43.8364      1.51345     0.999522      1.61226     0.999634
         1510           10  1.83384e+10      166.453      8.84787     0.997766      10.2839     0.997203
         1515           10  1.82988e+10      143.341      4.71415     0.998156      5.37743      0.99769
         1520           10  1.82593e+10      67.0371       1.1783     0.999179      1.24398     0.999353
         1525           10  1.82201e+10      19.4868      2.94943     0.999917      3.07664     0.999935
         1530           10  1.81811e+10       117.14       1.1202     0.998322      1.13274     0.998667
         1535           10  1.81424e+10      98.9832     0.947257     0.998685      1.00722     0.998963
         1540           10  1.81038e+10      38.4957       1.8214     0.999702      1.92448     0.999769
         1545           10  1.80654e+10      164.721      7.01271     0.998119       8.0728      0.99763
         1550           10  1.80273e+10      82.0593      1.09779     0.999069      1.16586      0.99927
         1555           10  1.79894e+10      67.3835      1.27423     0.999332      1.34292     0.999473
         1560           10  1.79516e+10      20.0868      3.14364     0.999936      3.35518     0.999954
         1565           10  1.79141e+10      126.722      1.37077     0.998759      1.39753     0.998436
         1570           10  1.78768e+10      57.0194      1.48188     0.999533      1.55423     0.999631
         1575           10  1.78397e+10      44.8672      1.77552     0.999695      1.88549     0.999767
         1580           10  1.78027e+10      189.345      10.0319     0.998108      11.6788     0.997619
