*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.237699    0.0372647     0.539757    0.0372653     0.539757
          210            1   8.5712e+09     0.269936    0.0442497     0.578591    0.0442498     0.578591
          220            1  8.18776e+09     0.276011    0.0464832     0.594238    0.0464836     0.594238
          230            1  7.84104e+09     0.305952    0.0577881     0.647224    0.0577893     0.647224
          240            1  7.52624e+09     0.289777     0.052036      0.63074    0.0520369      0.63074
          250            1  7.23933e+09     0.313979    0.0630698     0.677767    0.0630704     0.677767
          260            1  6.97686e+09     0.366703    0.0783605     0.721567     0.078361     0.721567
          270            1  6.73594e+09     0.392553    0.0931608     0.757862    0.0931614     0.757862
          280            1  6.51405e+09     0.385513    0.0877586     0.753139    0.0877589     0.753139
          290            1  6.30905e+09     0.392879    0.0978835     0.779658    0.0978846     0.779658
          300            1  6.11911e+09     0.380635    0.0856731     0.756126    0.0856741     0.756126
          310            1  5.94261e+09     0.469732     0.123153     0.819853     0.123153     0.819853
          320            1  5.77817e+09     0.468626     0.123851     0.823867     0.123851     0.823867
          330            1  5.62457e+09     0.488851     0.137831      0.83213     0.137832      0.83213
          340            1  5.48076e+09     0.483705     0.133791     0.842055     0.133791     0.842055
          350            1  5.34581e+09     0.362626     0.110338     0.832317     0.110339     0.832317
          360            1  5.21891e+09     0.497628     0.146814     0.862907     0.146814     0.862907
          370            1  5.09932e+09     0.479132     0.171313     0.892079     0.171313     0.892079
          380            1  4.98641e+09     0.487723     0.136064     0.851839     0.136065     0.851839
          390            1  4.87962e+09     0.486264     0.138298      0.86071     0.138298      0.86071
          400            1  4.77844e+09     0.460836     0.176103     0.904718     0.176104     0.904718
          410            1  4.68243e+09     0.405358     0.179863     0.920911     0.179864     0.920911
          420            1  4.59116e+09     0.490743      0.17014     0.899047     0.170141     0.899047
          430            1   4.5043e+09      0.69281     0.247312     0.933547     0.247312     0.933547
          440            1   4.4215e+09     0.416528     0.181346     0.924031     0.181346     0.924031
          450            1  4.34248e+09     0.432399     0.183312     0.923469     0.183313     0.923469
          460            1  4.26697e+09     0.418856     0.181984     0.926376     0.181984     0.926376
          470            1  4.19473e+09     0.790195     0.280509     0.950285      0.28051     0.950285
          480            1  4.12555e+09     0.475154     0.179986     0.918014     0.179986     0.918014
          490            1  4.05921e+09      1.08237     0.290855     0.955245     0.290856     0.955245
          500            1  3.99555e+09      0.88647     0.301106     0.960249     0.301107     0.960249
          510            1   3.9344e+09     0.685584     0.248248     0.943186     0.248249     0.943186
          520            1  3.87559e+09     0.806886     0.285947     0.956717     0.285947     0.956717
          530            1  3.81901e+09      1.04223     0.312867      0.96815     0.312868      0.96815
          540            1   3.7645e+09     0.854945     0.295474     0.961308     0.295475     0.961308
          550            1  3.71197e+09     0.797985     0.286884     0.959019     0.286885     0.959019
          560            1  3.66129e+09      1.31564     0.312287     0.975932     0.312287     0.975932
          570            1  3.61237e+09     0.847656     0.296122     0.963201     0.296123     0.963201
          580            1  3.56511e+09     0.884165     0.301363     0.965626     0.301363     0.965626
          590            1  3.51942e+09      1.73339     0.276304     0.980771     0.276305     0.980771
          600            1  3.47524e+09     0.996472     0.314173     0.971268     0.314174     0.971268
          610            1  3.43247e+09      1.27152      0.31636     0.977678      0.31636     0.977678
          620            1  3.39105e+09      1.48766     0.307287     0.980886     0.307288     0.980886
          630            1  3.35091e+09      9.87997     0.541363     0.987626     0.541365     0.987626
          640            1    3.312e+09      2.24647     0.237441     0.986345     0.237441     0.986345
          650            1  3.27425e+09      2.68797     0.183923     0.987368     0.183924     0.987368
          660            1  3.23761e+09      1.30635       0.3197     0.980336     0.319701     0.980336
          670            1  3.20203e+09     0.975461      0.31695     0.974322      0.31695     0.974322
          680            1  3.16747e+09      27.8031      0.54128     0.988967     0.541281     0.988967
