 In this file all energies are in cm-1, temperatures  in K,
 lengths in Angstroms, and angles in degrees

 *** Intermediate TS results for: 
  effective state 1 in electronic state  1 of channel  1 ***

 Ndag for J =    2
     E     Ndag(E,J) IRdag   
      0.0 0.4128E-01    1
     50.0 0.5738E-01    1
    100.0 0.7821E-01    1
    150.0 0.1043        1
    200.0 0.1371        1
    250.0 0.1778        1
    300.0 0.2294        1
    350.0 0.2929        1
    400.0 0.3711        1
    450.0 0.4658        1
    500.0 0.5795        1
    550.0 0.7145        1
    600.0 0.8719        1
    650.0  1.055        1
    700.0  1.266        1
    750.0  1.506        1
    800.0  1.778        1
    850.0  2.082        1
    900.0  2.420        1
    950.0  2.794        1
   1000.0  3.206        1
   1050.0  3.656        1
   1100.0  4.148        1
   1150.0  4.685        1
   1200.0  5.268        1
   1250.0  5.900        1
   1300.0  6.584        1
   1350.0  7.324        1
   1400.0  8.122        1
   1450.0  8.980        1
   1500.0  9.901        1
   1550.0  10.89        1
   1600.0  11.94        1
   1650.0  13.06        1
   1700.0  14.25        1
   1750.0  15.52        1
   1800.0  16.86        1
   1850.0  18.28        1
   1900.0  19.78        1
   1950.0  21.37        1
   2000.0  23.05        1
   2050.0  24.83        1
   2100.0  26.71        1
   2150.0  28.69        1
   2200.0  30.78        1
   2250.0  32.99        1
   2300.0  35.31        1
   2350.0  37.75        1
   2400.0  40.33        1
   2450.0  43.03        1
   2500.0  45.87        1
   2550.0  48.84        1
   2600.0  51.96        1
   2650.0  55.22        1
   2700.0  58.62        1
   2750.0  62.18        1
   2800.0  65.90        1
   2850.0  69.78        1
   2900.0  73.82        1
   2950.0  78.04        1
   3000.0  82.43        1
   3050.0  87.01        1
   3100.0  91.77        1
   3150.0  96.73        1
   3200.0  101.9        1
   3250.0  107.2        1
   3300.0  112.8        1
   3350.0  118.6        1
   3400.0  124.5        1
   3450.0  130.7        1
   3500.0  137.2        1
   3550.0  143.8        1
   3600.0  150.7        1
   3650.0  157.8        1
   3700.0  165.2        1
   3750.0  172.8        1
   3800.0  180.7        1
   3850.0  188.8        1
   3900.0  197.3        1
   3950.0  206.0        1
   4000.0  215.0        1
   4050.0  224.3        1
   4100.0  233.9        1
   4150.0  243.9        1
   4200.0  254.2        1
   4250.0  264.8        1
   4300.0  275.7        1
   4350.0  287.0        1
   4400.0  298.7        1
   4450.0  310.7        1
   4500.0  323.1        1
   4550.0  335.8        1
   4600.0  349.0        1
   4650.0  362.6        1
   4700.0  376.6        1
   4750.0  391.0        1
   4800.0  405.8        1
   4850.0  421.1        1
   4900.0  436.8        1
   4950.0  453.0        1
   5000.0  469.6        1
   5050.0  486.7        1
   5100.0  504.3        1
   5150.0  522.4        1
   5200.0  541.0        1
   5250.0  560.1        1
   5300.0  579.7        1
   5350.0  599.8        1
   5400.0  620.5        1
   5450.0  641.7        1
   5500.0  663.5        1
   5550.0  685.9        1
   5600.0  708.8        1
   5650.0  732.4        1
   5700.0  756.6        1
   5750.0  781.4        1
   5800.0  806.8        1
   5850.0  832.9        1
   5900.0  859.7        1
   5950.0  887.1        1
   6000.0  915.2        1
   6050.0  944.0        1
   6100.0  973.5        1
   6150.0  1004.        1
   6200.0  1035.        1
   6250.0  1067.        1
   6300.0  1099.        1
   6350.0  1132.        1
   6400.0  1166.        1
   6450.0  1201.        1
   6500.0  1237.        1
   6550.0  1273.        1
   6600.0  1311.        1
   6650.0  1349.        1
   6700.0  1388.        1
   6750.0  1428.        1
   6800.0  1469.        1
   6850.0  1511.        1
   6900.0  1553.        1
   6950.0  1597.        1
   7000.0  1642.        1
   7050.0  1687.        1
   7100.0  1734.        1
   7150.0  1781.        1
   7200.0  1830.        1
   7250.0  1879.        1
   7300.0  1930.        1
   7350.0  1982.        1
   7400.0  2034.        1
   7450.0  2088.        1
   7500.0  2143.        1
   7550.0  2199.        1
   7600.0  2257.        1
   7650.0  2315.        1
   7700.0  2375.        1
   7750.0  2436.        1
   7800.0  2498.        1
   7850.0  2561.        1
   7900.0  2625.        1
   7950.0  2691.        1
   8000.0  2758.        1
   8050.0  2827.        1
   8100.0  2897.        1
   8150.0  2968.        1
   8200.0  3040.        1
   8250.0  3114.        1
   8300.0  3189.        1
   8350.0  3266.        1
   8400.0  3344.        1
   8450.0  3424.        1
   8500.0  3505.        1
   8550.0  3588.        1
   8600.0  3672.        1
   8650.0  3758.        1
   8700.0  3845.        1
   8750.0  3934.        1
   8800.0  4025.        1
   8850.0  4117.        1
   8900.0  4211.        1
   8950.0  4307.        1
   9000.0  4404.        1
   9050.0  4503.        1
   9100.0  4604.        1
   9150.0  4706.        1
   9200.0  4811.        1
   9250.0  4917.        1
   9300.0  5025.        1
   9350.0  5135.        1
   9400.0  5247.        1
   9450.0  5360.        1
   9500.0  5476.        1
   9550.0  5594.        1
   9600.0  5713.        1
   9650.0  5835.        1
   9700.0  5959.        1
   9750.0  6084.        1
   9800.0  6212.        1
   9850.0  6342.        1
   9900.0  6475.        1
   9950.0  6609.        1
  10000.0  6746.        1
  10050.0  6884.        1
  10100.0  7025.        1
  10150.0  7169.        1
  10200.0  7315.        1
  10250.0  7463.        1
  10300.0  7613.        1
  10350.0  7766.        1
  10400.0  7921.        1
  10450.0  8079.        1
  10500.0  8239.        1
  10550.0  8401.        1
  10600.0  8566.        1
  10650.0  8734.        1
  10700.0  8905.        1
  10750.0  9077.        1
  10800.0  9253.        1
  10850.0  9431.        1
  10900.0  9612.        1
  10950.0  9796.        1
  11000.0  9983.        1
  11050.0 0.1017E+05    1
  11100.0 0.1036E+05    1
  11150.0 0.1056E+05    1
  11200.0 0.1076E+05    1
  11250.0 0.1096E+05    1
  11300.0 0.1116E+05    1
  11350.0 0.1137E+05    1
