========================================
singlet_colrel_FactorOne_0.1.out
0.1 atm
T,P1->W3
200.0,1.81653e-13
210.0,1.49511e-13
220.0,1.23868e-13
230.0,1.0335e-13
240.0,8.675e-14
250.0,7.32803e-14
260.0,6.21874e-14
270.0,5.31311e-14
280.0,4.55802e-14
290.0,3.92472e-14
300.0,3.40053e-14
310.0,2.95494e-14
320.0,2.57717e-14
330.0,2.25399e-14
340.0,1.98376e-14
350.0,1.74961e-14
360.0,1.54936e-14
370.0,1.379e-14
380.0,1.22371e-14
390.0,1.09989e-14
400.0,9.85253e-15
410.0,8.91581e-15
420.0,8.11711e-15
430.0,7.37344e-15
440.0,6.63801e-15
450.0,6.09157e-15
460.0,5.48108e-15
470.0,5.02981e-15
480.0,4.57942e-15
490.0,4.1352e-15
500.0,3.76607e-15
510.0,3.41347e-15
520.0,3.14006e-15
530.0,2.87926e-15
540.0,2.60593e-15
550.0,2.36103e-15
560.0,2.16604e-15
570.0,1.96862e-15
580.0,1.79096e-15
590.0,1.64769e-15
600.0,1.50123e-15
610.0,1.36604e-15
620.0,1.25036e-15
630.0,1.14326e-15
640.0,1.0496e-15
650.0,9.70817e-16
660.0,8.94075e-16
670.0,8.26682e-16
680.0,7.55679e-16
690.0,7.02164e-16
700.0,6.54435e-16
800.0,3.47115e-16
900.0,2.28455e-16
1000.0,2.03733e-16
1100.0,2.51467e-16
1200.0,3.23276e-16
1300.0,3.42647e-16
1400.0,4.56234e-16
1500.0,4.80311e-16
1600.0,5.83408e-16
1700.0,6.68971e-16
1800.0,6.87599e-16
1900.0,8.38918e-16
2000.0,9.10257e-16
2100.0,1.00863e-15
2200.0,9.76644e-16
2300.0,1.10408e-15
2400.0,1.25369e-15
2500.0,1.2448e-15
2600.0,1.29859e-15
2700.0,1.28936e-15
2800.0,1.27912e-15
2900.0,1.26732e-15
3000.0,1.25319e-15
========================================
singlet_colrel_FactorOne_0.1.out
0.5 atm
T,P1->W3
200.0,6.19466e-13
210.0,5.19105e-13
220.0,4.37439e-13
230.0,3.70795e-13
240.0,3.1595e-13
250.0,2.70522e-13
260.0,2.32701e-13
270.0,2.01086e-13
280.0,1.74459e-13
290.0,1.5194e-13
300.0,1.32874e-13
