    E, kcal/mol    D, mol/kcal         W1->P1
              0              0            ***
            0.1        419.378    6.76348e-28
            0.2        419.378    1.49253e-27
            0.3        419.378    3.15368e-27
            0.4        419.378    6.43717e-27
            0.5        419.378     1.2769e-26
            0.6        419.378     2.4721e-26
            0.7        419.378    4.68636e-26
            0.8        419.378    8.72057e-26
            0.9        419.378    1.59588e-25
              1        419.378     2.8765e-25
            1.1        419.378    5.11318e-25
            1.2        419.378    8.97335e-25
            1.3        419.378     1.5562e-24
            1.4        419.378    2.66919e-24
            1.5        419.378    4.53122e-24
            1.6        419.378    7.61818e-24
            1.7        1331.02     3.9991e-24
            1.8        1258.13     6.9886e-24
            1.9        1258.13    1.14511e-23
              2        1258.13    1.86199e-23
            2.1        1258.13    3.00574e-23
            2.2        1258.13    4.81869e-23
            2.3        1258.13    7.67451e-23
            2.4        1258.13    1.21465e-22
            2.5        1258.13    1.91096e-22
            2.6        1258.13     2.9893e-22
            2.7        1258.13    4.65058e-22
            2.8        1258.13    7.19719e-22
            2.9        1258.13    1.10823e-21
              3        1258.13    1.69822e-21
            3.1        1258.13    2.59022e-21
            3.2        1258.13    3.93305e-21
            3.3        1258.13    5.94629e-21
            3.4        2523.67     4.4632e-21
            3.5        2516.27    6.71243e-21
            3.6        2516.27    1.00265e-20
            3.7        2935.65     1.2789e-20
            3.8        2935.64    1.89625e-20
            3.9        2935.64    2.80171e-20
              4        2935.64    4.12541e-20
            4.1        2935.64    6.05443e-20
            4.2        2935.64    8.85696e-20
            4.3        2935.64    1.29164e-19
            4.4        2935.64    1.87795e-19
            4.5        2935.64    2.72237e-19
            4.6        2935.64    3.93521e-19
            4.7        2935.64    5.67255e-19
            4.8        2935.64    8.15476e-19
            4.9        2935.64    1.16922e-18
              5        2935.64    1.67211e-18
            5.1         4611.6    1.51843e-18
            5.2        4613.15    2.16006e-18
            5.3        4613.15    3.06651e-18
            5.4         5451.9    3.67503e-18
            5.5        5451.91    5.19326e-18
            5.6        5451.91    7.32242e-18
            5.7        5451.91    1.03021e-17
            5.8        5451.91    1.44635e-17
            5.9        5451.91    2.02638e-17
              6        5451.91    2.83326e-17
            6.1        5451.91    3.95357e-17
            6.2        5451.91    5.50613e-17
            6.3        5451.91    7.65379e-17
            6.4        5451.91    1.06193e-16
            6.5        5871.22    1.36566e-16
            6.6        5871.29    1.88793e-16
            6.7        5871.29    2.60539e-16
            6.8        7967.86    2.64485e-16
            6.9        7968.17    3.63738e-16
              7        7968.17    4.99429e-16
            7.1         9226.3    5.91266e-16
            7.2        9226.31    8.09224e-16
            7.3        9226.31    1.10579e-15
            7.4        9645.68    1.44313e-15
            7.5        9645.68    1.96601e-15
            7.6        9645.68    2.67438e-15
            7.7        9645.68    3.63266e-15
            7.8        9645.68    4.92724e-15
            7.9        9645.68    6.67377e-15
              8        9645.68    9.02685e-15
            8.1        9645.68     1.2193e-14
            8.2        10484.4    1.51317e-14
            8.3        10484.4    2.03847e-14
            8.4        10484.4    2.74258e-14
            8.5        13000.7    2.97191e-14
            8.6        13000.7    3.98831e-14
            8.7        13000.7    5.34569e-14
            8.8        14678.2    6.33844e-14
            8.9        14678.2    8.47513e-14
              9        14678.2    1.13187e-13
            9.1          15517    1.42826e-13
            9.2          15517    1.90305e-13
            9.3          15517    2.53282e-13
            9.4          15517    3.36724e-13
            9.5          15517    4.47163e-13
            9.6          15517     5.9318e-13
            9.7          15517    7.86037e-13
            9.8          15517     1.0405e-12
            9.9        16775.1    1.27271e-12
             10        16775.1    1.68125e-12
           10.1        16775.1    2.21868e-12
           10.2        20130.1    2.43748e-12
           10.3        20130.1    3.21027e-12
           10.4        20130.1    4.22396e-12
           10.5          22227    5.02859e-12
           10.6          22227    6.60383e-12
           10.7          22227    8.66441e-12
           10.8        23485.1     1.0749e-11
           10.9        23485.1    1.40771e-11
             11        23485.1    1.84191e-11
           11.1        23904.5    2.36564e-11
           11.2        23904.5    3.08983e-11
           11.3        23904.5    4.03221e-11
           11.4        23904.5     5.2575e-11
           11.5        23904.5     6.8493e-11
           11.6          25582    8.33095e-11
           11.7          25582    1.08352e-10
           11.8          25582    1.40807e-10
           11.9        29775.8    1.57084e-10
             12        29775.8    2.03808e-10
           12.1        29775.8     2.6422e-10
           12.2        32292.1    3.15601e-10
           12.3        32292.1    4.08514e-10
           12.4        32292.1    5.28376e-10
           12.5        33969.6    6.49167e-10
           12.6        33969.6    8.38376e-10
           12.7        33969.6    1.08193e-09
           12.8        34808.3     1.3616e-09
           12.9        34808.3    1.75459e-09
             13        35227.7    2.23249e-09
           13.1        35227.7    2.87274e-09
           13.2        35227.7    3.69401e-09
           13.3        37324.6    4.48009e-09
           13.4        37324.6    5.75291e-09
           13.5        37324.6     7.3823e-09
           13.6        42357.1    8.34203e-09
           13.7        42357.1    1.06904e-08
           13.8        42357.1    1.36907e-08
           13.9        45712.2    1.62357e-08
             14        45712.2    2.07654e-08
           14.1        45712.2    2.65417e-08
           14.2          47809    3.24162e-08
