    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    1.12545e+07              0              0    2.42849e-28
              1    5.61241e+07              0    1.03535e+12    1.04107e-25
              2    1.80295e+08              0    3.89136e+12    1.50775e-23
              3    4.40019e+08              0    9.41213e+12    1.29477e-21
              4    9.44479e+08              0    1.81578e+13    7.56237e-20
              5    1.81952e+09              0     3.1494e+13    3.40537e-18
              6    3.26056e+09              0    5.07602e+13    1.24391e-16
              7      5.519e+09              0     7.7859e+13    3.84069e-15
              8    8.92625e+09              0       1.15e+14    1.03058e-13
              9    1.39248e+10              0    1.64653e+14    2.45018e-12
             10    2.10286e+10              0    2.30328e+14    5.25518e-11
             11    3.09327e+10              0    3.15535e+14    1.02783e-09
             12    4.44296e+10              0    4.25084e+14    1.85353e-08
             13    6.25204e+10              0    5.64205e+14    3.10565e-07
             14    8.63899e+10              0    7.39212e+14    4.86779e-06
             15    1.17435e+11              0    9.57546e+14    7.17883e-05
             16    1.57341e+11              0    1.22757e+15     0.00100075
             17    2.08013e+11              0     1.5595e+15      0.0132455
             18    2.71729e+11              0    1.96462e+15       0.167029
             19    3.51065e+11              0    2.45634e+15         2.0134
             20    4.49002e+11              0    3.04986e+15        23.2642
             21    5.68951e+11              0    3.76252e+15         258.29
             22    7.14747e+11              0    4.61437e+15        2758.25
             23    8.90784e+11              0    5.62785e+15        27965.4
             24    1.10194e+12              0    6.82886e+15         236073
             25    1.35375e+12              0    8.24641e+15    1.15161e+06
             26    1.65235e+12              0    9.91344e+15    3.37698e+06
             27    2.00457e+12              0    1.18671e+16    7.57678e+06
             28    2.41805e+12              0    1.41488e+16    1.44212e+07
             29    2.90116e+12              0    1.68056e+16    2.46504e+07
             30    3.46322e+12              0    1.98897e+16    3.90014e+07
             31     4.1144e+12              0    2.34596e+16    5.81873e+07
             32    4.86591e+12              0    2.75808e+16    8.28827e+07
             33    5.73002e+12              0    3.23257e+16    1.13664e+08
             34    6.72011e+12              0    3.77753e+16    1.51048e+08
             35     7.8508e+12              0     4.4019e+16      1.955e+08
             36    9.13794e+12              0    5.11564e+16    2.47409e+08
             37    1.05988e+13              0     5.9297e+16    3.07094e+08
             38     1.2252e+13              0    6.85622e+16    3.74784e+08
             39    1.41178e+13              0    7.90858e+16    4.50658e+08
             40    1.62179e+13              0    9.10148e+16    5.34832e+08
             41    1.85758e+13              0    1.04511e+17    6.27369e+08
             42    2.12169e+13              0    1.19753e+17    7.28283e+08
             43    2.41683e+13              0    1.36934e+17    8.37535e+08
             44    2.74592e+13              0    1.56269e+17    9.55047e+08
             45    3.11207e+13              0    1.77991e+17    1.08071e+09
             46    3.51862e+13              0    2.02356e+17    1.21439e+09
             47    3.96916e+13              0     2.2964e+17    1.35591e+09
             48    4.46748e+13              0    2.60148e+17     1.5051e+09
             49    5.01766e+13              0    2.94211e+17    1.66173e+09
             50    5.62402e+13              0    3.32188e+17    1.82559e+09
             51    6.29115e+13              0    3.74469e+17    1.99645e+09
             52    7.02395e+13              0    4.21478e+17    2.17406e+09
             53     7.8276e+13              0    4.73675e+17    2.35818e+09
             54    8.70762e+13              0    5.28228e+17    2.54855e+09
             55    9.66981e+13              0    5.74769e+17    2.74491e+09
             56    1.07203e+14              0    6.10816e+17      2.947e+09
             57    1.18658e+14              0    6.84893e+17    3.15457e+09
             58    1.31129e+14              0    7.11484e+17    3.36736e+09
             59    1.44691e+14              0    7.93954e+17    3.58512e+09
             60     1.5942e+14              0     8.1795e+17    3.80759e+09
             61    1.75397e+14              0    8.67501e+17    4.03452e+09
             62    1.92706e+14              0    9.20019e+17    4.26569e+09
             63    2.11438e+14              0    9.92819e+17    4.50085e+09
             64    2.31687e+14              0    1.02375e+18    4.73976e+09
             65    2.53551e+14              0    1.03714e+18    4.98221e+09
             66    2.77134e+14              0    1.15552e+18    5.22797e+09
             67    3.02545e+14              0     1.1026e+18    5.47684e+09
             68    3.29899e+14              0     1.1405e+18    5.72861e+09
             69    3.59315e+14              0    1.18559e+18    5.98307e+09
             70    3.90918e+14              0    1.18308e+18    6.24005e+09
             71    4.24841e+14              0    1.23646e+18    6.49934e+09
             72    4.61219e+14              0    1.22861e+18    6.76078e+09
             73    5.00197e+14              0    1.27326e+18    7.02419e+09
             74    5.41924e+14              0    1.28868e+18    7.28941e+09
             75    5.86557e+14              0    1.27231e+18    7.55627e+09
             76     6.3426e+14              0    1.37161e+18    7.82463e+09
             77    6.85202e+14              0     1.3043e+18    8.09434e+09
             78    7.39562e+14              0    1.32129e+18    8.36525e+09
             79    7.97524e+14              0    1.37338e+18    8.63723e+09
             80    8.59283e+14              0    1.33983e+18    8.91016e+09
             81    9.25038e+14              0    1.37088e+18    9.18391e+09
             82    9.94998e+14              0    1.36994e+18    9.45836e+09
             83    1.06938e+15              0    1.38644e+18     9.7334e+09
             84    1.14841e+15              0    1.36489e+18    1.00089e+10
             85    1.23233e+15              0    1.36854e+18    1.02848e+10
             86    1.32137e+15              0    1.39638e+18     1.0561e+10
             87     1.4158e+15              0     1.3446e+18    1.08374e+10
             88    1.51587e+15              0    1.37196e+18    1.11139e+10
             89    1.62186e+15              0    1.36794e+18    1.13903e+10
             90    1.73404e+15              0    1.34306e+18    1.16668e+10
             91    1.85273e+15              0    1.34974e+18     1.1943e+10
             92    1.97821e+15              0    1.34368e+18    1.22191e+10
             93     2.1108e+15              0    1.35589e+18    1.24949e+10
             94    2.25083e+15              0    1.32005e+18    1.27703e+10
             95    2.39864e+15              0    1.32456e+18    1.30453e+10
             96    2.55458e+15              0    1.33517e+18    1.33198e+10
             97    2.71901e+15              0    1.28775e+18    1.35938e+10
             98     2.8923e+15              0    1.31276e+18    1.38673e+10
             99    3.07484e+15              0    1.30232e+18    1.41401e+10
            100    3.26703e+15              0    1.27343e+18    1.44122e+10
    E, kcal/mol    D, mol/kcal         W2->W1         W2->P1         W2->P2
              0    1.39132e+07              0              0    7.27656e-34
              1    6.40206e+07              0     9.0765e+11    5.11681e-31
              2    1.99049e+08              0    3.52471e+12    6.94365e-29
              3    4.77688e+08              0    8.66992e+12    5.55691e-27
              4    1.01223e+09              0    1.69423e+13    3.03785e-25
              5    1.93533e+09              0    2.96094e+13    1.28145e-23
              6    3.44375e+09              0      4.806e+13    4.40325e-22
              7    5.80271e+09              0    7.40523e+13    1.28055e-20
              8    9.34587e+09              0    1.09837e+14    3.24552e-19
              9    1.45307e+10              0    1.57787e+14     7.3012e-18
             10    2.18813e+10              0    2.21352e+14    1.48441e-16
             11    3.21046e+10              0    3.04016e+14    2.75675e-15
             12    4.60155e+10              0    4.10433e+14    4.72666e-14
             13    6.46242e+10              0    5.45838e+14    7.54062e-13
             14    8.91473e+10              0    7.16347e+14     1.1266e-11
             15    1.20997e+11              0    9.29356e+14    1.58552e-10
             16    1.61889e+11              0    1.19309e+15    2.11139e-09
             17    2.13759e+11              0    1.51759e+15    2.67205e-08
             18    2.78912e+11              0    1.91403e+15    3.22476e-07
             19    3.59972e+11              0    2.39557e+15    3.72316e-06
             20    4.59946e+11              0    2.97729e+15    4.12379e-05
             21      5.823e+11              0    3.67626e+15    0.000439239
